ONE05,RIM03,RIM04,RIM05
0.015445192,0.012129183,0.012360216,0.008702111
0.01832109,0.01549551,0.013471548,0.009282999
0.026310248,0.024036297,0.018990831,0.012106317
0.032306414,0.029390304,0.023067255,0.016341518
0.015222645,0.014972879,0.011481798,0.008450609
0.011109348,0.011034175,0.008567764,0.00583897
0.017920252,0.019846539,0.013559546,0.012340346
