ONE05,RIM03,RIM04,RIM05,,,,,,,,,,,,,,,
0.01470572,0.011347296,0.011190089,0.007702573,,,,,,,,,,,,,,,
0.014674013,0.00932955,0.01149561,0.009030592,,,,,,,,,,,,,,,
0.010452735,0.011671786,0.011070927,0.008694661,,,,,,,,,,,,,,,
0.008289571,0.009227687,0.01228411,0.007868316,,,,,,,,,,,,,,,
0.01530798,0.0104107,0.010671874,0.007283323,,,,,,,,,,,,,,,
0.010186208,0.014814702,0.011836848,0.008510458,,,,,,,,,,,,,,,
0.01125924,0.010899078,0.012278346,0.00947097,,,,,,,,,,,,,,,
0.013645408,0.011901457,0.013530636,0.00920555,,,,,,,,,,,,,,,
0.012625722,0.01140706,0.010778322,0.008139291,,,,,,,,,,,,,,,
0.01407474,0.011191735,0.012684491,0.009335339,,,,,,,,,,,,,,,
0.015689392,0.014726113,0.011228398,0.00776679,,,,,,,,,,,,,,,
0.013718054,0.012309136,0.013357436,0.010104077,,,,,,,,,,,,,,,
0.017801063,0.011905064,0.011414507,0.007972748,,,,,,,,,,,,,,,
0.017888344,0.011839163,0.01524192,0.007872207,,,,,,,,,,,,,,,
0.01967764,0.01516315,0.011049999,0.008691895,,,,,,,,,,,,,,,
0.023015045,0.015519942,0.013420218,0.009434598,,,,,,,,,,,,,,,
0.015324902,0.01963653,0.016331117,0.008926497,,,,,,,,,,,,,,,
0.018257044,0.017202251,0.012992774,0.008492704,,,,,,,,,,,,,,,
0.022136009,0.020266395,0.015122707,0.007963284,,,,,,,,,,,,,,,
0.021332453,0.019894749,0.01473332,0.01068861,,,,,,,,,,,,,,,
0.018555937,0.015729176,0.016119739,0.010495652,,,,,,,,,,,,,,,
0.022677282,0.02180448,0.016298544,0.010370325,,,,,,,,,,,,,,,
0.023078149,0.021424379,0.014035004,0.010995635,,,,,,,,,,,,,,,
0.023619493,0.02265699,0.018924698,0.009604639,,,,,,,,,,,,,,,
0.023807716,0.019520681,0.01733218,0.011838749,,,,,,,,,,,,,,,
0.025750982,0.022837453,0.017071619,0.012483772,,,,,,,,,,,,,,,
0.025190586,0.020419171,0.019509801,0.011508693,,,,,,,,,,,,,,,
0.028342637,0.024504177,0.020963493,0.012236144,,,,,,,,,,,,,,,
0.029288744,0.023495145,0.018558596,0.013579854,,,,,,,,,,,,,,,
0.030354599,0.023116321,0.020554106,0.013380071,,,,,,,,,,,,,,,
0.029829195,0.025725348,0.020458536,0.014716616,,,,,,,,,,,,,,,
0.031045395,0.030144658,0.022581426,0.014320811,,,,,,,,,,,,,,,
0.027766982,0.029287406,0.023813887,0.013839569,,,,,,,,,,,,,,,
0.03461331,0.03175642,0.024964995,0.016693714,,,,,,,,,,,,,,,
0.034253261,0.032523306,0.026235276,0.020191262,,,,,,,,,,,,,,,
0.037798358,0.033818,0.025508888,0.019150954,,,,,,,,,,,,,,,
0.035723012,0.030125825,0.025178399,0.018208811,,,,,,,,,,,,,,,
0.031122178,0.033406956,0.023246656,0.016961293,,,,,,,,,,,,,,,
0.028217735,0.029145609,0.024874457,0.016939886,,,,,,,,,,,,,,,
0.029295533,0.027241134,0.018206656,0.015579922,,,,,,,,,,,,,,,
0.026422681,0.024822338,0.020042511,0.014151285,,,,,,,,,,,,,,,
0.024157883,0.020829101,0.019000684,0.014052021,,,,,,,,,,,,,,,
0.025582446,0.022519507,0.013908233,0.013359194,,,,,,,,,,,,,,,
0.022663514,0.020502007,0.017613456,0.013766516,,,,,,,,,,,,,,,
0.02034798,0.021595799,0.01227581,0.013460199,,,,,,,,,,,,,,,
0.027512789,0.018662988,0.016340683,0.009502706,,,,,,,,,,,,,,,
0.019318003,0.017776039,0.0166365,0.011739721,,,,,,,,,,,,,,,
0.020980088,0.023473189,0.014398356,0.009099859,,,,,,,,,,,,,,,
0.014395402,0.02093352,0.01746303,0.009613943,,,,,,,,,,,,,,,
0.020261524,0.015069595,0.014814593,0.010318467,,,,,,,,,,,,,,,
0.0165773,0.014236234,0.015137808,0.007673493,,,,,,,,,,,,,,,
0.015007155,0.014929022,0.010484897,0.009730358,,,,,,,,,,,,,,,
0.014091437,0.014996562,0.008256854,0.005477499,,,,,,,,,,,,,,,
0.014618028,0.012181881,0.006952305,0.003947364,,,,,,,,,,,,,,,
0.009749015,0.007665332,0.008333242,0.002406908,,,,,,,,,,,,,,,
0.00827837,0.005469812,0.006633229,0.004385127,,,,,,,,,,,,,,,
0.010356733,0.008210445,0.007654621,0.005305703,,,,,,,,,,,,,,,
0.009515361,0.007940027,0.007195445,0.006040275,,,,,,,,,,,,,,,
0.013855333,0.017646983,0.010262269,0.010528291,,,,,,,,,,,,,,,
0.018252517,0.020822343,0.013342171,0.012285504,,,,,,,,,,,,,,,
0.017985057,0.021120536,0.013569977,0.013558194,,,,,,,,,,,,,,,
