wavelength,ONE05,RIM03,RIM04,RIM05
400,0.02192380827800412,0.02127773507678618,0.022334383513544442,0.013562290889335643
405,0.021145346474889203,0.022132951718008283,0.023038393113342503,0.013460863747918193
410,0.02191076512283807,0.021503096662214744,0.022925056845188585,0.013611007353845447
415,0.02178053236825046,0.02162522311485371,0.022724810001425944,0.013059627436502156
420,0.02220283683885286,0.021061247151453785,0.022622408190126522,0.013133996508219217
425,0.02293999781343361,0.021078108354495795,0.022344342043570706,0.012669825835538343
430,0.02354746777331003,0.020924887858227402,0.022472551897698825,0.01267993546821758
435,0.025285285870972663,0.020866544776885498,0.02256605225582785,0.012855383891430306
440,0.026454453399389826,0.021458857242179972,0.023102383759141705,0.012978574189220958
445,0.028479850005576415,0.02186044437872043,0.023777396856306216,0.013476009880292319
450,0.029797478745189426,0.022567518727265326,0.024318701650652034,0.013482309027654996
455,0.03106559308493458,0.022690179639764455,0.024943345309549177,0.013790447286147856
460,0.03227722233387924,0.023157804332706425,0.02524621363507155,0.013693638762191606
465,0.03289977944029781,0.024245529341256896,0.026061403855887864,0.013896912875157576
470,0.034477668729892684,0.026009792180253462,0.02701676474408727,0.014174411729762335
475,0.03523722574314237,0.028751538049693687,0.028393711257678533,0.01443198106761331
480,0.036891504513292955,0.031105123602026587,0.02973737189764865,0.01509156520643084
485,0.03787189285866012,0.03353787159659138,0.030659147535423367,0.015234983932271766
490,0.03858702850954469,0.034489562243560944,0.03131698491425093,0.01559466320669569
495,0.03932827094716502,0.034989561038378206,0.03148556076146568,0.015589041702541422
500,0.03970656147802216,0.03527234888850011,0.032269860173631225,0.01582549867069991
505,0.04114306447292514,0.0357459447685139,0.032988555431222887,0.016320079219342906
510,0.04184014322178404,0.036759133366565395,0.03391633060497634,0.01656556991786735
515,0.04349373051420299,0.037751244126138166,0.035052761354483514,0.017322494615346663
520,0.045154874298473285,0.03913688108737148,0.036129810836744936,0.017751203341003656
525,0.04651524371647792,0.03981560999547579,0.03733034392438728,0.018580964286756336
530,0.048289211803198534,0.04071615835764799,0.0381159359434999,0.019076853682568038
535,0.04936228160037354,0.04165998488551358,0.039199905828923416,0.01961839836463573
540,0.05158525605959014,0.04268743905626807,0.04022551447631223,0.020390006224424207
545,0.05320177211087722,0.04416425513112714,0.04148391600572712,0.02103979599896767
550,0.05562962541400858,0.04550535648741911,0.04294117588349913,0.022234811727974244
555,0.057763458309738974,0.047931655409115884,0.04454638550125252,0.02324655458995841
560,0.05998630201190005,0.050636272392476235,0.046837847051216616,0.024878847320964553
565,0.06239301906738283,0.0537176931875551,0.048872926849951835,0.026364271809148358
570,0.06331774344258265,0.05600225544570865,0.05083787772471358,0.027640526988684744
575,0.06351532446568606,0.05663717624990858,0.051351729620547217,0.02831600353675426
580,0.06106332573062693,0.05602148889454767,0.05065547185454995,0.027533388750689683
585,0.05837104469194162,0.05353830975042674,0.048937067598365656,0.02657344371470497
590,0.055095663294850855,0.05096228474286063,0.04624754612820129,0.02486516031544953
595,0.05139063901870534,0.04736632680805071,0.0433079611128782,0.02348755652515482
600,0.04879685875252982,0.044530706630130444,0.04011357999457412,0.022049378058437284
605,0.04581568253228982,0.0422052825969263,0.03798127672869427,0.020908679417556156
610,0.04455064708744813,0.04012352544123416,0.03619735442662811,0.02017236955287065
615,0.04217899400510703,0.03843189491733674,0.03480212205891956,0.019022965602087535
620,0.040786071900948635,0.03638772698423337,0.033629393452210235,0.018506355958726753
625,0.03922608191227529,0.03554702554555349,0.0324361680133612,0.017480923387134462
630,0.037801879813710255,0.03434976717403433,0.031778687626334394,0.017057827526592954
635,0.037234100774596025,0.03334416753067186,0.030770151782537194,0.01647154868727724
640,0.03538847075923349,0.032243306095881746,0.030087025654644533,0.01579329526178782
645,0.03502521159840551,0.03079400564563066,0.02893702389854244,0.015380499914947696
650,0.032519262471435696,0.029881002721065843,0.027511043280585304,0.01419593668671894
655,0.030226955036417924,0.02648028221124026,0.02516554938088091,0.013170047032910222
660,0.025498085509630758,0.022561010535717282,0.02124375269771728,0.010660951593161784
665,0.021430302837375296,0.018177255418666327,0.01819622596483899,0.009032335012474859
670,0.019207163208155707,0.016093873909291664,0.015845250596279118,0.007758140579028727
675,0.017755269656663165,0.015711950191595908,0.015553927620789068,0.007442829234839184
680,0.01922655417506307,0.01649733479176672,0.016373037959193218,0.008337018773135056
685,0.02139715557780462,0.02022835640942909,0.01891689809099301,0.009754611553108012
690,0.027428735439780597,0.02555940588883165,0.02337717142902693,0.013544155175448056
695,0.03319415638416659,0.03272248695351224,0.02684279974551209,0.01688745610745032
700,0.036085569670909916,0.036235774788441984,0.029146174462562128,0.019728228252263624
