ONE05,RIM03,RIM04,RIM05
0.015285006,0.012240695,0.011812943,0.008548499
0.018987639,0.015429695,0.013373469,0.008415835
0.027143237,0.022813986,0.019025877,0.012452116
0.0322373,0.029481637,0.023445302,0.016041857
0.016005771,0.014845595,0.011390201,0.007735464
0.012165657,0.01106203,0.007686497,0.004338879
0.018118787,0.020971439,0.013456074,0.012921849
