"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (11/02/2023 17:01)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     2.7478E+00
    5.005     1.7483E+02
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.7780E+03     1.8440E+03
    0.000     2.1431E+03     1.8030E+03
    5.010     1.6086E-02     9.0270E-03
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005    5.005
 401.0   5.7213E+00   1.3024E+03
 403.0   5.8538E+00   1.2852E+03
 405.0   5.9876E+00   1.3279E+03
 407.0   6.0098E+00   1.3526E+03
 409.0   6.0333E+00   1.3857E+03
 411.0   6.0767E+00   1.4302E+03
 413.0   6.1401E+00   1.2792E+03
 415.0   6.2045E+00   1.2574E+03
 417.0   6.2135E+00   1.2250E+03
 419.0   6.2234E+00   1.3239E+03
 421.0   6.2246E+00   1.2270E+03
 423.0   6.2173E+00   1.2014E+03
 425.0   6.2109E+00   1.3315E+03
 427.0   6.2423E+00   1.2986E+03
 429.0   6.2748E+00   1.3244E+03
 431.0   6.2983E+00   1.2757E+03
 433.0   6.3135E+00   1.3608E+03
 435.0   6.3293E+00   1.2036E+03
 437.0   6.2902E+00   1.3400E+03
 439.0   6.2517E+00   1.3367E+03
 441.0   6.1863E+00   1.4018E+03
 443.0   6.0938E+00   1.3588E+03
 445.0   6.0020E+00   1.2650E+03
 447.0   5.9123E+00   1.3402E+03
 449.0   5.8233E+00   1.3276E+03
 451.0   5.7448E+00   1.2730E+03
 453.0   5.6767E+00   1.2829E+03
 455.0   5.6093E+00   1.2775E+03
 457.0   5.5623E+00   1.0743E+03
 459.0   5.5159E+00   9.7371E+02
 461.0   5.4705E+00   1.0091E+03
 463.0   5.4262E+00   9.0552E+02
 465.0   5.3824E+00   9.1301E+02
 467.0   5.3022E+00   8.6985E+02
 469.0   5.2225E+00   8.7710E+02
 471.0   5.1341E+00   8.9001E+02
 473.0   5.0371E+00   8.7950E+02
 475.0   4.9405E+00   8.9321E+02
 477.0   4.8444E+00   8.8623E+02
 479.0   4.7488E+00   9.4355E+02
 481.0   4.6721E+00   9.7941E+02
 483.0   4.6145E+00   9.8375E+02
 485.0   4.5573E+00   9.8817E+02
 487.0   4.5005E+00   9.7253E+02
 489.0   4.4442E+00   1.0753E+03
 491.0   4.3697E+00   1.0655E+03
 493.0   4.2771E+00   1.1383E+03
 495.0   4.1848E+00   1.0250E+03
 497.0   4.0745E+00   1.0688E+03
 499.0   3.9646E+00   9.5966E+02
 501.0   3.8835E+00   1.1036E+03
 503.0   3.8313E+00   9.3569E+02
 505.0   3.7795E+00   1.0587E+03
 507.0   3.7100E+00   1.0529E+03
 509.0   3.6408E+00   1.0349E+03
 511.0   3.5721E+00   9.4594E+02
 513.0   3.5037E+00   9.4604E+02
 515.0   3.4356E+00   9.0607E+02
 517.0   3.3093E+00   9.3250E+02
 519.0   3.1833E+00   7.8633E+02
 521.0   3.0948E+00   8.0829E+02
 523.0   3.0438E+00   7.8193E+02
 525.0   2.9931E+00   7.5788E+02
 527.0   2.9245E+00   7.0308E+02
 529.0   2.8562E+00   6.7278E+02
 531.0   2.7882E+00   7.3475E+02
 533.0   2.7205E+00   6.9310E+02
 535.0   2.6531E+00   6.7371E+02
 537.0   2.5861E+00   6.1077E+02
 539.0   2.5193E+00   5.8904E+02
 541.0   2.4531E+00   5.4397E+02
 543.0   2.3875E+00   3.9201E+02
 545.0   2.3221E+00   5.1178E+02
 547.0   2.2577E+00   5.0662E+02
 549.0   2.1935E+00   4.6419E+02
 551.0   2.1290E+00   3.3750E+02
 553.0   2.0641E+00   3.6175E+02
 555.0   1.9995E+00   3.6792E+02
 557.0   1.9347E+00   4.2883E+02
 559.0   1.8702E+00   2.9261E+02
 561.0   1.8151E+00   3.0112E+02
 563.0   1.7696E+00   3.0151E+02
 565.0   1.7244E+00   2.3750E+02
 567.0   1.7176E+00   2.1903E+02
 569.0   1.7110E+00   3.0362E+02
 571.0   1.6961E+00   2.9887E+02
 573.0   1.6729E+00   2.4106E+02
 575.0   1.6499E+00   2.3981E+02
 577.0   1.7032E+00   2.5943E+02
 579.0   1.7567E+00   2.9383E+02
 581.0   1.7663E+00   2.8750E+02
 583.0   1.7319E+00   2.8898E+02
 585.0   1.6976E+00   2.4485E+02
 587.0   1.7212E+00   2.5190E+02
 589.0   1.7450E+00   2.7392E+02
 591.0   1.7244E+00   2.8393E+02
 593.0   1.6595E+00   2.4560E+02
 595.0   1.5948E+00   2.0936E+02
 597.0   1.5959E+00   1.8428E+02
 599.0   1.5971E+00   1.2922E+02
 601.0   1.6400E+00   2.4658E+02
 603.0   1.7247E+00   2.3538E+02
 605.0   1.8097E+00   2.8986E+02
 607.0   1.7713E+00   2.2406E+02
 609.0   1.7330E+00   2.0149E+02
 611.0   1.7218E+00   2.4566E+02
 613.0   1.7376E+00   2.4686E+02
 615.0   1.7535E+00   2.6354E+02
 617.0   1.7716E+00   2.2473E+02
 619.0   1.7897E+00   2.4527E+02
 621.0   1.8173E+00   2.4529E+02
 623.0   1.8543E+00   2.2717E+02
 625.0   1.8914E+00   2.3694E+02
 627.0   1.9289E+00   2.4475E+02
 629.0   1.9664E+00   3.3763E+02
 631.0   2.0044E+00   3.3476E+02
 633.0   2.0428E+00   2.9323E+02
 635.0   2.0813E+00   3.0402E+02
 637.0   2.0860E+00   2.9207E+02
 639.0   2.0908E+00   3.4125E+02
 641.0   2.0841E+00   2.9610E+02
 643.0   2.0661E+00   2.4643E+02
 645.0   2.0480E+00   2.5954E+02
 647.0   2.1077E+00   2.2964E+02
 649.0   2.1675E+00   2.8362E+02
 651.0   2.2309E+00   3.6055E+02
 653.0   2.2980E+00   2.7945E+02
 655.0   2.3651E+00   2.8429E+02
 657.0   2.4915E+00   3.7809E+02
 659.0   2.6180E+00   4.7935E+02
 661.0   2.7680E+00   5.2482E+02
 663.0   2.9415E+00   4.9190E+02
 665.0   3.1150E+00   5.0908E+02
 667.0   3.2287E+00   5.4327E+02
 669.0   3.3424E+00   6.9577E+02
 671.0   3.3537E+00   6.4273E+02
 673.0   3.2624E+00   6.1207E+02
 675.0   3.1713E+00   5.8620E+02
 677.0   3.1024E+00   5.9228E+02
 679.0   3.0335E+00   5.8737E+02
 681.0   2.9286E+00   4.6141E+02
 683.0   2.7874E+00   4.1555E+02
 685.0   2.6461E+00   4.3027E+02
 687.0   2.4720E+00   3.0165E+02
 689.0   2.2979E+00   3.1246E+02
 691.0   2.1639E+00   1.8820E+02
 693.0   2.0702E+00   1.9356E+02
 695.0   1.9765E+00   1.9878E+02
 697.0   1.9114E+00   2.1143E+02
 699.0   1.8463E+00   1.1709E+02
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005    5.005
 401.0   5.0815E+00   1.3005E+03
 403.0   5.2133E+00   1.2832E+03
 405.0   5.3465E+00   1.3258E+03
 407.0   5.3674E+00   1.3505E+03
 409.0   5.3896E+00   1.3836E+03
 411.0   5.4317E+00   1.4282E+03
 413.0   5.4942E+00   1.2771E+03
 415.0   5.5575E+00   1.2553E+03
 417.0   5.5652E+00   1.2230E+03
 419.0   5.5736E+00   1.3219E+03
 421.0   5.5735E+00   1.2251E+03
 423.0   5.5650E+00   1.1996E+03
 425.0   5.5573E+00   1.3297E+03
 427.0   5.5881E+00   1.2968E+03
 429.0   5.6198E+00   1.3225E+03
 431.0   5.6426E+00   1.2738E+03
 433.0   5.6572E+00   1.3588E+03
 435.0   5.6725E+00   1.2015E+03
 437.0   5.6326E+00   1.3379E+03
 439.0   5.5934E+00   1.3345E+03
 441.0   5.5272E+00   1.3996E+03
 443.0   5.4338E+00   1.3567E+03
 445.0   5.3415E+00   1.2630E+03
 447.0   5.2515E+00   1.3382E+03
 449.0   5.1621E+00   1.3256E+03
 451.0   5.0837E+00   1.2710E+03
 453.0   5.0159E+00   1.2809E+03
 455.0   4.9487E+00   1.2756E+03
 457.0   4.9022E+00   1.0724E+03
 459.0   4.8565E+00   9.7190E+02
 461.0   4.8119E+00   1.0073E+03
 463.0   4.7685E+00   9.0379E+02
 465.0   4.7256E+00   9.1134E+02
 467.0   4.6465E+00   8.6822E+02
 469.0   4.5681E+00   8.7549E+02
 471.0   4.4812E+00   8.8835E+02
 473.0   4.3857E+00   8.7789E+02
 475.0   4.2907E+00   8.9160E+02
 477.0   4.1965E+00   8.8459E+02
 479.0   4.1027E+00   9.4188E+02
 481.0   4.0282E+00   9.7770E+02
 483.0   3.9725E+00   9.8202E+02
 485.0   3.9173E+00   9.8643E+02
 487.0   3.8624E+00   9.7077E+02
 489.0   3.8081E+00   1.0735E+03
 491.0   3.7359E+00   1.0637E+03
 493.0   3.6457E+00   1.1366E+03
 495.0   3.5561E+00   1.0232E+03
 497.0   3.4487E+00   1.0671E+03
 499.0   3.3418E+00   9.5794E+02
 501.0   3.2635E+00   1.1018E+03
 503.0   3.2138E+00   9.3394E+02
 505.0   3.1642E+00   1.0569E+03
 507.0   3.0974E+00   1.0512E+03
 509.0   3.0308E+00   1.0332E+03
 511.0   2.9649E+00   9.4421E+02
 513.0   2.8993E+00   9.4434E+02
 515.0   2.8340E+00   9.0439E+02
 517.0   2.7122E+00   9.3091E+02
 519.0   2.5912E+00   7.8483E+02
 521.0   2.5069E+00   8.0685E+02
 523.0   2.4588E+00   7.8051E+02
 525.0   2.4110E+00   7.5648E+02
 527.0   2.3461E+00   7.0172E+02
 529.0   2.2816E+00   6.7146E+02
 531.0   2.2176E+00   7.3347E+02
 533.0   2.1540E+00   6.9185E+02
 535.0   2.0908E+00   6.7250E+02
 537.0   2.0282E+00   6.0960E+02
 539.0   1.9661E+00   5.8791E+02
 541.0   1.9046E+00   5.4288E+02
 543.0   1.8439E+00   3.9094E+02
 545.0   1.7835E+00   5.1075E+02
 547.0   1.7244E+00   5.0562E+02
 549.0   1.6656E+00   4.6321E+02
 551.0   1.6069E+00   3.3654E+02
 553.0   1.5481E+00   3.6082E+02
 555.0   1.4897E+00   3.6701E+02
 557.0   1.4315E+00   4.2794E+02
 559.0   1.3738E+00   2.9175E+02
 561.0   1.3250E+00   3.0027E+02
 563.0   1.2849E+00   3.0066E+02
 565.0   1.2454E+00   2.3666E+02
 567.0   1.2401E+00   2.1817E+02
 569.0   1.2350E+00   3.0273E+02
 571.0   1.2225E+00   2.9798E+02
 573.0   1.2027E+00   2.4017E+02
 575.0   1.1830E+00   2.3893E+02
 577.0   1.2315E+00   2.5849E+02
 579.0   1.2804E+00   2.9282E+02
 581.0   1.2900E+00   2.8648E+02
 583.0   1.2600E+00   2.8799E+02
 585.0   1.2301E+00   2.4390E+02
 587.0   1.2522E+00   2.5092E+02
 589.0   1.2746E+00   2.7292E+02
 591.0   1.2570E+00   2.8294E+02
 593.0   1.1997E+00   2.4467E+02
 595.0   1.1429E+00   2.0848E+02
 597.0   1.1448E+00   1.8338E+02
 599.0   1.1469E+00   1.2830E+02
 601.0   1.1863E+00   2.4560E+02
 603.0   1.2638E+00   2.3429E+02
 605.0   1.3425E+00   2.8867E+02
 607.0   1.3087E+00   2.2290E+02
 609.0   1.2749E+00   2.0037E+02
 611.0   1.2660E+00   2.4456E+02
