"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (08/05/2023 17:28)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     2.2559E-01
    7.345     3.2572E-01
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.8410E+03     1.8359E+03
    0.000     2.3692E+03     1.8274E+03
    7.350     4.5169E+02     2.6759E+02
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005    7.345
 401.0   2.3808E-01   1.6360E-01
 403.0   2.3629E-01   1.7142E-01
 405.0   2.3456E-01   1.7947E-01
 407.0   2.3217E-01   1.8525E-01
 409.0   2.2984E-01   1.9108E-01
 411.0   2.2777E-01   1.9717E-01
 413.0   2.2598E-01   2.0356E-01
 415.0   2.2423E-01   2.1007E-01
 417.0   2.2226E-01   2.2081E-01
 419.0   2.2034E-01   2.3197E-01
 421.0   2.1831E-01   2.4072E-01
 423.0   2.1618E-01   2.4678E-01
 425.0   2.1409E-01   2.5290E-01
 427.0   2.1215E-01   2.5529E-01
 429.0   2.1025E-01   2.5767E-01
 431.0   2.0822E-01   2.5562E-01
 433.0   2.0605E-01   2.4939E-01
 435.0   2.0392E-01   2.4337E-01
 437.0   2.0155E-01   2.3437E-01
 439.0   1.9921E-01   2.2583E-01
 441.0   1.9681E-01   2.1991E-01
 443.0   1.9434E-01   2.1636E-01
 445.0   1.9190E-01   2.1291E-01
 447.0   1.8984E-01   2.0909E-01
 449.0   1.8781E-01   2.0536E-01
 451.0   1.8576E-01   2.0264E-01
 453.0   1.8369E-01   2.0085E-01
 455.0   1.8166E-01   1.9910E-01
 457.0   1.7990E-01   1.9786E-01
 459.0   1.7824E-01   1.9679E-01
 461.0   1.7670E-01   1.9511E-01
 463.0   1.7524E-01   1.9274E-01
 465.0   1.7381E-01   1.9039E-01
 467.0   1.7207E-01   1.8607E-01
 469.0   1.7029E-01   1.8176E-01
 471.0   1.6837E-01   1.7526E-01
 473.0   1.6629E-01   1.6689E-01
 475.0   1.6423E-01   1.5899E-01
 477.0   1.6219E-01   1.4959E-01
 479.0   1.6016E-01   1.4083E-01
 481.0   1.5824E-01   1.3328E-01
 483.0   1.5643E-01   1.2680E-01
 485.0   1.5469E-01   1.2074E-01
 487.0   1.5301E-01   1.1439E-01
 489.0   1.5124E-01   1.0821E-01
 491.0   1.4943E-01   1.0133E-01
 493.0   1.4751E-01   9.3823E-02
 495.0   1.4555E-01   8.6746E-02
 497.0   1.4356E-01   7.8597E-02
 499.0   1.4155E-01   7.1034E-02
 501.0   1.4002E-01   6.3114E-02
 503.0   1.3899E-01   5.4818E-02
 505.0   1.3794E-01   4.6995E-02
 507.0   1.3751E-01   3.9800E-02
 509.0   1.3711E-01   3.2939E-02
 511.0   1.3690E-01   2.7000E-02
 513.0   1.3693E-01   2.1916E-02
 515.0   1.3696E-01   1.6942E-02
 517.0   1.3475E-01   1.5501E-02
 519.0   1.3247E-01   1.4028E-02
 521.0   1.3036E-01   1.2381E-02
 523.0   1.2848E-01   1.0611E-02
 525.0   1.2660E-01   8.9187E-03
 527.0   1.2499E-01   7.2092E-03
 529.0   1.2329E-01   5.4511E-03
 531.0   1.2157E-01   3.5135E-03
 533.0   1.1982E-01   1.4155E-03
 535.0   1.1801E-01  -6.6340E-04
 537.0   1.1626E-01  -3.0352E-03
 539.0   1.1452E-01  -5.2981E-03
 541.0   1.1294E-01  -8.0086E-03
 543.0   1.1145E-01  -1.1205E-02
 545.0   1.0998E-01  -1.4259E-02
 547.0   1.0866E-01  -1.8738E-02
 549.0   1.0734E-01  -2.3026E-02
 551.0   1.0547E-01  -2.6949E-02
 553.0   1.0305E-01  -3.0450E-02
 555.0   1.0065E-01  -3.3736E-02
 557.0   9.7642E-02  -3.7000E-02
 559.0   9.4651E-02  -4.0019E-02
 561.0   9.1640E-02  -4.3038E-02
 563.0   8.8648E-02  -4.6026E-02
 565.0   8.5679E-02  -4.8800E-02
 567.0   8.4241E-02  -5.2745E-02
 569.0   8.2819E-02  -5.6554E-02
 571.0   8.2230E-02  -6.0266E-02
 573.0   8.2463E-02  -6.3969E-02
 575.0   8.2762E-02  -6.7611E-02
 577.0   8.6338E-02  -7.3150E-02
 579.0   9.0130E-02  -7.8675E-02
 581.0   9.5583E-02  -8.5319E-02
 583.0   1.0289E-01  -9.3067E-02
 585.0   1.1062E-01  -1.0078E-01
 587.0   1.2139E-01  -1.1115E-01
 589.0   1.3276E-01  -1.2145E-01
 591.0   1.4558E-01  -1.3315E-01
 593.0   1.5998E-01  -1.4617E-01
 595.0   1.7491E-01  -1.5914E-01
 597.0   2.0345E-01  -1.8255E-01
 599.0   2.3268E-01  -2.0580E-01
 601.0   2.5710E-01  -2.2517E-01
 603.0   2.7651E-01  -2.4075E-01
 605.0   2.9585E-01  -2.5627E-01
 607.0   2.9836E-01  -2.5846E-01
 609.0   3.0086E-01  -2.6065E-01
 611.0   3.0303E-01  -2.6209E-01
 613.0   3.0483E-01  -2.6274E-01
 615.0   3.0665E-01  -2.6340E-01
 617.0   3.1086E-01  -2.6591E-01
 619.0   3.1509E-01  -2.6844E-01
 621.0   3.1934E-01  -2.7122E-01
 623.0   3.2361E-01  -2.7425E-01
 625.0   3.2789E-01  -2.7728E-01
 627.0   3.3236E-01  -2.8046E-01
 629.0   3.3682E-01  -2.8361E-01
 631.0   3.4163E-01  -2.8705E-01
 633.0   3.4681E-01  -2.9080E-01
 635.0   3.5197E-01  -2.9454E-01
 637.0   3.6046E-01  -3.0099E-01
 639.0   3.6887E-01  -3.0741E-01
 641.0   3.7456E-01  -3.1174E-01
 643.0   3.7762E-01  -3.1407E-01
 645.0   3.8065E-01  -3.1636E-01
 647.0   3.8848E-01  -3.2249E-01
 649.0   3.9630E-01  -3.2865E-01
 651.0   4.0827E-01  -3.3764E-01
 653.0   4.2420E-01  -3.4938E-01
 655.0   4.3966E-01  -3.6067E-01
 657.0   4.5976E-01  -3.7301E-01
 659.0   4.7986E-01  -3.8551E-01
 661.0   4.9502E-01  -3.9281E-01
 663.0   5.0561E-01  -3.9482E-01
 665.0   5.1605E-01  -3.9523E-01
 667.0   5.2162E-01  -3.9448E-01
 669.0   5.2716E-01  -3.9295E-01
 671.0   5.3135E-01  -3.9283E-01
 673.0   5.3429E-01  -3.9514E-01
 675.0   5.3722E-01  -3.9745E-01
 677.0   5.4379E-01  -4.0828E-01
 679.0   5.5035E-01  -4.1860E-01
 681.0   5.5736E-01  -4.3226E-01
 683.0   5.6487E-01  -4.4795E-01
 685.0   5.7237E-01  -4.6186E-01
 687.0   5.8269E-01  -4.8223E-01
 689.0   5.9382E-01  -5.0093E-01
 691.0   6.0842E-01  -5.2171E-01
 693.0   6.2610E-01  -5.4362E-01
 695.0   6.4392E-01  -5.6397E-01
 697.0   6.7218E-01  -5.9163E-01
 699.0   7.0007E-01  -6.1806E-01
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005    7.345
 401.0   1.7968E-01   7.8781E-01
 403.0   1.7790E-01   8.1670E-01
 405.0   1.7614E-01   8.4653E-01
 407.0   1.7387E-01   8.6855E-01
 409.0   1.7167E-01   8.9081E-01
 411.0   1.6968E-01   9.1420E-01
 413.0   1.6792E-01   9.3885E-01
 415.0   1.6619E-01   9.6406E-01
 417.0   1.6425E-01   1.0042E+00
 419.0   1.6233E-01   1.0460E+00
 421.0   1.6034E-01   1.0796E+00
 423.0   1.5837E-01   1.1036E+00
 425.0   1.5642E-01   1.1279E+00
 427.0   1.5464E-01   1.1388E+00
 429.0   1.5289E-01   1.1499E+00
 431.0   1.5106E-01   1.1447E+00
 433.0   1.4926E-01   1.1245E+00
 435.0   1.4740E-01   1.1047E+00
 437.0   1.4544E-01   1.0737E+00
 439.0   1.4352E-01   1.0443E+00
 441.0   1.4149E-01   1.0241E+00
 443.0   1.3944E-01   1.0123E+00
 445.0   1.3740E-01   1.0006E+00
 447.0   1.3568E-01   9.8780E-01
 449.0   1.3400E-01   9.7508E-01
 451.0   1.3231E-01   9.6596E-01
 453.0   1.3059E-01   9.6011E-01
 455.0   1.2889E-01   9.5438E-01
 457.0   1.2746E-01   9.5037E-01
 459.0   1.2609E-01   9.4651E-01
 461.0   1.2488E-01   9.4035E-01
 463.0   1.2378E-01   9.3136E-01
 465.0   1.2269E-01   9.2224E-01
 467.0   1.2136E-01   9.0585E-01
 469.0   1.2000E-01   8.8962E-01
 471.0   1.1857E-01   8.6495E-01
 473.0   1.1707E-01   8.3310E-01
 475.0   1.1560E-01   8.0276E-01
 477.0   1.1417E-01   7.6658E-01
 479.0   1.1282E-01   7.3266E-01
 481.0   1.1151E-01   7.0332E-01
 483.0   1.1028E-01   6.7806E-01
 485.0   1.0908E-01   6.5424E-01
 487.0   1.0801E-01   6.2932E-01
 489.0   1.0682E-01   6.0527E-01
 491.0   1.0567E-01   5.7828E-01
 493.0   1.0449E-01   5.4869E-01
 495.0   1.0326E-01   5.2081E-01
 497.0   1.0212E-01   4.8865E-01
 499.0   1.0094E-01   4.5873E-01
 501.0   1.0018E-01   4.2801E-01
 503.0   9.9827E-02   3.9635E-01
 505.0   9.9468E-02   3.6659E-01
 507.0   9.9551E-02   3.3993E-01
 509.0   9.9637E-02   3.1450E-01
 511.0   9.9862E-02   2.9294E-01
 513.0   1.0017E-01   2.7473E-01
 515.0   1.0056E-01   2.5703E-01
 517.0   9.9087E-02   2.4981E-01
 519.0   9.7529E-02   2.4265E-01
 521.0   9.6150E-02   2.3501E-01
 523.0   9.4980E-02   2.2710E-01
 525.0   9.3725E-02   2.1944E-01
 527.0   9.2742E-02   2.1187E-01
 529.0   9.1677E-02   2.0430E-01
 531.0   9.0616E-02   1.9597E-01
 533.0   8.9604E-02   1.8689E-01
 535.0   8.8495E-02   1.7803E-01
 537.0   8.7496E-02   1.6816E-01
 539.0   8.6509E-02   1.5866E-01
 541.0   8.5683E-02   1.4773E-01
 543.0   8.4986E-02   1.3539E-01
 545.0   8.4260E-02   1.2357E-01
 547.0   8.3833E-02   1.0697E-01
 549.0   8.3405E-02   9.1179E-02
 551.0   8.2572E-02   7.6199E-02
 553.0   8.1361E-02   6.2240E-02
 555.0   8.0177E-02   4.9067E-02
 557.0   7.8615E-02   3.5559E-02
 559.0   7.7032E-02   2.2991E-02
 561.0   7.5459E-02   1.0601E-02
 563.0   7.3913E-02  -1.5654E-03
 565.0   7.2357E-02  -1.2881E-02
 567.0   7.2012E-02  -2.6421E-02
 569.0   7.1660E-02  -3.9366E-02
 571.0   7.1867E-02  -5.1188E-02
 573.0   7.2602E-02  -6.2203E-02
 575.0   7.3434E-02  -7.2959E-02
 577.0   7.6755E-02  -8.7024E-02
 579.0   8.0209E-02  -1.0094E-01
 581.0   8.4996E-02  -1.1718E-01
 583.0   9.1215E-02  -1.3564E-01
 585.0   9.7732E-02  -1.5387E-01
 587.0   1.0682E-01  -1.7841E-01
 589.0   1.1628E-01  -2.0254E-01
 591.0   1.2693E-01  -2.3007E-01
 593.0   1.3891E-01  -2.6073E-01
 595.0   1.5122E-01  -2.9093E-01
 597.0   1.7438E-01  -3.4466E-01
 599.0   1.9804E-01  -3.9721E-01
 601.0   2.1793E-01  -4.4054E-01
