"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (08/05/2023 17:01)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     5.2498E-01
    6.995     2.1865E+00
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.8457E+03     1.8392E+03
    0.000     2.4191E+03     1.8370E+03
    7.000     1.9703E+01     1.0570E+01
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005    6.995
 401.0   1.9272E+00   5.4970E+02
 403.0   1.8838E+00   4.8192E+02
 405.0   1.8416E+00   5.4157E+02
 407.0   1.7998E+00   4.6937E+02
 409.0   1.7591E+00   4.6854E+02
 411.0   1.7195E+00   4.0517E+02
 413.0   1.6812E+00   4.2575E+02
 415.0   1.6438E+00   4.5768E+02
 417.0   1.6068E+00   3.3531E+02
 419.0   1.5706E+00   3.2168E+02
 421.0   1.5352E+00   3.5433E+02
 423.0   1.5004E+00   3.5490E+02
 425.0   1.4664E+00   3.6686E+02
 427.0   1.4331E+00   2.6314E+02
 429.0   1.4006E+00   3.1513E+02
 431.0   1.3687E+00   2.8802E+02
 433.0   1.3375E+00   3.2916E+02
 435.0   1.3070E+00   2.7712E+02
 437.0   1.2770E+00   2.4732E+02
 439.0   1.2477E+00   3.1337E+02
 441.0   1.2191E+00   2.4210E+02
 443.0   1.1910E+00   2.8965E+02
 445.0   1.1636E+00   2.4765E+02
 447.0   1.1377E+00   2.0861E+02
 449.0   1.1124E+00   2.4313E+02
 451.0   1.0878E+00   1.8828E+02
 453.0   1.0641E+00   2.2576E+02
 455.0   1.0409E+00   2.0861E+02
 457.0   1.0189E+00   1.9385E+02
 459.0   9.9753E-01   1.3696E+02
 461.0   9.7691E-01   1.3849E+02
 463.0   9.5706E-01   1.2790E+02
 465.0   9.3759E-01   1.4607E+02
 467.0   9.1866E-01   1.4424E+01
 469.0   9.0024E-01   1.1339E+02
 471.0   8.8208E-01   9.5689E+01
 473.0   8.6476E-01   1.1243E+02
 475.0   8.4744E-01   8.2720E+01
 477.0   8.3065E-01   6.2709E+01
 479.0   8.1477E-01   9.5153E+01
 481.0   7.9833E-01   3.9724E+01
 483.0   7.8289E-01   5.2242E+01
 485.0   7.6809E-01   1.8232E-01
 487.0   7.5278E-01   1.8991E+01
 489.0   7.3897E-01   3.3065E+01
 491.0   7.2448E-01   1.9895E+01
 493.0   7.1044E-01   2.9550E+01
 495.0   6.9716E-01   1.6851E+01
 497.0   6.8379E-01   8.9501E+00
 499.0   6.7149E-01   2.0761E+01
 501.0   6.5971E-01   4.0616E+01
 503.0   6.4886E-01   1.7032E+01
 505.0   6.3825E-01   4.4974E+01
 507.0   6.2852E-01   3.1306E-02
 509.0   6.1905E-01   1.1891E+01
 511.0   6.0953E-01   2.2388E+01
 513.0   6.0102E-01   1.0339E-02
 515.0   5.9237E-01   9.1326E+00
 517.0   5.8110E-01   6.8209E-03
 519.0   5.6996E-01   2.3051E+01
 521.0   5.5927E-01   7.5517E-03
 523.0   5.4907E-01   7.6323E-03
 525.0   5.3908E-01   7.8082E-03
 527.0   5.2964E-01   8.1109E-03
 529.0   5.2029E-01   8.4701E-03
 531.0   5.1122E-01   7.8618E-03
 533.0   5.0242E-01   6.3700E-03
 535.0   4.9374E-01   5.0405E-03
 537.0   4.8544E-01   2.8425E-03
 539.0   4.7732E-01   8.4459E-04
 541.0   4.6969E-01  -2.1709E-03
 543.0   4.6248E-01  -6.1109E-03
 545.0   4.5545E-01  -9.7573E-03
 547.0   4.4929E-01  -1.6957E-02
 549.0   4.4326E-01  -2.3604E-02
 551.0   4.3686E-01  -3.0358E-02
 553.0   4.3009E-01  -3.7067E-02
 555.0   4.2346E-01  -4.3123E-02
 557.0   4.1664E-01  -5.0255E-02
 559.0   4.0995E-01  -5.6597E-02
 561.0   4.0349E-01  -6.2782E-02
 563.0   3.9728E-01  -6.8800E-02
 565.0   3.9119E-01  -7.4152E-02
 567.0   3.8694E-01  -7.9630E-02
 569.0   3.8278E-01  -8.4706E-02
 571.0   3.7930E-01  -8.8372E-02
 573.0   3.7646E-01  -9.0872E-02
 575.0   3.7373E-01  -9.3328E-02
 577.0   3.7400E-01  -9.5754E-02
 579.0   3.7436E-01  -9.8257E-02
 581.0   3.7621E-01  -1.0162E-01
 583.0   3.7954E-01  -1.0585E-01
 585.0   3.8298E-01  -1.1016E-01
 587.0   3.8918E-01  -1.1803E-01
 589.0   3.9550E-01  -1.2597E-01
 591.0   4.0298E-01  -1.3636E-01
 593.0   4.1168E-01  -1.4916E-01
 595.0   4.2048E-01  -1.6193E-01
 597.0   4.3968E-01  -1.8745E-01
 599.0   4.5904E-01  -2.1273E-01
 601.0   4.7476E-01  -2.3352E-01
 603.0   4.8680E-01  -2.4995E-01
 605.0   4.9895E-01  -2.6628E-01
 607.0   4.9808E-01  -2.6630E-01
 609.0   4.9728E-01  -2.6638E-01
 611.0   4.9611E-01  -2.6476E-01
 613.0   4.9458E-01  -2.6139E-01
 615.0   4.9310E-01  -2.5798E-01
 617.0   4.9359E-01  -2.5681E-01
 619.0   4.9413E-01  -2.5562E-01
 621.0   4.9489E-01  -2.5528E-01
 623.0   4.9588E-01  -2.5584E-01
 625.0   4.9691E-01  -2.5642E-01
 627.0   4.9820E-01  -2.5717E-01
 629.0   4.9954E-01  -2.5793E-01
 631.0   5.0127E-01  -2.5911E-01
 633.0   5.0337E-01  -2.6072E-01
 635.0   5.0551E-01  -2.6235E-01
 637.0   5.1050E-01  -2.6729E-01
 639.0   5.1554E-01  -2.7224E-01
 641.0   5.1845E-01  -2.7501E-01
 643.0   5.1919E-01  -2.7562E-01
 645.0   5.1998E-01  -2.7625E-01
 647.0   5.2485E-01  -2.8134E-01
 649.0   5.2976E-01  -2.8646E-01
 651.0   5.3813E-01  -2.9348E-01
 653.0   5.5000E-01  -3.0232E-01
 655.0   5.6194E-01  -3.1098E-01
 657.0   5.7784E-01  -3.1401E-01
 659.0   5.9379E-01  -3.1540E-01
 661.0   6.0572E-01  -3.0896E-01
 663.0   6.1359E-01  -2.9327E-01
 665.0   6.2150E-01  -2.7246E-01
 667.0   6.2504E-01  -2.5722E-01
 669.0   6.2861E-01  -2.3921E-01
 671.0   6.3110E-01  -2.2943E-01
 673.0   6.3253E-01  -2.3041E-01
 675.0   6.3398E-01  -2.3139E-01
 677.0   6.3918E-01  -2.5572E-01
 679.0   6.4442E-01  -2.7835E-01
 681.0   6.5026E-01  -3.1161E-01
 683.0   6.5671E-01  -3.5061E-01
 685.0   6.6318E-01  -3.8338E-01
 687.0   6.7332E-01  -4.3557E-01
 689.0   6.8352E-01  -4.7536E-01
 691.0   6.9696E-01  -5.1433E-01
 693.0   7.1362E-01  -5.5190E-01
 695.0   7.3033E-01  -5.8355E-01
 697.0   7.5698E-01  -6.1961E-01
 699.0   7.8366E-01  -6.5316E-01
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005    6.995
 401.0   1.5875E+00   5.5009E+02
 403.0   1.5455E+00   4.8241E+02
 405.0   1.5047E+00   5.4217E+02
 407.0   1.4644E+00   4.7005E+02
 409.0   1.4252E+00   4.6931E+02
 411.0   1.3872E+00   4.0603E+02
 413.0   1.3505E+00   4.2670E+02
 415.0   1.3148E+00   4.5873E+02
 417.0   1.2796E+00   3.3648E+02
 419.0   1.2454E+00   3.2297E+02
 421.0   1.2119E+00   3.5572E+02
 423.0   1.1792E+00   3.5639E+02
 425.0   1.1473E+00   3.6844E+02
 427.0   1.1163E+00   2.6478E+02
 429.0   1.0862E+00   3.1685E+02
 431.0   1.0567E+00   2.8977E+02
 433.0   1.0281E+00   3.3091E+02
 435.0   1.0002E+00   2.7887E+02
 437.0   9.7289E-01   2.4905E+02
 439.0   9.4634E-01   3.1508E+02
 441.0   9.2052E-01   2.4381E+02
 443.0   8.9538E-01   2.9137E+02
 445.0   8.7094E-01   2.4938E+02
 447.0   8.4792E-01   2.1035E+02
 449.0   8.2559E-01   2.4488E+02
 451.0   8.0404E-01   1.9004E+02
 453.0   7.8330E-01   2.2754E+02
 455.0   7.6313E-01   2.1040E+02
 457.0   7.4418E-01   1.9567E+02
 459.0   7.2573E-01   1.3880E+02
 461.0   7.0821E-01   1.4035E+02
 463.0   6.9129E-01   1.2976E+02
 465.0   6.7475E-01   1.4794E+02
 467.0   6.5884E-01   1.6282E+01
 469.0   6.4348E-01   1.1524E+02
 471.0   6.2832E-01   9.7505E+01
 473.0   6.1416E-01   1.1419E+02
 475.0   5.9982E-01   8.4440E+01
 477.0   5.8610E-01   6.4370E+01
 479.0   5.7335E-01   9.6757E+01
 481.0   5.5973E-01   4.1283E+01
 483.0   5.4731E-01   5.3764E+01
 485.0   5.3560E-01   1.6687E+00
 487.0   5.2304E-01   2.0440E+01
 489.0   5.1235E-01   3.4479E+01
 491.0   5.0065E-01   2.1265E+01
 493.0   4.8938E-01   3.0868E+01
 495.0   4.7908E-01   1.8121E+01
 497.0   4.6844E-01   1.0161E+01
 499.0   4.5901E-01   2.1917E+01
 501.0   4.4985E-01   4.1718E+01
 503.0   4.4141E-01   1.8081E+01
 505.0   4.3319E-01   4.5974E+01
 507.0   4.2568E-01   9.9165E-01
 509.0   4.1844E-01   1.2814E+01
 511.0   4.1092E-01   2.3283E+01
 513.0   4.0459E-01   8.8509E-01
 515.0   3.9801E-01   9.9878E+00
 517.0   3.8946E-01   8.5191E-01
 519.0   3.8106E-01   2.3886E+01
 521.0   3.7301E-01   8.3280E-01
 523.0   3.6539E-01   8.2277E-01
 525.0   3.5796E-01   8.1312E-01
 527.0   3.5097E-01   8.0447E-01
 529.0   3.4407E-01   7.9605E-01
 531.0   3.3741E-01   7.8385E-01
 533.0   3.3100E-01   7.6832E-01
 535.0   3.2461E-01   7.5345E-01
 537.0   3.1868E-01   7.3521E-01
 539.0   3.1283E-01   7.1785E-01
 541.0   3.0736E-01   6.9684E-01
 543.0   3.0220E-01   6.7234E-01
 545.0   2.9719E-01   6.4906E-01
 547.0   2.9280E-01   6.1199E-01
 549.0   2.8853E-01   5.7713E-01
 551.0   2.8404E-01   5.4101E-01
 553.0   2.7932E-01   5.0417E-01
 555.0   2.7471E-01   4.7008E-01
 557.0   2.7001E-01   4.3083E-01
 559.0   2.6545E-01   3.9480E-01
 561.0   2.6100E-01   3.5969E-01
 563.0   2.5678E-01   3.2539E-01
 565.0   2.5264E-01   2.9388E-01
 567.0   2.4973E-01   2.6469E-01
 569.0   2.4689E-01   2.3731E-01
 571.0   2.4448E-01   2.1702E-01
 573.0   2.4250E-01   2.0282E-01
 575.0   2.4066E-01   1.8893E-01
 577.0   2.4065E-01   1.8034E-01
 579.0   2.4077E-01   1.7160E-01
 581.0   2.4181E-01   1.6172E-01
 583.0   2.4389E-01   1.5067E-01
 585.0   2.4599E-01   1.3950E-01
 587.0   2.5004E-01   1.1767E-01
 589.0   2.5421E-01   9.5779E-02
 591.0   2.5920E-01   6.5492E-02
 593.0   2.6510E-01   2.7159E-02
 595.0   2.7115E-01  -1.0778E-02
 597.0   2.8467E-01  -8.4699E-02
 599.0   2.9859E-01  -1.5678E-01
 601.0   3.1014E-01  -2.1581E-01
 603.0   3.1914E-01  -2.6257E-01
