"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (10/25/2023 19:41)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     1.3917E+00
    8.965     1.9869E+02
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.7968E+03     1.8426E+03
    0.000     2.2208E+03     1.8125E+03
    8.970     4.0735E-03     2.2102E-03
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005    8.965
 401.0   2.9583E+00   1.1069E+03
 403.0   3.0224E+00   1.1567E+03
 405.0   3.0871E+00   1.1071E+03
 407.0   3.0977E+00   1.1250E+03
 409.0   3.1089E+00   1.1008E+03
 411.0   3.1297E+00   1.1618E+03
 413.0   3.1601E+00   1.0718E+03
 415.0   3.1908E+00   1.0956E+03
 417.0   3.1946E+00   1.3458E+03
 419.0   3.1987E+00   1.2172E+03
 421.0   3.1984E+00   1.1419E+03
 423.0   3.1938E+00   1.1110E+03
 425.0   3.1896E+00   1.1107E+03
 427.0   3.2034E+00   1.1107E+03
 429.0   3.2177E+00   1.1444E+03
 431.0   3.2274E+00   1.0828E+03
 433.0   3.2331E+00   1.0814E+03
 435.0   3.2390E+00   1.1103E+03
 437.0   3.2183E+00   1.1407E+03
 439.0   3.1979E+00   1.1157E+03
 441.0   3.1645E+00   1.1807E+03
 443.0   3.1180E+00   1.0737E+03
 445.0   3.0719E+00   1.1136E+03
 447.0   3.0272E+00   1.1661E+03
 449.0   2.9828E+00   1.1124E+03
 451.0   2.9436E+00   1.1019E+03
 453.0   2.9095E+00   1.0927E+03
 455.0   2.8756E+00   1.0908E+03
 457.0   2.8520E+00   9.6215E+02
 459.0   2.8287E+00   8.1381E+02
 461.0   2.8059E+00   7.8446E+02
 463.0   2.7838E+00   7.6600E+02
 465.0   2.7619E+00   6.9625E+02
 467.0   2.7225E+00   7.2199E+02
 469.0   2.6834E+00   7.6990E+02
 471.0   2.6401E+00   7.1266E+02
 473.0   2.5925E+00   7.8288E+02
 475.0   2.5452E+00   7.8488E+02
 477.0   2.4982E+00   7.6389E+02
 479.0   2.4513E+00   7.5705E+02
 481.0   2.4135E+00   7.3374E+02
 483.0   2.3848E+00   7.7807E+02
 485.0   2.3563E+00   7.4838E+02
 487.0   2.3280E+00   7.8345E+02
 489.0   2.2999E+00   7.7552E+02
 491.0   2.2631E+00   8.2391E+02
 493.0   2.2175E+00   8.0684E+02
 495.0   2.1721E+00   7.8010E+02
 497.0   2.1181E+00   8.3112E+02
 499.0   2.0644E+00   8.5791E+02
 501.0   2.0248E+00   8.5286E+02
 503.0   1.9993E+00   8.5384E+02
 505.0   1.9740E+00   8.2881E+02
 507.0   1.9406E+00   8.8786E+02
 509.0   1.9073E+00   8.5563E+02
 511.0   1.8742E+00   8.6297E+02
 513.0   1.8414E+00   8.6153E+02
 515.0   1.8086E+00   9.0058E+02
 517.0   1.7465E+00   9.0494E+02
 519.0   1.6846E+00   8.9677E+02
 521.0   1.6407E+00   8.7274E+02
 523.0   1.6148E+00   8.2969E+02
 525.0   1.5890E+00   9.1099E+02
 527.0   1.5549E+00   8.6238E+02
 529.0   1.5210E+00   8.9725E+02
 531.0   1.4872E+00   8.8458E+02
 533.0   1.4536E+00   8.6067E+02
 535.0   1.4201E+00   8.2680E+02
 537.0   1.3869E+00   8.1025E+02
 539.0   1.3539E+00   7.7831E+02
 541.0   1.3213E+00   7.7681E+02
 543.0   1.2892E+00   7.9510E+02
 545.0   1.2571E+00   7.8822E+02
 547.0   1.2260E+00   7.5692E+02
 549.0   1.1949E+00   7.1426E+02
 551.0   1.1634E+00   6.9861E+02
 553.0   1.1316E+00   6.4833E+02
 555.0   1.0998E+00   6.4897E+02
 557.0   1.0678E+00   6.4100E+02
 559.0   1.0359E+00   5.9477E+02
 561.0   1.0087E+00   5.8780E+02
 563.0   9.8596E-01   5.9692E+02
 565.0   9.6333E-01   4.6486E+02
 567.0   9.5981E-01   5.4172E+02
 569.0   9.5636E-01   5.8002E+02
 571.0   9.4932E-01   4.8862E+02
 573.0   9.3870E-01   5.0424E+02
 575.0   9.2813E-01   5.3895E+02
 577.0   9.5507E-01   5.3968E+02
 579.0   9.8213E-01   5.7028E+02
 581.0   9.8931E-01   5.6185E+02
 583.0   9.7652E-01   5.0892E+02
 585.0   9.6376E-01   5.7054E+02
 587.0   9.7977E-01   5.8458E+02
 589.0   9.9586E-01   5.4598E+02
 591.0   9.9166E-01   5.5706E+02
 593.0   9.6714E-01   5.5155E+02
 595.0   9.4270E-01   5.3530E+02
 597.0   9.5486E-01   4.9845E+02
 599.0   9.6704E-01   4.8924E+02
 601.0   9.9699E-01   5.0523E+02
 603.0   1.0448E+00   5.0291E+02
 605.0   1.0928E+00   5.8568E+02
 607.0   1.0753E+00   5.4331E+02
 609.0   1.0578E+00   5.3678E+02
 611.0   1.0530E+00   5.6800E+02
 613.0   1.0607E+00   5.5759E+02
 615.0   1.0685E+00   5.6235E+02
 617.0   1.0784E+00   4.9798E+02
 619.0   1.0883E+00   5.4087E+02
 621.0   1.1028E+00   5.6859E+02
 623.0   1.1219E+00   5.4096E+02
 625.0   1.1411E+00   6.0692E+02
 627.0   1.1605E+00   6.1920E+02
 629.0   1.1800E+00   6.1007E+02
 631.0   1.1999E+00   6.2149E+02
 633.0   1.2201E+00   6.0269E+02
 635.0   1.2405E+00   5.6008E+02
 637.0   1.2462E+00   5.9650E+02
 639.0   1.2520E+00   5.9212E+02
 641.0   1.2511E+00   5.9861E+02
 643.0   1.2436E+00   5.8498E+02
 645.0   1.2361E+00   6.2416E+02
 647.0   1.2679E+00   6.0752E+02
 649.0   1.2998E+00   6.3528E+02
 651.0   1.3352E+00   6.2569E+02
 653.0   1.3743E+00   5.4566E+02
 655.0   1.4133E+00   6.7746E+02
 657.0   1.4829E+00   6.8711E+02
 659.0   1.5526E+00   6.8041E+02
 661.0   1.6315E+00   6.9836E+02
 663.0   1.7194E+00   8.0061E+02
 665.0   1.8075E+00   7.9751E+02
 667.0   1.8645E+00   7.0187E+02
 669.0   1.9215E+00   7.7219E+02
 671.0   1.9288E+00   7.0967E+02
 673.0   1.8862E+00   7.1052E+02
 675.0   1.8436E+00   6.6396E+02
 677.0   1.8138E+00   6.6349E+02
 679.0   1.7839E+00   7.6745E+02
 681.0   1.7370E+00   6.7529E+02
 683.0   1.6730E+00   6.8579E+02
 685.0   1.6091E+00   6.3194E+02
 687.0   1.5312E+00   6.0614E+02
 689.0   1.4535E+00   6.3800E+02
 691.0   1.3967E+00   6.1944E+02
 693.0   1.3608E+00   5.7125E+02
 695.0   1.3249E+00   4.8885E+02
 697.0   1.3080E+00   6.0503E+02
 699.0   1.2910E+00   5.2707E+02
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005    8.965
 401.0   2.4391E+00   1.1072E+03
 403.0   2.5000E+00   1.1570E+03
 405.0   2.5614E+00   1.1074E+03
 407.0   2.5706E+00   1.1254E+03
 409.0   2.5803E+00   1.1012E+03
 411.0   2.5993E+00   1.1622E+03
 413.0   2.6277E+00   1.0721E+03
 415.0   2.6563E+00   1.0960E+03
 417.0   2.6588E+00   1.3463E+03
 419.0   2.6618E+00   1.2177E+03
 421.0   2.6605E+00   1.1425E+03
 423.0   2.6551E+00   1.1117E+03
 425.0   2.6501E+00   1.1114E+03
 427.0   2.6628E+00   1.1114E+03
 429.0   2.6758E+00   1.1451E+03
 431.0   2.6846E+00   1.0834E+03
 433.0   2.6895E+00   1.0820E+03
 435.0   2.6946E+00   1.1107E+03
 437.0   2.6741E+00   1.1411E+03
 439.0   2.6539E+00   1.1160E+03
 441.0   2.6212E+00   1.1810E+03
 443.0   2.5760E+00   1.0741E+03
 445.0   2.5310E+00   1.1140E+03
 447.0   2.4879E+00   1.1664E+03
 449.0   2.4451E+00   1.1128E+03
 451.0   2.4074E+00   1.1023E+03
 453.0   2.3747E+00   1.0931E+03
 455.0   2.3423E+00   1.0912E+03
 457.0   2.3200E+00   9.6257E+02
 459.0   2.2980E+00   8.1428E+02
 461.0   2.2765E+00   7.8494E+02
 463.0   2.2558E+00   7.6657E+02
 465.0   2.2353E+00   6.9682E+02
 467.0   2.1983E+00   7.2257E+02
 469.0   2.1616E+00   7.7039E+02
 471.0   2.1210E+00   7.1316E+02
 473.0   2.0765E+00   7.8330E+02
 475.0   2.0323E+00   7.8527E+02
 477.0   1.9885E+00   7.6424E+02
 479.0   1.9450E+00   7.5739E+02
 481.0   1.9102E+00   7.3406E+02
 483.0   1.8839E+00   7.7833E+02
 485.0   1.8578E+00   7.4859E+02
 487.0   1.8320E+00   7.8361E+02
 489.0   1.8065E+00   7.7565E+02
 491.0   1.7728E+00   8.2397E+02
 493.0   1.7310E+00   8.0690E+02
 495.0   1.6893E+00   7.8012E+02
 497.0   1.6398E+00   8.3111E+02
 499.0   1.5906E+00   8.5787E+02
 501.0   1.5547E+00   8.5279E+02
 503.0   1.5319E+00   8.5372E+02
 505.0   1.5092E+00   8.2865E+02
 507.0   1.4791E+00   8.8768E+02
 509.0   1.4491E+00   8.5542E+02
 511.0   1.4194E+00   8.6275E+02
 513.0   1.3899E+00   8.6132E+02
 515.0   1.3605E+00   9.0036E+02
 517.0   1.3046E+00   9.0477E+02
 519.0   1.2492E+00   8.9664E+02
 521.0   1.2102E+00   8.7263E+02
 523.0   1.1875E+00   8.2958E+02
 525.0   1.1649E+00   9.1088E+02
 527.0   1.1350E+00   8.6228E+02
 529.0   1.1053E+00   8.9716E+02
 531.0   1.0758E+00   8.8451E+02
 533.0   1.0467E+00   8.6061E+02
 535.0   1.0177E+00   8.2675E+02
 537.0   9.8919E-01   8.1021E+02
 539.0   9.6086E-01   7.7828E+02
 541.0   9.3305E-01   7.7679E+02
 543.0   9.0577E-01   7.9507E+02
 545.0   8.7871E-01   7.8821E+02
 547.0   8.5251E-01   7.5689E+02
 549.0   8.2655E-01   7.1423E+02
 551.0   8.0045E-01   6.9858E+02
 553.0   7.7412E-01   6.4830E+02
 555.0   7.4808E-01   6.4893E+02
 557.0   7.2202E-01   6.4096E+02
 559.0   6.9623E-01   5.9472E+02
 561.0   6.7433E-01   5.8774E+02
 563.0   6.5628E-01   5.9684E+02
 565.0   6.3835E-01   4.6477E+02
 567.0   6.3583E-01   5.4159E+02
 569.0   6.3335E-01   5.7986E+02
 571.0   6.2800E-01   4.8845E+02
 573.0   6.1982E-01   5.0407E+02
 575.0   6.1163E-01   5.3877E+02
 577.0   6.3353E-01   5.3945E+02
 579.0   6.5575E-01   5.7001E+02
 581.0   6.6194E-01   5.6158E+02
 583.0   6.5191E-01   5.0866E+02
 585.0   6.4189E-01   5.7029E+02
 587.0   6.5530E-01   5.8431E+02
 589.0   6.6885E-01   5.4569E+02
 591.0   6.6583E-01   5.5676E+02
 593.0   6.4618E-01   5.5127E+02
 595.0   6.2670E-01   5.3504E+02
 597.0   6.3702E-01   4.9815E+02
 599.0   6.4741E-01   4.8891E+02
 601.0   6.7256E-01   5.0484E+02
 603.0   7.1297E-01   5.0245E+02
 605.0   7.5411E-01   5.8515E+02
 607.0   7.3992E-01   5.4279E+02
 609.0   7.2578E-01   5.3628E+02
 611.0   7.2234E-01   5.6751E+02
