"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (10/30/2023 17:29)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     1.9226E+00
    8.865     1.8340E+02
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.7704E+03     1.8436E+03
    0.000     2.0973E+03     1.7964E+03
    8.870     2.8650E-03     1.6626E-03
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005    8.865
 401.0   3.6112E+00   1.3565E+03
 403.0   3.7064E+00   1.3159E+03
 405.0   3.8023E+00   1.3784E+03
 407.0   3.8224E+00   1.3971E+03
 409.0   3.8432E+00   1.4454E+03
 411.0   3.8775E+00   1.3770E+03
 413.0   3.9254E+00   1.4670E+03
 415.0   3.9739E+00   1.3842E+03
 417.0   3.9847E+00   1.3497E+03
 419.0   3.9960E+00   1.3649E+03
 421.0   4.0015E+00   1.3652E+03
 423.0   4.0011E+00   1.4611E+03
 425.0   4.0013E+00   1.3935E+03
 427.0   4.0273E+00   1.3999E+03
 429.0   4.0539E+00   1.3820E+03
 431.0   4.0745E+00   1.4828E+03
 433.0   4.0893E+00   1.4849E+03
 435.0   4.1045E+00   1.4891E+03
 437.0   4.0824E+00   1.3834E+03
 439.0   4.0606E+00   1.4084E+03
 441.0   4.0204E+00   1.4429E+03
 443.0   3.9616E+00   1.3431E+03
 445.0   3.9033E+00   1.4115E+03
 447.0   3.8462E+00   1.4218E+03
 449.0   3.7896E+00   1.4381E+03
 451.0   3.7398E+00   1.3716E+03
 453.0   3.6968E+00   1.3352E+03
 455.0   3.6541E+00   1.2470E+03
 457.0   3.6251E+00   1.0640E+03
 459.0   3.5964E+00   9.1050E+02
 461.0   3.5683E+00   7.6879E+02
 463.0   3.5408E+00   8.1272E+02
 465.0   3.5136E+00   7.7692E+02
 467.0   3.4615E+00   7.2477E+02
 469.0   3.4098E+00   7.6654E+02
 471.0   3.3522E+00   7.6092E+02
 473.0   3.2885E+00   7.8130E+02
 475.0   3.2252E+00   8.2905E+02
 477.0   3.1623E+00   8.2397E+02
 479.0   3.0997E+00   8.6997E+02
 481.0   3.0500E+00   9.4669E+02
 483.0   3.0131E+00   8.9030E+02
 485.0   2.9765E+00   8.0448E+02
 487.0   2.9403E+00   8.6482E+02
 489.0   2.9044E+00   8.4207E+02
 491.0   2.8562E+00   9.2025E+02
 493.0   2.7956E+00   9.2924E+02
 495.0   2.7353E+00   9.2490E+02
 497.0   2.6627E+00   1.0196E+03
 499.0   2.5904E+00   1.0045E+03
 501.0   2.5379E+00   1.0673E+03
 503.0   2.5052E+00   1.0216E+03
 505.0   2.4727E+00   1.0442E+03
 507.0   2.4284E+00   1.0367E+03
 509.0   2.3842E+00   9.7958E+02
 511.0   2.3403E+00   1.0574E+03
 513.0   2.2967E+00   1.0139E+03
 515.0   2.2532E+00   1.0340E+03
 517.0   2.1692E+00   1.0082E+03
 519.0   2.0854E+00   8.5319E+02
 521.0   2.0271E+00   8.7822E+02
 523.0   1.9942E+00   8.6316E+02
 525.0   1.9615E+00   8.3593E+02
 527.0   1.9167E+00   7.8371E+02
 529.0   1.8721E+00   7.7892E+02
 531.0   1.8277E+00   7.6860E+02
 533.0   1.7834E+00   7.3955E+02
 535.0   1.7393E+00   7.3915E+02
 537.0   1.6956E+00   5.8559E+02
 539.0   1.6519E+00   6.2935E+02
 541.0   1.6087E+00   6.6026E+02
 543.0   1.5660E+00   5.8226E+02
 545.0   1.5234E+00   5.2968E+02
 547.0   1.4817E+00   5.4968E+02
 549.0   1.4401E+00   4.9022E+02
 551.0   1.3982E+00   3.8640E+02
 553.0   1.3558E+00   4.5569E+02
 555.0   1.3135E+00   4.1877E+02
 557.0   1.2710E+00   3.8487E+02
 559.0   1.2286E+00   3.5312E+02
 561.0   1.1927E+00   3.7193E+02
 563.0   1.1632E+00   3.2138E+02
 565.0   1.1339E+00   3.3861E+02
 567.0   1.1314E+00   3.1475E+02
 569.0   1.1289E+00   2.6210E+02
 571.0   1.1209E+00   2.3738E+02
 573.0   1.1073E+00   2.7416E+02
 575.0   1.0937E+00   2.5850E+02
 577.0   1.1331E+00   2.6191E+02
 579.0   1.1727E+00   2.6459E+02
 581.0   1.1826E+00   3.2228E+02
 583.0   1.1628E+00   2.5182E+02
 585.0   1.1431E+00   2.7441E+02
 587.0   1.1637E+00   2.5233E+02
 589.0   1.1844E+00   2.8092E+02
 591.0   1.1751E+00   3.4573E+02
 593.0   1.1360E+00   2.7842E+02
 595.0   1.0968E+00   2.4840E+02
 597.0   1.1061E+00   2.4345E+02
 599.0   1.1155E+00   1.4858E+02
 601.0   1.1520E+00   2.6302E+02
 603.0   1.2158E+00   3.2890E+02
 605.0   1.2797E+00   3.4200E+02
 607.0   1.2550E+00   2.6443E+02
 609.0   1.2303E+00   3.2792E+02
 611.0   1.2239E+00   2.6639E+02
 613.0   1.2358E+00   2.7676E+02
 615.0   1.2478E+00   3.5362E+02
 617.0   1.2618E+00   3.0231E+02
 619.0   1.2758E+00   3.4945E+02
 621.0   1.2963E+00   2.6951E+02
 623.0   1.3233E+00   3.3895E+02
 625.0   1.3503E+00   3.7035E+02
 627.0   1.3775E+00   3.2602E+02
 629.0   1.4048E+00   3.0679E+02
 631.0   1.4324E+00   3.9066E+02
 633.0   1.4604E+00   3.5179E+02
 635.0   1.4884E+00   3.6159E+02
 637.0   1.4944E+00   3.9940E+02
 639.0   1.5005E+00   4.0995E+02
 641.0   1.4980E+00   3.8008E+02
 643.0   1.4870E+00   3.6378E+02
 645.0   1.4760E+00   3.8480E+02
 647.0   1.5193E+00   4.2617E+02
 649.0   1.5626E+00   4.2798E+02
 651.0   1.6095E+00   4.3793E+02
 653.0   1.6601E+00   3.9611E+02
 655.0   1.7106E+00   5.1415E+02
 657.0   1.8027E+00   5.8760E+02
 659.0   1.8949E+00   6.3686E+02
 661.0   2.0016E+00   7.1023E+02
 663.0   2.1228E+00   6.9304E+02
 665.0   2.2440E+00   7.3564E+02
 667.0   2.3232E+00   7.5670E+02
 669.0   2.4025E+00   7.0524E+02
 671.0   2.4118E+00   6.9032E+02
 673.0   2.3513E+00   6.8771E+02
 675.0   2.2908E+00   7.2247E+02
 677.0   2.2466E+00   7.0556E+02
 679.0   2.2025E+00   6.4501E+02
 681.0   2.1339E+00   6.7187E+02
 683.0   2.0410E+00   6.2169E+02
 685.0   1.9480E+00   5.9789E+02
 687.0   1.8339E+00   5.4548E+02
 689.0   1.7197E+00   4.5908E+02
 691.0   1.6337E+00   4.2226E+02
 693.0   1.5762E+00   4.6606E+02
 695.0   1.5187E+00   3.5696E+02
 697.0   1.4836E+00   2.3098E+02
 699.0   1.4487E+00   2.8175E+02
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005    8.865
 401.0   3.2841E+00   1.3547E+03
 403.0   3.3794E+00   1.3141E+03
 405.0   3.4756E+00   1.3765E+03
 407.0   3.4951E+00   1.3951E+03
 409.0   3.5153E+00   1.4434E+03
 411.0   3.5491E+00   1.3751E+03
 413.0   3.5969E+00   1.4650E+03
 415.0   3.6451E+00   1.3822E+03
 417.0   3.6551E+00   1.3478E+03
 419.0   3.6660E+00   1.3629E+03
 421.0   3.6706E+00   1.3633E+03
 423.0   3.6695E+00   1.4592E+03
 425.0   3.6692E+00   1.3916E+03
 427.0   3.6951E+00   1.3979E+03
 429.0   3.7215E+00   1.3801E+03
 431.0   3.7418E+00   1.4808E+03
 433.0   3.7564E+00   1.4828E+03
 435.0   3.7715E+00   1.4870E+03
 437.0   3.7487E+00   1.3813E+03
 439.0   3.7265E+00   1.4063E+03
 441.0   3.6856E+00   1.4408E+03
 443.0   3.6261E+00   1.3411E+03
 445.0   3.5671E+00   1.4095E+03
 447.0   3.5095E+00   1.4198E+03
 449.0   3.4523E+00   1.4362E+03
 451.0   3.4023E+00   1.3696E+03
 453.0   3.3591E+00   1.3333E+03
 455.0   3.3164E+00   1.2451E+03
 457.0   3.2875E+00   1.0621E+03
 459.0   3.2589E+00   9.0870E+02
 461.0   3.2311E+00   7.6722E+02
 463.0   3.2039E+00   8.1105E+02
 465.0   3.1770E+00   7.7541E+02
 467.0   3.1250E+00   7.2334E+02
 469.0   3.0737E+00   7.6508E+02
 471.0   3.0163E+00   7.5945E+02
 473.0   2.9532E+00   7.7971E+02
 475.0   2.8905E+00   8.2754E+02
 477.0   2.8281E+00   8.2242E+02
 479.0   2.7661E+00   8.6843E+02
 481.0   2.7172E+00   9.4510E+02
 483.0   2.6810E+00   8.8876E+02
 485.0   2.6454E+00   8.0306E+02
 487.0   2.6099E+00   8.6329E+02
 489.0   2.5749E+00   8.4052E+02
 491.0   2.5274E+00   9.1871E+02
 493.0   2.4679E+00   9.2769E+02
 495.0   2.4085E+00   9.2335E+02
 497.0   2.3370E+00   1.0180E+03
 499.0   2.2657E+00   1.0030E+03
 501.0   2.2143E+00   1.0658E+03
 503.0   2.1825E+00   1.0201E+03
 505.0   2.1510E+00   1.0427E+03
 507.0   2.1077E+00   1.0352E+03
 509.0   2.0646E+00   9.7809E+02
 511.0   2.0219E+00   1.0559E+03
 513.0   1.9793E+00   1.0124E+03
 515.0   1.9370E+00   1.0326E+03
 517.0   1.8547E+00   1.0068E+03
 519.0   1.7727E+00   8.5188E+02
 521.0   1.7160E+00   8.7695E+02
 523.0   1.6844E+00   8.6190E+02
 525.0   1.6529E+00   8.3469E+02
 527.0   1.6097E+00   7.8251E+02
 529.0   1.5667E+00   7.7775E+02
 531.0   1.5239E+00   7.6746E+02
 533.0   1.4814E+00   7.3844E+02
 535.0   1.4391E+00   7.3806E+02
 537.0   1.3972E+00   5.8454E+02
 539.0   1.3556E+00   6.2833E+02
 541.0   1.3143E+00   6.5926E+02
 543.0   1.2738E+00   5.8128E+02
 545.0   1.2334E+00   5.2873E+02
 547.0   1.1939E+00   5.4876E+02
 549.0   1.1548E+00   4.8932E+02
 551.0   1.1153E+00   3.8552E+02
 553.0   1.0756E+00   4.5483E+02
 555.0   1.0361E+00   4.1794E+02
 557.0   9.9660E-01   3.8406E+02
 559.0   9.5726E-01   3.5233E+02
 561.0   9.2418E-01   3.7116E+02
 563.0   8.9721E-01   3.2062E+02
 565.0   8.7043E-01   3.3786E+02
 567.0   8.6872E-01   3.1399E+02
 569.0   8.6699E-01   2.6133E+02
 571.0   8.6007E-01   2.3660E+02
 573.0   8.4803E-01   2.7339E+02
 575.0   8.3598E-01   2.5774E+02
 577.0   8.7325E-01   2.6110E+02
 579.0   9.1080E-01   2.6374E+02
 581.0   9.2078E-01   3.2142E+02
 583.0   9.0293E-01   2.5098E+02
 585.0   8.8504E-01   2.7359E+02
 587.0   9.0500E-01   2.5149E+02
 589.0   9.2507E-01   2.8005E+02
 591.0   9.1703E-01   3.4487E+02
 593.0   8.8094E-01   2.7760E+02
 595.0   8.4492E-01   2.4761E+02
 597.0   8.5429E-01   2.4265E+02
 599.0   8.6380E-01   1.4776E+02
 601.0   8.9885E-01   2.6215E+02
 603.0   9.5991E-01   3.2796E+02
 605.0   1.0216E+00   3.4100E+02
 607.0   9.9881E-01   2.6345E+02
 609.0   9.7609E-01   3.2696E+02
 611.0   9.7088E-01   2.6544E+02
