"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (11/03/2023 07:31)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     3.1894E+00
   14.965     1.9740E+02
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.7601E+03     1.8416E+03
    0.000     2.0118E+03     1.7834E+03
   14.970     8.6350E-06     4.4325E-06
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005   14.965
 401.0   4.9728E+00   1.7035E+03
 403.0   5.1707E+00   1.6394E+03
 405.0   5.3693E+00   1.6847E+03
 407.0   5.4333E+00   1.6292E+03
 409.0   5.4979E+00   1.5936E+03
 411.0   5.5858E+00   1.6063E+03
 413.0   5.6969E+00   1.7291E+03
 415.0   5.8086E+00   1.6356E+03
 417.0   5.8533E+00   1.6288E+03
 419.0   5.8986E+00   1.7090E+03
 421.0   5.9331E+00   1.6472E+03
 423.0   5.9570E+00   1.5700E+03
 425.0   5.9813E+00   1.7352E+03
 427.0   6.0512E+00   1.6208E+03
 429.0   6.1215E+00   1.7560E+03
 431.0   6.1809E+00   1.7021E+03
 433.0   6.2298E+00   1.6513E+03
 435.0   6.2790E+00   1.6975E+03
 437.0   6.2616E+00   1.6718E+03
 439.0   6.2445E+00   1.7395E+03
 441.0   6.1942E+00   1.6903E+03
 443.0   6.1107E+00   1.7464E+03
 445.0   6.0277E+00   1.6480E+03
 447.0   5.9455E+00   1.7072E+03
 449.0   5.8637E+00   1.6783E+03
 451.0   5.7933E+00   1.4222E+03
 453.0   5.7343E+00   9.5571E+02
 455.0   5.6758E+00   6.0284E+02
 457.0   5.6401E+00   4.6531E+02
 459.0   5.6047E+00   3.8860E+02
 461.0   5.5697E+00   3.3865E+02
 463.0   5.5351E+00   3.4113E+02
 465.0   5.5009E+00   3.1625E+02
 467.0   5.4222E+00   3.4876E+02
 469.0   5.3439E+00   3.4680E+02
 471.0   5.2547E+00   3.4876E+02
 473.0   5.1547E+00   3.4316E+02
 475.0   5.0549E+00   3.7161E+02
 477.0   4.9557E+00   3.5782E+02
 479.0   4.8567E+00   3.8975E+02
 481.0   4.7803E+00   3.3395E+02
 483.0   4.7265E+00   3.7647E+02
 485.0   4.6730E+00   3.9283E+02
 487.0   4.6198E+00   3.9863E+02
 489.0   4.5670E+00   4.0350E+02
 491.0   4.4921E+00   4.1976E+02
 493.0   4.3952E+00   4.2939E+02
 495.0   4.2986E+00   4.5443E+02
 497.0   4.1801E+00   4.3780E+02
 499.0   4.0617E+00   4.5931E+02
 501.0   3.9777E+00   4.7284E+02
 503.0   3.9280E+00   4.8972E+02
 505.0   3.8785E+00   4.7316E+02
 507.0   3.8074E+00   5.0909E+02
 509.0   3.7366E+00   5.2857E+02
 511.0   3.6660E+00   5.1885E+02
 513.0   3.5956E+00   4.9930E+02
 515.0   3.5253E+00   5.2746E+02
 517.0   3.3854E+00   5.6664E+02
 519.0   3.2457E+00   5.6289E+02
 521.0   3.1509E+00   6.3264E+02
 523.0   3.1008E+00   6.4143E+02
 525.0   3.0509E+00   6.3236E+02
 527.0   2.9792E+00   6.4636E+02
 529.0   2.9076E+00   6.4925E+02
 531.0   2.8362E+00   6.5323E+02
 533.0   2.7649E+00   6.7222E+02
 535.0   2.6937E+00   7.2532E+02
 537.0   2.6229E+00   7.0107E+02
 539.0   2.5522E+00   7.2337E+02
 541.0   2.4819E+00   6.7038E+02
 543.0   2.4120E+00   7.4458E+02
 545.0   2.3423E+00   7.3471E+02
 547.0   2.2734E+00   7.1211E+02
 549.0   2.2046E+00   8.0311E+02
 551.0   2.1355E+00   7.3685E+02
 553.0   2.0658E+00   8.0627E+02
 555.0   1.9963E+00   8.3213E+02
 557.0   1.9265E+00   7.8425E+02
 559.0   1.8568E+00   9.5243E+02
 561.0   1.7984E+00   9.0983E+02
 563.0   1.7513E+00   9.7263E+02
 565.0   1.7043E+00   8.7684E+02
 567.0   1.7035E+00   9.1038E+02
 569.0   1.7027E+00   8.8040E+02
 571.0   1.6914E+00   8.5093E+02
 573.0   1.6696E+00   8.8356E+02
 575.0   1.6478E+00   8.3824E+02
 577.0   1.7178E+00   9.0487E+02
 579.0   1.7878E+00   7.9160E+02
 581.0   1.8038E+00   8.7144E+02
 583.0   1.7657E+00   8.6086E+02
 585.0   1.7277E+00   8.6393E+02
 587.0   1.7590E+00   9.0146E+02
 589.0   1.7903E+00   1.0125E+03
 591.0   1.7673E+00   9.6279E+02
 593.0   1.6901E+00   9.5283E+02
 595.0   1.6130E+00   9.7954E+02
 597.0   1.6133E+00   9.3787E+02
 599.0   1.6137E+00   1.0407E+03
 601.0   1.6656E+00   9.5650E+02
 603.0   1.7690E+00   9.2967E+02
 605.0   1.8724E+00   9.7483E+02
 607.0   1.8289E+00   1.0010E+03
 609.0   1.7855E+00   9.4293E+02
 611.0   1.7750E+00   9.3744E+02
 613.0   1.7972E+00   9.4737E+02
 615.0   1.8195E+00   9.4337E+02
 617.0   1.8438E+00   9.4231E+02
 619.0   1.8681E+00   9.8592E+02
 621.0   1.9037E+00   9.1338E+02
 623.0   1.9505E+00   1.0057E+03
 625.0   1.9974E+00   9.1871E+02
 627.0   2.0444E+00   9.3940E+02
 629.0   2.0915E+00   8.9112E+02
 631.0   2.1389E+00   8.4695E+02
 633.0   2.1867E+00   9.0692E+02
 635.0   2.2344E+00   8.8000E+02
 637.0   2.2408E+00   8.0346E+02
 639.0   2.2472E+00   8.3318E+02
 641.0   2.2402E+00   9.5374E+02
 643.0   2.2199E+00   7.9077E+02
 645.0   2.1997E+00   8.3295E+02
 647.0   2.2723E+00   8.7504E+02
 649.0   2.3450E+00   8.0756E+02
 651.0   2.4212E+00   6.9768E+02
 653.0   2.5011E+00   7.5170E+02
 655.0   2.5809E+00   6.6115E+02
 657.0   2.7313E+00   7.0475E+02
 659.0   2.8817E+00   5.7835E+02
 661.0   3.0611E+00   5.8311E+02
 663.0   3.2695E+00   5.0696E+02
 665.0   3.4779E+00   4.5771E+02
 667.0   3.6153E+00   4.3995E+02
 669.0   3.7528E+00   4.2663E+02
 671.0   3.7673E+00   4.5262E+02
 673.0   3.6590E+00   4.5590E+02
 675.0   3.5506E+00   4.2774E+02
 677.0   3.4682E+00   4.6239E+02
 679.0   3.3857E+00   4.8317E+02
 681.0   3.2596E+00   5.3890E+02
 683.0   3.0898E+00   5.2314E+02
 685.0   2.9200E+00   5.5934E+02
 687.0   2.7096E+00   5.7025E+02
 689.0   2.4992E+00   6.8096E+02
 691.0   2.3363E+00   7.2822E+02
 693.0   2.2210E+00   7.3261E+02
 695.0   2.1057E+00   8.3119E+02
 697.0   2.0225E+00   8.7570E+02
 699.0   1.9394E+00   8.1975E+02
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005   14.965
 401.0   4.8813E+00   1.6998E+03
 403.0   5.0829E+00   1.6356E+03
 405.0   5.2851E+00   1.6807E+03
 407.0   5.3499E+00   1.6251E+03
 409.0   5.4156E+00   1.5896E+03
 411.0   5.5047E+00   1.6021E+03
 413.0   5.6179E+00   1.7249E+03
 415.0   5.7313E+00   1.6313E+03
 417.0   5.7766E+00   1.6245E+03
 419.0   5.8224E+00   1.7047E+03
 421.0   5.8573E+00   1.6428E+03
 423.0   5.8813E+00   1.5657E+03
 425.0   5.9059E+00   1.7308E+03
 427.0   5.9768E+00   1.6163E+03
 429.0   6.0483E+00   1.7515E+03
 431.0   6.1086E+00   1.6976E+03
 433.0   6.1583E+00   1.6467E+03
 435.0   6.2082E+00   1.6928E+03
 437.0   6.1903E+00   1.6672E+03
 439.0   6.1727E+00   1.7349E+03
 441.0   6.1214E+00   1.6857E+03
 443.0   6.0362E+00   1.7418E+03
 445.0   5.9515E+00   1.6435E+03
 447.0   5.8678E+00   1.7027E+03
 449.0   5.7844E+00   1.6739E+03
 451.0   5.7127E+00   1.4179E+03
 453.0   5.6527E+00   9.5140E+02
 455.0   5.5932E+00   5.9867E+02
 457.0   5.5570E+00   4.6148E+02
 459.0   5.5210E+00   3.8557E+02
 461.0   5.4855E+00   3.3575E+02
 463.0   5.4504E+00   3.3825E+02
 465.0   5.4156E+00   3.1356E+02
 467.0   5.3357E+00   3.4607E+02
 469.0   5.2562E+00   3.4414E+02
 471.0   5.1656E+00   3.4615E+02
 473.0   5.0641E+00   3.4063E+02
 475.0   4.9629E+00   3.6905E+02
 477.0   4.8622E+00   3.5525E+02
 479.0   4.7617E+00   3.8713E+02
 481.0   4.6843E+00   3.3143E+02
 483.0   4.6300E+00   3.7393E+02
 485.0   4.5758E+00   3.9030E+02
 487.0   4.5221E+00   3.9611E+02
 489.0   4.4688E+00   4.0095E+02
 491.0   4.3930E+00   4.1721E+02
 493.0   4.2947E+00   4.2687E+02
 495.0   4.1968E+00   4.5189E+02
 497.0   4.0765E+00   4.3540E+02
 499.0   3.9566E+00   4.5685E+02
 501.0   3.8714E+00   4.7037E+02
 503.0   3.8213E+00   4.8725E+02
 505.0   3.7713E+00   4.7071E+02
 507.0   3.6994E+00   5.0666E+02
 509.0   3.6276E+00   5.2605E+02
 511.0   3.5562E+00   5.1647E+02
 513.0   3.4849E+00   4.9695E+02
 515.0   3.4139E+00   5.2504E+02
 517.0   3.2718E+00   5.6433E+02
 519.0   3.1302E+00   5.6069E+02
 521.0   3.0341E+00   6.3033E+02
 523.0   2.9836E+00   6.3931E+02
 525.0   2.9333E+00   6.3015E+02
 527.0   2.8608E+00   6.4419E+02
 529.0   2.7884E+00   6.4718E+02
 531.0   2.7163E+00   6.5120E+02
 533.0   2.6443E+00   6.7016E+02
 535.0   2.5724E+00   7.2330E+02
 537.0   2.5009E+00   6.9911E+02
 539.0   2.4294E+00   7.2140E+02
 541.0   2.3585E+00   6.6855E+02
 543.0   2.2882E+00   7.4269E+02
 545.0   2.2177E+00   7.3290E+02
 547.0   2.1482E+00   7.1036E+02
 549.0   2.0789E+00   8.0135E+02
 551.0   2.0092E+00   7.3514E+02
 553.0   1.9392E+00   8.0463E+02
 555.0   1.8693E+00   8.3052E+02
 557.0   1.7989E+00   7.8269E+02
 559.0   1.7290E+00   9.5088E+02
 561.0   1.6705E+00   9.0834E+02
 563.0   1.6233E+00   9.7115E+02
 565.0   1.5763E+00   8.7541E+02
 567.0   1.5759E+00   9.0894E+02
 569.0   1.5756E+00   8.7896E+02
 571.0   1.5647E+00   8.4949E+02
 573.0   1.5431E+00   8.8214E+02
 575.0   1.5215E+00   8.3683E+02
 577.0   1.5928E+00   9.0340E+02
 579.0   1.6640E+00   7.9011E+02
 581.0   1.6806E+00   8.6991E+02
 583.0   1.6426E+00   8.5936E+02
 585.0   1.6046E+00   8.6246E+02
 587.0   1.6366E+00   8.9996E+02
 589.0   1.6689E+00   1.0109E+03
 591.0   1.6461E+00   9.6128E+02
 593.0   1.5685E+00   9.5137E+02
 595.0   1.4911E+00   9.7815E+02
 597.0   1.4920E+00   9.3647E+02
 599.0   1.4929E+00   1.0393E+03
 601.0   1.5455E+00   9.5505E+02
 603.0   1.6509E+00   9.2815E+02
 605.0   1.7561E+00   9.7322E+02
 607.0   1.7127E+00   9.9947E+02
 609.0   1.6693E+00   9.4139E+02
 611.0   1.6591E+00   9.3591E+02
