"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (08/12/2023 23:59)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     3.6687E-01
    5.155     2.9085E-01
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.7986E+03     1.8439E+03
    0.000     2.2390E+03     1.8162E+03
    5.160     2.5321E+02     1.4991E+02
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005    5.155
 401.0   9.1942E-01  -3.6487E-01
 403.0   9.0697E-01  -3.4635E-01
 405.0   8.9498E-01  -3.2790E-01
 407.0   8.7954E-01  -3.0985E-01
 409.0   8.6455E-01  -2.9204E-01
 411.0   8.5074E-01  -2.7466E-01
 413.0   8.3813E-01  -2.5764E-01
 415.0   8.2591E-01  -2.4078E-01
 417.0   8.1208E-01  -2.1765E-01
 419.0   7.9862E-01  -1.9429E-01
 421.0   7.8514E-01  -1.7392E-01
 423.0   7.7167E-01  -1.5689E-01
 425.0   7.5853E-01  -1.4003E-01
 427.0   7.4698E-01  -1.2894E-01
 429.0   7.3577E-01  -1.1813E-01
 431.0   7.2449E-01  -1.1276E-01
 433.0   7.1322E-01  -1.1261E-01
 435.0   7.0222E-01  -1.1243E-01
 437.0   6.8974E-01  -1.1476E-01
 439.0   6.7752E-01  -1.1675E-01
 441.0   6.6462E-01  -1.1507E-01
 443.0   6.5103E-01  -1.0999E-01
 445.0   6.3769E-01  -1.0499E-01
 447.0   6.2512E-01  -1.0060E-01
 449.0   6.1279E-01  -9.6284E-02
 451.0   6.0092E-01  -9.1261E-02
 453.0   5.8951E-01  -8.5598E-02
 455.0   5.7833E-01  -8.0072E-02
 457.0   5.6831E-01  -7.4630E-02
 459.0   5.5868E-01  -6.9301E-02
 461.0   5.4953E-01  -6.5054E-02
 463.0   5.4076E-01  -6.1865E-02
 465.0   5.3218E-01  -5.8790E-02
 467.0   5.2233E-01  -5.7238E-02
 469.0   5.1250E-01  -5.5695E-02
 471.0   5.0243E-01  -5.6729E-02
 473.0   4.9214E-01  -6.0000E-02
 475.0   4.8200E-01  -6.2826E-02
 477.0   4.7214E-01  -6.7624E-02
 479.0   4.6243E-01  -7.1806E-02
 481.0   4.5347E-01  -7.5071E-02
 483.0   4.4525E-01  -7.7635E-02
 485.0   4.3730E-01  -7.9893E-02
 487.0   4.2951E-01  -8.2499E-02
 489.0   4.2162E-01  -8.4863E-02
 491.0   4.1340E-01  -8.7833E-02
 493.0   4.0467E-01  -9.1227E-02
 495.0   3.9595E-01  -9.4156E-02
 497.0   3.8690E-01  -9.8062E-02
 499.0   3.7789E-01  -1.0134E-01
 501.0   3.7049E-01  -1.0572E-01
 503.0   3.6471E-01  -1.1121E-01
 505.0   3.5895E-01  -1.1619E-01
 507.0   3.5351E-01  -1.1983E-01
 509.0   3.4817E-01  -1.2317E-01
 511.0   3.4304E-01  -1.2539E-01
 513.0   3.3822E-01  -1.2663E-01
 515.0   3.3345E-01  -1.2781E-01
 517.0   3.2399E-01  -1.2409E-01
 519.0   3.1440E-01  -1.2037E-01
 521.0   3.0623E-01  -1.1787E-01
 523.0   2.9958E-01  -1.1659E-01
 525.0   2.9300E-01  -1.1527E-01
 527.0   2.8634E-01  -1.1353E-01
 529.0   2.7955E-01  -1.1181E-01
 531.0   2.7285E-01  -1.1043E-01
 533.0   2.6624E-01  -1.0938E-01
 535.0   2.5955E-01  -1.0829E-01
 537.0   2.5306E-01  -1.0761E-01
 539.0   2.4664E-01  -1.0686E-01
 541.0   2.4054E-01  -1.0667E-01
 543.0   2.3461E-01  -1.0703E-01
 545.0   2.2877E-01  -1.0728E-01
 547.0   2.2326E-01  -1.0924E-01
 549.0   2.1777E-01  -1.1101E-01
 551.0   2.1153E-01  -1.1251E-01
 553.0   2.0460E-01  -1.1369E-01
 555.0   1.9770E-01  -1.1464E-01
 557.0   1.9004E-01  -1.1576E-01
 559.0   1.8242E-01  -1.1660E-01
 561.0   1.7508E-01  -1.1769E-01
 563.0   1.6805E-01  -1.1901E-01
 565.0   1.6110E-01  -1.2011E-01
 567.0   1.5728E-01  -1.2325E-01
 569.0   1.5348E-01  -1.2624E-01
 571.0   1.5059E-01  -1.2876E-01
 573.0   1.4856E-01  -1.3089E-01
 575.0   1.4661E-01  -1.3300E-01
 577.0   1.5089E-01  -1.3875E-01
 579.0   1.5535E-01  -1.4452E-01
 581.0   1.6033E-01  -1.5016E-01
 583.0   1.6585E-01  -1.5566E-01
 585.0   1.7156E-01  -1.6118E-01
 587.0   1.8193E-01  -1.7097E-01
 589.0   1.9273E-01  -1.8076E-01
 591.0   2.0309E-01  -1.9086E-01
 593.0   2.1309E-01  -2.0121E-01
 595.0   2.2340E-01  -2.1156E-01
 597.0   2.4878E-01  -2.3415E-01
 599.0   2.7513E-01  -2.5663E-01
 601.0   2.9883E-01  -2.7640E-01
 603.0   3.1954E-01  -2.9350E-01
 605.0   3.4048E-01  -3.1057E-01
 607.0   3.4023E-01  -3.1099E-01
 609.0   3.4002E-01  -3.1144E-01
 611.0   3.4076E-01  -3.1175E-01
 613.0   3.4246E-01  -3.1191E-01
 615.0   3.4422E-01  -3.1206E-01
 617.0   3.4848E-01  -3.1411E-01
 619.0   3.5276E-01  -3.1618E-01
 621.0   3.5740E-01  -3.1884E-01
 623.0   3.6237E-01  -3.2213E-01
 625.0   3.6736E-01  -3.2542E-01
 627.0   3.7262E-01  -3.2886E-01
 629.0   3.7790E-01  -3.3230E-01
 631.0   3.8361E-01  -3.3606E-01
 633.0   3.8972E-01  -3.4016E-01
 635.0   3.9586E-01  -3.4427E-01
 637.0   4.0422E-01  -3.5023E-01
 639.0   4.1258E-01  -3.5618E-01
 641.0   4.1769E-01  -3.5982E-01
 643.0   4.1958E-01  -3.6115E-01
 645.0   4.2149E-01  -3.6248E-01
 647.0   4.3140E-01  -3.6974E-01
 649.0   4.4128E-01  -3.7701E-01
 651.0   4.5595E-01  -3.8703E-01
 653.0   4.7523E-01  -3.9974E-01
 655.0   4.9416E-01  -4.1230E-01
 657.0   5.2097E-01  -4.2669E-01
 659.0   5.4715E-01  -4.4066E-01
 661.0   5.6882E-01  -4.5007E-01
 663.0   5.8627E-01  -4.5450E-01
 665.0   6.0334E-01  -4.5708E-01
 667.0   6.1280E-01  -4.5760E-01
 669.0   6.2219E-01  -4.5712E-01
 671.0   6.2673E-01  -4.5622E-01
 673.0   6.2653E-01  -4.5587E-01
 675.0   6.2636E-01  -4.5552E-01
 677.0   6.3011E-01  -4.6596E-01
 679.0   6.3390E-01  -4.7579E-01
 681.0   6.3666E-01  -4.8876E-01
 683.0   6.3844E-01  -5.0315E-01
 685.0   6.4024E-01  -5.1535E-01
 687.0   6.4290E-01  -5.3531E-01
 689.0   6.4614E-01  -5.5130E-01
 691.0   6.5398E-01  -5.6988E-01
 693.0   6.6656E-01  -5.9071E-01
 695.0   6.7970E-01  -6.0949E-01
 697.0   7.0614E-01  -6.3608E-01
 699.0   7.3277E-01  -6.6175E-01
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005    5.155
 401.0   7.7625E-01  -4.2946E-01
 403.0   7.6373E-01  -3.8048E-01
 405.0   7.5170E-01  -3.3117E-01
 407.0   7.3636E-01  -2.8460E-01
 409.0   7.2143E-01  -2.3824E-01
 411.0   7.0769E-01  -1.9225E-01
 413.0   6.9513E-01  -1.4645E-01
 415.0   6.8301E-01  -1.0064E-01
 417.0   6.6933E-01  -3.6852E-02
 419.0   6.5606E-01   2.8316E-02
 421.0   6.4280E-01   8.4881E-02
 423.0   6.2960E-01   1.3158E-01
 425.0   6.1677E-01   1.7822E-01
 427.0   6.0554E-01   2.0823E-01
 429.0   5.9463E-01   2.3773E-01
 431.0   5.8372E-01   2.5054E-01
 433.0   5.7285E-01   2.4716E-01
 435.0   5.6227E-01   2.4388E-01
 437.0   5.5038E-01   2.3173E-01
 439.0   5.3877E-01   2.2055E-01
 441.0   5.2658E-01   2.2022E-01
 443.0   5.1380E-01   2.2999E-01
 445.0   5.0130E-01   2.3965E-01
 447.0   4.8960E-01   2.4762E-01
 449.0   4.7816E-01   2.5544E-01
 451.0   4.6720E-01   2.6574E-01
 453.0   4.5672E-01   2.7824E-01
 455.0   4.4648E-01   2.9053E-01
 457.0   4.3736E-01   3.0307E-01
 459.0   4.2868E-01   3.1532E-01
 461.0   4.2050E-01   3.2405E-01
 463.0   4.1269E-01   3.2951E-01
 465.0   4.0510E-01   3.3464E-01
 467.0   3.9641E-01   3.3396E-01
 469.0   3.8776E-01   3.3335E-01
 471.0   3.7894E-01   3.2398E-01
 473.0   3.7001E-01   3.0675E-01
 475.0   3.6125E-01   2.9097E-01
 477.0   3.5284E-01   2.6848E-01
 479.0   3.4460E-01   2.4795E-01
 481.0   3.3705E-01   2.3098E-01
 483.0   3.3018E-01   2.1662E-01
 485.0   3.2360E-01   2.0337E-01
 487.0   3.1720E-01   1.8895E-01
 489.0   3.1070E-01   1.7548E-01
 491.0   3.0402E-01   1.5941E-01
 493.0   2.9699E-01   1.4141E-01
 495.0   2.9000E-01   1.2478E-01
 497.0   2.8286E-01   1.0442E-01
 499.0   2.7581E-01   8.6148E-02
 501.0   2.7018E-01   6.5303E-02
 503.0   2.6595E-01   4.1953E-02
 505.0   2.6176E-01   2.0344E-02
 507.0   2.5782E-01   3.6239E-03
 509.0   2.5398E-01  -1.2102E-02
 511.0   2.5026E-01  -2.3625E-02
 513.0   2.4678E-01  -3.1614E-02
 515.0   2.4333E-01  -3.9292E-02
 517.0   2.3607E-01  -3.4260E-02
 519.0   2.2872E-01  -2.9138E-02
 521.0   2.2255E-01  -2.6974E-02
 523.0   2.1765E-01  -2.7777E-02
 525.0   2.1283E-01  -2.8444E-02
 527.0   2.0796E-01  -2.7812E-02
 529.0   2.0298E-01  -2.7132E-02
 531.0   1.9815E-01  -2.7686E-02
 533.0   1.9347E-01  -2.9352E-02
 535.0   1.8872E-01  -3.0845E-02
 537.0   1.8420E-01  -3.3641E-02
 539.0   1.7976E-01  -3.6126E-02
 541.0   1.7563E-01  -4.0304E-02
 543.0   1.7168E-01  -4.6034E-02
 545.0   1.6785E-01  -5.1432E-02
 547.0   1.6447E-01  -6.2314E-02
 549.0   1.6114E-01  -7.2446E-02
 551.0   1.5731E-01  -8.2248E-02
 553.0   1.5303E-01  -9.1491E-02
 555.0   1.4878E-01  -9.9843E-02
 557.0   1.4412E-01  -1.0929E-01
 559.0   1.3947E-01  -1.1767E-01
 561.0   1.3506E-01  -1.2653E-01
 563.0   1.3093E-01  -1.3579E-01
 565.0   1.2684E-01  -1.4414E-01
 567.0   1.2509E-01  -1.5650E-01
 569.0   1.2335E-01  -1.6824E-01
 571.0   1.2210E-01  -1.7772E-01
 573.0   1.2131E-01  -1.8530E-01
 575.0   1.2060E-01  -1.9275E-01
 577.0   1.2449E-01  -2.0707E-01
 579.0   1.2850E-01  -2.2136E-01
 581.0   1.3283E-01  -2.3492E-01
 583.0   1.3752E-01  -2.4776E-01
 585.0   1.4233E-01  -2.6059E-01
 587.0   1.5097E-01  -2.8356E-01
 589.0   1.5994E-01  -3.0638E-01
 591.0   1.6871E-01  -3.3033E-01
 593.0   1.7736E-01  -3.5532E-01
