"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (11/02/2023 01:34)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     2.2407E+00
    2.265     4.8480E-01
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.7849E+03     1.8349E+03
    0.000     2.1032E+03     1.7902E+03
    2.270     2.2691E+01     1.3178E+01
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005    2.265
 401.0   3.7578E+00  -1.9678E+00
 403.0   3.9037E+00  -2.0782E+00
 405.0   4.0498E+00  -2.1894E+00
 407.0   4.0989E+00  -2.2199E+00
 409.0   4.1482E+00  -2.2519E+00
 411.0   4.2139E+00  -2.2982E+00
 413.0   4.2962E+00  -2.3545E+00
 415.0   4.3786E+00  -2.4135E+00
 417.0   4.4124E+00  -2.4122E+00
 419.0   4.4463E+00  -2.4073E+00
 421.0   4.4721E+00  -2.4085E+00
 423.0   4.4900E+00  -2.4106E+00
 425.0   4.5079E+00  -2.4125E+00
 427.0   4.5580E+00  -2.4548E+00
 429.0   4.6083E+00  -2.5014E+00
 431.0   4.6504E+00  -2.5553E+00
 433.0   4.6848E+00  -2.6154E+00
 435.0   4.7191E+00  -2.6771E+00
 437.0   4.7054E+00  -2.7069E+00
 439.0   4.6918E+00  -2.7350E+00
 441.0   4.6544E+00  -2.7345E+00
 443.0   4.5930E+00  -2.6993E+00
 445.0   4.5318E+00  -2.6683E+00
 447.0   4.4718E+00  -2.6358E+00
 449.0   4.4120E+00  -2.6030E+00
 451.0   4.3607E+00  -2.5726E+00
 453.0   4.3178E+00  -2.5484E+00
 455.0   4.2750E+00  -2.5244E+00
 457.0   4.2494E+00  -2.5128E+00
 459.0   4.2238E+00  -2.5020E+00
 461.0   4.1987E+00  -2.4905E+00
 463.0   4.1742E+00  -2.4834E+00
 465.0   4.1498E+00  -2.4780E+00
 467.0   4.0937E+00  -2.4491E+00
 469.0   4.0377E+00  -2.4233E+00
 471.0   3.9739E+00  -2.3966E+00
 473.0   3.9022E+00  -2.3695E+00
 475.0   3.8306E+00  -2.3405E+00
 477.0   3.7591E+00  -2.3151E+00
 479.0   3.6878E+00  -2.2890E+00
 481.0   3.6326E+00  -2.2732E+00
 483.0   3.5934E+00  -2.2660E+00
 485.0   3.5545E+00  -2.2592E+00
 487.0   3.5156E+00  -2.2513E+00
 489.0   3.4765E+00  -2.2439E+00
 491.0   3.4218E+00  -2.2230E+00
 493.0   3.3512E+00  -2.1909E+00
 495.0   3.2805E+00  -2.1568E+00
 497.0   3.1943E+00  -2.1128E+00
 499.0   3.1081E+00  -2.0652E+00
 501.0   3.0467E+00  -2.0395E+00
 503.0   3.0100E+00  -2.0358E+00
 505.0   2.9733E+00  -2.0297E+00
 507.0   2.9214E+00  -2.0048E+00
 509.0   2.8697E+00  -1.9792E+00
 511.0   2.8180E+00  -1.9496E+00
 513.0   2.7665E+00  -1.9168E+00
 515.0   2.7151E+00  -1.8836E+00
 517.0   2.6131E+00  -1.8021E+00
 519.0   2.5108E+00  -1.7202E+00
 521.0   2.4406E+00  -1.6675E+00
 523.0   2.4028E+00  -1.6443E+00
 525.0   2.3650E+00  -1.6207E+00
 527.0   2.3119E+00  -1.5824E+00
 529.0   2.2584E+00  -1.5433E+00
 531.0   2.2053E+00  -1.5056E+00
 533.0   2.1524E+00  -1.4682E+00
 535.0   2.0993E+00  -1.4308E+00
 537.0   2.0465E+00  -1.3940E+00
 539.0   1.9938E+00  -1.3572E+00
 541.0   1.9415E+00  -1.3210E+00
 543.0   1.8894E+00  -1.2856E+00
 545.0   1.8373E+00  -1.2495E+00
 547.0   1.7861E+00  -1.2175E+00
 549.0   1.7347E+00  -1.1845E+00
 551.0   1.6828E+00  -1.1516E+00
 553.0   1.6302E+00  -1.1186E+00
 555.0   1.5775E+00  -1.0848E+00
 557.0   1.5243E+00  -1.0522E+00
 559.0   1.4708E+00  -1.0187E+00
 561.0   1.4253E+00  -9.9212E-01
 563.0   1.3879E+00  -9.7272E-01
 565.0   1.3502E+00  -9.5246E-01
 567.0   1.3475E+00  -9.6143E-01
 569.0   1.3447E+00  -9.6996E-01
 571.0   1.3344E+00  -9.6931E-01
 573.0   1.3164E+00  -9.5976E-01
 575.0   1.2985E+00  -9.5022E-01
 577.0   1.3509E+00  -9.9893E-01
 579.0   1.4031E+00  -1.0476E+00
 581.0   1.4155E+00  -1.0601E+00
 583.0   1.3882E+00  -1.0366E+00
 585.0   1.3609E+00  -1.0130E+00
 587.0   1.3864E+00  -1.0370E+00
 589.0   1.4120E+00  -1.0611E+00
 591.0   1.3972E+00  -1.0509E+00
 593.0   1.3419E+00  -1.0064E+00
 595.0   1.2860E+00  -9.6193E-01
 597.0   1.2919E+00  -9.7405E-01
 599.0   1.2978E+00  -9.8601E-01
 601.0   1.3418E+00  -1.0303E+00
 603.0   1.4233E+00  -1.1068E+00
 605.0   1.5043E+00  -1.1830E+00
 607.0   1.4717E+00  -1.1552E+00
 609.0   1.4389E+00  -1.1273E+00
 611.0   1.4308E+00  -1.1195E+00
 613.0   1.4474E+00  -1.1317E+00
 615.0   1.4640E+00  -1.1436E+00
 617.0   1.4826E+00  -1.1579E+00
 619.0   1.5012E+00  -1.1720E+00
 621.0   1.5282E+00  -1.1944E+00
 623.0   1.5634E+00  -1.2248E+00
 625.0   1.5986E+00  -1.2555E+00
 627.0   1.6339E+00  -1.2860E+00
 629.0   1.6692E+00  -1.3168E+00
 631.0   1.7047E+00  -1.3477E+00
 633.0   1.7405E+00  -1.3791E+00
 635.0   1.7762E+00  -1.4103E+00
 637.0   1.7825E+00  -1.4159E+00
 639.0   1.7888E+00  -1.4213E+00
 641.0   1.7848E+00  -1.4174E+00
 643.0   1.7703E+00  -1.4040E+00
 645.0   1.7559E+00  -1.3906E+00
 647.0   1.8104E+00  -1.4398E+00
 649.0   1.8648E+00  -1.4888E+00
 651.0   1.9226E+00  -1.5394E+00
 653.0   1.9839E+00  -1.5915E+00
 655.0   2.0450E+00  -1.6432E+00
 657.0   2.1580E+00  -1.7314E+00
 659.0   2.2707E+00  -1.8174E+00
 661.0   2.4027E+00  -1.9165E+00
 663.0   2.5543E+00  -2.0278E+00
 665.0   2.7056E+00  -2.1324E+00
 667.0   2.8049E+00  -2.2003E+00
 669.0   2.9041E+00  -2.2651E+00
 671.0   2.9150E+00  -2.2603E+00
 673.0   2.8377E+00  -2.1895E+00
 675.0   2.7604E+00  -2.1187E+00
 677.0   2.7027E+00  -2.0883E+00
 679.0   2.6451E+00  -2.0555E+00
 681.0   2.5563E+00  -2.0070E+00
 683.0   2.4363E+00  -1.9359E+00
 685.0   2.3162E+00  -1.8577E+00
 687.0   2.1674E+00  -1.7727E+00
 689.0   2.0178E+00  -1.6734E+00
 691.0   1.9020E+00  -1.6016E+00
 693.0   1.8202E+00  -1.5567E+00
 695.0   1.7366E+00  -1.5050E+00
 697.0   1.6786E+00  -1.4714E+00
 699.0   1.6190E+00  -1.4352E+00
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005    2.265
 401.0   3.2877E+00  -2.9682E+00
 403.0   3.4309E+00  -3.1839E+00
 405.0   3.5746E+00  -3.3973E+00
 407.0   3.6223E+00  -3.4513E+00
 409.0   3.6703E+00  -3.5062E+00
 411.0   3.7345E+00  -3.5885E+00
 413.0   3.8153E+00  -3.6933E+00
 415.0   3.8962E+00  -3.7997E+00
 417.0   3.9289E+00  -3.7747E+00
 419.0   3.9617E+00  -3.7436E+00
 421.0   3.9865E+00  -3.7262E+00
 423.0   4.0035E+00  -3.7189E+00
 425.0   4.0206E+00  -3.7111E+00
 427.0   4.0699E+00  -3.7969E+00
 429.0   4.1194E+00  -3.8869E+00
 431.0   4.1607E+00  -4.0032E+00
 433.0   4.1946E+00  -4.1438E+00
 435.0   4.2283E+00  -4.2844E+00
 437.0   4.2144E+00  -4.3666E+00
 439.0   4.2006E+00  -4.4445E+00
 441.0   4.1631E+00  -4.4568E+00
 443.0   4.1019E+00  -4.3984E+00
 445.0   4.0409E+00  -4.3436E+00
 447.0   3.9814E+00  -4.2882E+00
 449.0   3.9220E+00  -4.2319E+00
 451.0   3.8713E+00  -4.1806E+00
 453.0   3.8290E+00  -4.1383E+00
 455.0   3.7869E+00  -4.0959E+00
 457.0   3.7619E+00  -4.0777E+00
 459.0   3.7372E+00  -4.0598E+00
 461.0   3.7132E+00  -4.0457E+00
 463.0   3.6897E+00  -4.0405E+00
 465.0   3.6664E+00  -4.0371E+00
 467.0   3.6117E+00  -3.9932E+00
 469.0   3.5571E+00  -3.9518E+00
 471.0   3.4949E+00  -3.9160E+00
 473.0   3.4249E+00  -3.8845E+00
 475.0   3.3550E+00  -3.8480E+00
 477.0   3.2855E+00  -3.8245E+00
 479.0   3.2162E+00  -3.7968E+00
 481.0   3.1628E+00  -3.7866E+00
 483.0   3.1253E+00  -3.7934E+00
 485.0   3.0880E+00  -3.7986E+00
 487.0   3.0508E+00  -3.8032E+00
 489.0   3.0135E+00  -3.8065E+00
 491.0   2.9608E+00  -3.7864E+00
 493.0   2.8925E+00  -3.7445E+00
 495.0   2.8242E+00  -3.6975E+00
 497.0   2.7408E+00  -3.6326E+00
 499.0   2.6575E+00  -3.5603E+00
 501.0   2.5985E+00  -3.5319E+00
 503.0   2.5637E+00  -3.5477E+00
 505.0   2.5289E+00  -3.5579E+00
 507.0   2.4793E+00  -3.5259E+00
 509.0   2.4299E+00  -3.4911E+00
 511.0   2.3805E+00  -3.4453E+00
 513.0   2.3314E+00  -3.3898E+00
 515.0   2.2824E+00  -3.3330E+00
 517.0   2.1846E+00  -3.1745E+00
 519.0   2.0868E+00  -3.0143E+00
 521.0   2.0201E+00  -2.9147E+00
 523.0   1.9846E+00  -2.8763E+00
 525.0   1.9492E+00  -2.8371E+00
 527.0   1.8991E+00  -2.7658E+00
 529.0   1.8489E+00  -2.6933E+00
 531.0   1.7990E+00  -2.6238E+00
 533.0   1.7495E+00  -2.5561E+00
 535.0   1.7000E+00  -2.4876E+00
 537.0   1.6508E+00  -2.4213E+00
 539.0   1.6019E+00  -2.3540E+00
 541.0   1.5536E+00  -2.2890E+00
 543.0   1.5055E+00  -2.2262E+00
 545.0   1.4578E+00  -2.1617E+00
 547.0   1.4109E+00  -2.1088E+00
 549.0   1.3643E+00  -2.0534E+00
 551.0   1.3173E+00  -1.9991E+00
 553.0   1.2701E+00  -1.9451E+00
 555.0   1.2230E+00  -1.8886E+00
 557.0   1.1759E+00  -1.8365E+00
 559.0   1.1290E+00  -1.7813E+00
 561.0   1.0895E+00  -1.7410E+00
 563.0   1.0575E+00  -1.7158E+00
 565.0   1.0255E+00  -1.6879E+00
 567.0   1.0241E+00  -1.7210E+00
 569.0   1.0227E+00  -1.7522E+00
 571.0   1.0147E+00  -1.7605E+00
 573.0   1.0000E+00  -1.7470E+00
 575.0   9.8535E-01  -1.7332E+00
 577.0   1.0316E+00  -1.8398E+00
 579.0   1.0780E+00  -1.9456E+00
 581.0   1.0897E+00  -1.9731E+00
 583.0   1.0665E+00  -1.9229E+00
 585.0   1.0432E+00  -1.8726E+00
 587.0   1.0664E+00  -1.9248E+00
 589.0   1.0898E+00  -1.9767E+00
