"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (10/31/2023 06:44)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     1.8263E+00
    9.425     1.9983E+02
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.7998E+03     1.8141E+03
    0.000     2.1174E+03     1.7780E+03
    9.430     2.8801E-04     1.5587E-04
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005    9.425
 401.0   3.6259E+00   1.1660E+03
 403.0   3.7320E+00   1.0450E+03
 405.0   3.8386E+00   1.1573E+03
 407.0   3.8667E+00   1.1310E+03
 409.0   3.8953E+00   1.1522E+03
 411.0   3.9374E+00   1.2187E+03
 413.0   3.9931E+00   1.1161E+03
 415.0   4.0491E+00   1.2176E+03
 417.0   4.0659E+00   1.2567E+03
 419.0   4.0829E+00   1.1530E+03
 421.0   4.0935E+00   1.1878E+03
 423.0   4.0977E+00   1.2611E+03
 425.0   4.1022E+00   1.2218E+03
 427.0   4.1326E+00   1.2504E+03
 429.0   4.1634E+00   1.2099E+03
 431.0   4.1876E+00   1.1829E+03
 433.0   4.2058E+00   1.2087E+03
 435.0   4.2240E+00   1.1610E+03
 437.0   4.2036E+00   1.0939E+03
 439.0   4.1834E+00   1.1776E+03
 441.0   4.1442E+00   1.2312E+03
 443.0   4.0859E+00   1.1336E+03
 445.0   4.0278E+00   1.1881E+03
 447.0   3.9713E+00   1.1959E+03
 449.0   3.9151E+00   1.1353E+03
 451.0   3.8660E+00   1.1336E+03
 453.0   3.8241E+00   1.2100E+03
 455.0   3.7824E+00   9.8087E+02
 457.0   3.7551E+00   8.4637E+02
 459.0   3.7280E+00   7.3752E+02
 461.0   3.7015E+00   6.1854E+02
 463.0   3.6757E+00   4.9753E+02
 465.0   3.6500E+00   5.1332E+02
 467.0   3.5988E+00   5.5441E+02
 469.0   3.5479E+00   5.5682E+02
 471.0   3.4908E+00   5.4670E+02
 473.0   3.4275E+00   4.8051E+02
 475.0   3.3643E+00   5.6498E+02
 477.0   3.3014E+00   5.4365E+02
 479.0   3.2386E+00   5.7756E+02
 481.0   3.1890E+00   6.0646E+02
 483.0   3.1524E+00   6.2882E+02
 485.0   3.1159E+00   6.2064E+02
 487.0   3.0796E+00   6.3906E+02
 489.0   3.0436E+00   6.5744E+02
 491.0   2.9948E+00   6.4517E+02
 493.0   2.9332E+00   7.3348E+02
 495.0   2.8718E+00   7.2978E+02
 497.0   2.7978E+00   6.8909E+02
 499.0   2.7240E+00   7.0746E+02
 501.0   2.6703E+00   6.9206E+02
 503.0   2.6368E+00   7.3453E+02
 505.0   2.6034E+00   7.8573E+02
 507.0   2.5579E+00   7.8930E+02
 509.0   2.5124E+00   7.8801E+02
 511.0   2.4673E+00   8.3268E+02
 513.0   2.4223E+00   7.7761E+02
 515.0   2.3774E+00   8.0467E+02
 517.0   2.2911E+00   8.5509E+02
 519.0   2.2050E+00   8.3251E+02
 521.0   2.1450E+00   8.2202E+02
 523.0   2.1110E+00   8.0772E+02
 525.0   2.0771E+00   8.4583E+02
 527.0   2.0308E+00   8.2410E+02
 529.0   1.9847E+00   8.3245E+02
 531.0   1.9387E+00   8.3562E+02
 533.0   1.8930E+00   8.2936E+02
 535.0   1.8473E+00   8.0044E+02
 537.0   1.8020E+00   8.3346E+02
 539.0   1.7568E+00   8.2491E+02
 541.0   1.7120E+00   8.4554E+02
 543.0   1.6676E+00   8.5493E+02
 545.0   1.6234E+00   8.3431E+02
 547.0   1.5800E+00   8.2665E+02
 549.0   1.5368E+00   8.3604E+02
 551.0   1.4931E+00   8.2258E+02
 553.0   1.4490E+00   7.6510E+02
 555.0   1.4050E+00   7.8776E+02
 557.0   1.3609E+00   7.7959E+02
 559.0   1.3168E+00   7.5105E+02
 561.0   1.2793E+00   8.1523E+02
 563.0   1.2484E+00   7.6910E+02
 565.0   1.2176E+00   7.5477E+02
 567.0   1.2140E+00   8.2157E+02
 569.0   1.2103E+00   7.5831E+02
 571.0   1.2012E+00   7.1374E+02
 573.0   1.1864E+00   7.7924E+02
 575.0   1.1717E+00   7.8271E+02
 577.0   1.2106E+00   7.7834E+02
 579.0   1.2495E+00   7.8881E+02
 581.0   1.2586E+00   7.8020E+02
 583.0   1.2378E+00   7.9836E+02
 585.0   1.2170E+00   7.5261E+02
 587.0   1.2370E+00   7.8072E+02
 589.0   1.2570E+00   7.7519E+02
 591.0   1.2468E+00   8.1542E+02
 593.0   1.2064E+00   7.9346E+02
 595.0   1.1661E+00   7.8222E+02
 597.0   1.1742E+00   7.1600E+02
 599.0   1.1824E+00   7.8379E+02
 601.0   1.2183E+00   7.4248E+02
 603.0   1.2819E+00   7.7939E+02
 605.0   1.3457E+00   7.7720E+02
 607.0   1.3203E+00   8.1064E+02
 609.0   1.2949E+00   8.6294E+02
 611.0   1.2880E+00   8.5288E+02
 613.0   1.2998E+00   8.4769E+02
 615.0   1.3115E+00   8.1417E+02
 617.0   1.3253E+00   8.3707E+02
 619.0   1.3392E+00   8.5425E+02
 621.0   1.3596E+00   8.4477E+02
 623.0   1.3866E+00   8.4912E+02
 625.0   1.4136E+00   8.9046E+02
 627.0   1.4409E+00   8.7731E+02
 629.0   1.4683E+00   8.7314E+02
 631.0   1.4961E+00   8.2327E+02
 633.0   1.5242E+00   8.1837E+02
 635.0   1.5524E+00   8.8725E+02
 637.0   1.5581E+00   8.9482E+02
 639.0   1.5638E+00   8.1568E+02
 641.0   1.5609E+00   8.6607E+02
 643.0   1.5494E+00   8.2682E+02
 645.0   1.5380E+00   8.5691E+02
 647.0   1.5815E+00   8.6241E+02
 649.0   1.6251E+00   8.3960E+02
 651.0   1.6722E+00   8.2200E+02
 653.0   1.7228E+00   8.5320E+02
 655.0   1.7734E+00   8.7521E+02
 657.0   1.8662E+00   8.2605E+02
 659.0   1.9591E+00   7.5388E+02
 661.0   2.0669E+00   7.7330E+02
 663.0   2.1898E+00   7.0172E+02
 665.0   2.3126E+00   6.8210E+02
 667.0   2.3928E+00   7.0944E+02
 669.0   2.4729E+00   6.5178E+02
 671.0   2.4819E+00   5.8905E+02
 673.0   2.4197E+00   6.3221E+02
 675.0   2.3576E+00   7.2219E+02
 677.0   2.3120E+00   6.3174E+02
 679.0   2.2664E+00   6.5156E+02
 681.0   2.1959E+00   7.0453E+02
 683.0   2.1006E+00   6.2650E+02
 685.0   2.0054E+00   7.0466E+02
 687.0   1.8884E+00   7.0392E+02
 689.0   1.7715E+00   7.7626E+02
 691.0   1.6833E+00   7.9333E+02
 693.0   1.6238E+00   7.5742E+02
 695.0   1.5643E+00   7.4074E+02
 697.0   1.5275E+00   7.3404E+02
 699.0   1.4906E+00   7.4237E+02
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005    9.425
 401.0   3.0243E+00   1.1659E+03
 403.0   3.1270E+00   1.0448E+03
 405.0   3.2302E+00   1.1571E+03
 407.0   3.2568E+00   1.1308E+03
 409.0   3.2837E+00   1.1521E+03
 411.0   3.3239E+00   1.2185E+03
 413.0   3.3775E+00   1.1159E+03
 415.0   3.4314E+00   1.2174E+03
 417.0   3.4468E+00   1.2565E+03
 419.0   3.4625E+00   1.1529E+03
 421.0   3.4719E+00   1.1878E+03
 423.0   3.4752E+00   1.2611E+03
 425.0   3.4786E+00   1.2219E+03
 427.0   3.5080E+00   1.2504E+03
 429.0   3.5376E+00   1.2099E+03
 431.0   3.5609E+00   1.1828E+03
 433.0   3.5783E+00   1.2085E+03
 435.0   3.5957E+00   1.1608E+03
 437.0   3.5753E+00   1.0936E+03
 439.0   3.5551E+00   1.1772E+03
 441.0   3.5163E+00   1.2307E+03
 443.0   3.4590E+00   1.1332E+03
 445.0   3.4019E+00   1.1877E+03
 447.0   3.3465E+00   1.1955E+03
 449.0   3.2916E+00   1.1349E+03
 451.0   3.2439E+00   1.1332E+03
 453.0   3.2032E+00   1.2097E+03
 455.0   3.1629E+00   9.8056E+02
 457.0   3.1368E+00   8.4609E+02
 459.0   3.1110E+00   7.3728E+02
 461.0   3.0858E+00   6.1847E+02
 463.0   3.0613E+00   4.9781E+02
 465.0   3.0371E+00   5.1359E+02
 467.0   2.9882E+00   5.5460E+02
 469.0   2.9396E+00   5.5696E+02
 471.0   2.8851E+00   5.4686E+02
 473.0   2.8246E+00   4.8096E+02
 475.0   2.7644E+00   5.6503E+02
 477.0   2.7046E+00   5.4365E+02
 479.0   2.6450E+00   5.7748E+02
 481.0   2.5982E+00   6.0626E+02
 483.0   2.5641E+00   6.2856E+02
 485.0   2.5301E+00   6.2035E+02
 487.0   2.4963E+00   6.3870E+02
 489.0   2.4629E+00   6.5703E+02
 491.0   2.4171E+00   6.4472E+02
 493.0   2.3589E+00   7.3295E+02
 495.0   2.3012E+00   7.2925E+02
 497.0   2.2314E+00   6.8857E+02
 499.0   2.1618E+00   7.0691E+02
 501.0   2.1117E+00   6.9153E+02
 503.0   2.0808E+00   7.3390E+02
 505.0   2.0501E+00   7.8504E+02
 507.0   2.0078E+00   7.8859E+02
 509.0   1.9656E+00   7.8729E+02
 511.0   1.9236E+00   8.3195E+02
 513.0   1.8819E+00   7.7691E+02
 515.0   1.8404E+00   8.0397E+02
 517.0   1.7598E+00   8.5445E+02
 519.0   1.6798E+00   8.3192E+02
 521.0   1.6244E+00   8.2147E+02
 523.0   1.5934E+00   8.0717E+02
 525.0   1.5626E+00   8.4529E+02
 527.0   1.5203E+00   8.2358E+02
 529.0   1.4783E+00   8.3196E+02
 531.0   1.4365E+00   8.3515E+02
 533.0   1.3950E+00   8.2891E+02
 535.0   1.3537E+00   8.0001E+02
 537.0   1.3128E+00   8.3305E+02
 539.0   1.2722E+00   8.2452E+02
 541.0   1.2321E+00   8.4516E+02
 543.0   1.1925E+00   8.5456E+02
 545.0   1.1532E+00   8.3396E+02
 547.0   1.1148E+00   8.2630E+02
 549.0   1.0766E+00   8.3570E+02
 551.0   1.0383E+00   8.2224E+02
 553.0   9.9975E-01   7.6476E+02
 555.0   9.6149E-01   7.8743E+02
 557.0   9.2324E-01   7.7927E+02
 559.0   8.8528E-01   7.5073E+02
 561.0   8.5328E-01   8.1491E+02
 563.0   8.2714E-01   7.6877E+02
 565.0   8.0116E-01   7.5444E+02
 567.0   7.9873E-01   8.2120E+02
 569.0   7.9636E-01   7.5791E+02
 571.0   7.8916E-01   7.1332E+02
 573.0   7.7718E-01   7.7882E+02
 575.0   7.6526E-01   7.8229E+02
 577.0   7.9965E-01   7.7786E+02
 579.0   8.3440E-01   7.8828E+02
 581.0   8.4320E-01   7.7966E+02
 583.0   8.2580E-01   7.9784E+02
 585.0   8.0847E-01   7.5212E+02
 587.0   8.2679E-01   7.8020E+02
 589.0   8.4524E-01   7.7464E+02
 591.0   8.3717E-01   8.1488E+02
 593.0   8.0266E-01   7.9295E+02
 595.0   7.6837E-01   7.8175E+02
 597.0   7.7641E-01   7.1549E+02
 599.0   7.8448E-01   7.8326E+02
 601.0   8.1686E-01   7.4188E+02
 603.0   8.7409E-01   7.7870E+02
 605.0   9.3208E-01   7.7643E+02
 607.0   9.1048E-01   8.0990E+02
 609.0   8.8894E-01   8.6221E+02
 611.0   8.8401E-01   8.5217E+02
