"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (08/03/2023 16:16)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     3.5637E-01
   13.405     1.5269E+02
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.8478E+03     1.8441E+03
    0.000     2.4790E+03     1.8500E+03
   13.410     1.6141E+00     8.5042E-01
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005   13.405
 401.0   1.2736E+00   1.0073E+03
 403.0   1.2447E+00   1.0534E+03
 405.0   1.2165E+00   9.6584E+02
 407.0   1.1893E+00   9.2860E+02
 409.0   1.1628E+00   9.0355E+02
 411.0   1.1369E+00   9.7810E+02
 413.0   1.1117E+00   9.8741E+02
 415.0   1.0870E+00   9.8784E+02
 417.0   1.0629E+00   8.8480E+02
 419.0   1.0394E+00   8.8916E+02
 421.0   1.0163E+00   8.4635E+02
 423.0   9.9366E-01   8.2000E+02
 425.0   9.7151E-01   8.4867E+02
 427.0   9.4950E-01   8.6822E+02
 429.0   9.2799E-01   8.5121E+02
 431.0   9.0687E-01   8.1131E+02
 433.0   8.8623E-01   7.7773E+02
 435.0   8.6600E-01   7.5195E+02
 437.0   8.4658E-01   7.7115E+02
 439.0   8.2755E-01   6.8819E+02
 441.0   8.0912E-01   6.8364E+02
 443.0   7.9125E-01   7.2957E+02
 445.0   7.7377E-01   6.8207E+02
 447.0   7.5745E-01   6.1952E+02
 449.0   7.4149E-01   6.5693E+02
 451.0   7.2595E-01   6.1748E+02
 453.0   7.1081E-01   6.2472E+02
 455.0   6.9599E-01   5.7107E+02
 457.0   6.8197E-01   5.6832E+02
 459.0   6.6825E-01   5.2282E+02
 461.0   6.5505E-01   5.2334E+02
 463.0   6.4237E-01   5.2505E+02
 465.0   6.2997E-01   5.2157E+02
 467.0   6.1814E-01   4.9809E+02
 469.0   6.0661E-01   5.2490E+02
 471.0   5.9542E-01   4.7898E+02
 473.0   5.8460E-01   4.4258E+02
 475.0   5.7399E-01   4.8761E+02
 477.0   5.6375E-01   4.6985E+02
 479.0   5.5372E-01   4.3177E+02
 481.0   5.4380E-01   4.2068E+02
 483.0   5.3397E-01   4.4393E+02
 485.0   5.2434E-01   4.1254E+02
 487.0   5.1506E-01   4.3213E+02
 489.0   5.0601E-01   4.1682E+02
 491.0   4.9730E-01   3.7854E+02
 493.0   4.8892E-01   3.6144E+02
 495.0   4.8074E-01   3.6862E+02
 497.0   4.7306E-01   3.1842E+02
 499.0   4.6553E-01   3.4949E+02
 501.0   4.5865E-01   3.7477E+02
 503.0   4.5238E-01   3.2072E+02
 505.0   4.4628E-01   3.3604E+02
 507.0   4.4104E-01   3.4407E+02
 509.0   4.3594E-01   2.8878E+02
 511.0   4.3107E-01   3.0024E+02
 513.0   4.2638E-01   3.1482E+02
 515.0   4.2183E-01   3.0999E+02
 517.0   4.1499E-01   2.8257E+02
 519.0   4.0830E-01   2.1245E+02
 521.0   4.0166E-01   2.3252E+02
 523.0   3.9508E-01   2.5721E+02
 525.0   3.8863E-01   2.9537E+02
 527.0   3.8270E-01   2.7435E+02
 529.0   3.7692E-01   2.4024E+02
 531.0   3.7133E-01   2.3840E+02
 533.0   3.6584E-01   1.6475E+02
 535.0   3.6051E-01   2.1729E+02
 537.0   3.5544E-01   2.7920E+02
 539.0   3.5044E-01   2.2147E+02
 541.0   3.4589E-01   2.2731E+02
 543.0   3.4174E-01   2.1838E+02
 545.0   3.3768E-01   2.2391E+02
 547.0   3.3442E-01   2.4372E+02
 549.0   3.3118E-01   2.0005E+02
 551.0   3.2764E-01   1.8186E+02
 553.0   3.2363E-01   1.9242E+02
 555.0   3.1973E-01   1.9250E+02
 557.0   3.1555E-01   1.7930E+02
 559.0   3.1147E-01   1.6954E+02
 561.0   3.0743E-01   1.9612E+02
 563.0   3.0367E-01   1.6269E+02
 565.0   2.9992E-01   1.5131E+02
 567.0   2.9758E-01   1.4749E+02
 569.0   2.9532E-01   1.5855E+02
 571.0   2.9371E-01   1.5070E+02
 573.0   2.9284E-01   1.7895E+02
 575.0   2.9187E-01   1.6593E+02
 577.0   2.9332E-01   1.6537E+02
 579.0   2.9491E-01   1.3739E+02
 581.0   2.9808E-01   1.6074E+02
 583.0   3.0322E-01   1.3479E+02
 585.0   3.0833E-01   1.6739E+02
 587.0   3.1570E-01   1.8732E+02
 589.0   3.2320E-01   1.5899E+02
 591.0   3.3224E-01   1.4300E+02
 593.0   3.4283E-01   9.3406E+01
 595.0   3.5346E-01   1.1453E+02
 597.0   3.7405E-01   1.9081E+02
 599.0   3.9481E-01   1.5486E+02
 601.0   4.1156E-01   2.1272E+02
 603.0   4.2416E-01   2.2370E+02
 605.0   4.3687E-01   2.0292E+02
 607.0   4.3740E-01   2.2586E+02
 609.0   4.3795E-01   2.8525E+02
 611.0   4.3789E-01   2.6481E+02
 613.0   4.3717E-01   2.4967E+02
 615.0   4.3649E-01   2.3318E+02
 617.0   4.3778E-01   2.6538E+02
 619.0   4.3909E-01   1.9755E+02
 621.0   4.4052E-01   2.0243E+02
 623.0   4.4206E-01   1.9311E+02
 625.0   4.4364E-01   2.1216E+02
 627.0   4.4545E-01   1.4786E+02
 629.0   4.4729E-01   2.0046E+02
 631.0   4.4949E-01   1.4566E+02
 633.0   4.5204E-01   1.9866E+02
 635.0   4.5463E-01   1.9824E+02
 637.0   4.6038E-01   1.8445E+02
 639.0   4.6618E-01   2.2224E+02
 641.0   4.6987E-01   2.2956E+02
 643.0   4.7146E-01   2.0770E+02
 645.0   4.7309E-01   1.6855E+02
 647.0   4.7818E-01   1.8936E+02
 649.0   4.8330E-01   2.1208E+02
 651.0   4.9192E-01   2.1177E+02
 653.0   5.0403E-01   2.1396E+02
 655.0   5.1622E-01   2.1539E+02
 657.0   5.3191E-01   2.4895E+02
 659.0   5.4772E-01   2.2027E+02
 661.0   5.5916E-01   1.4671E+02
 663.0   5.6620E-01   2.5029E+02
 665.0   5.7332E-01   2.4249E+02
 667.0   5.7643E-01   2.3579E+02
 669.0   5.7960E-01   2.1315E+02
 671.0   5.8260E-01   2.2597E+02
 673.0   5.8534E-01   2.0212E+02
 675.0   5.8815E-01   2.3880E+02
 677.0   5.9452E-01   2.3826E+02
 679.0   6.0099E-01   2.6435E+02
 681.0   6.0831E-01   2.2190E+02
 683.0   6.1658E-01   2.4071E+02
 685.0   6.2486E-01   2.5921E+02
 687.0   6.3717E-01   2.5464E+02
 689.0   6.4948E-01   2.3461E+02
 691.0   6.6490E-01   2.4982E+02
 693.0   6.8313E-01   2.6771E+02
 695.0   7.0142E-01   2.8655E+02
 697.0   7.2961E-01   3.1005E+02
 699.0   7.5775E-01   3.5843E+02
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005   13.405
 401.0   9.9470E-01   1.0081E+03
 403.0   9.6732E-01   1.0543E+03
 405.0   9.4067E-01   9.6682E+02
 407.0   9.1505E-01   9.2965E+02
 409.0   8.9013E-01   9.0468E+02
 411.0   8.6589E-01   9.7930E+02
 413.0   8.4238E-01   9.8869E+02
 415.0   8.1947E-01   9.8919E+02
 417.0   7.9721E-01   8.8626E+02
 419.0   7.7553E-01   8.9073E+02
 421.0   7.5436E-01   8.4801E+02
 423.0   7.3373E-01   8.2174E+02
 425.0   7.1366E-01   8.5048E+02
 427.0   6.9388E-01   8.7009E+02
 429.0   6.7464E-01   8.5313E+02
 431.0   6.5584E-01   8.1325E+02
 433.0   6.3762E-01   7.7967E+02
 435.0   6.1982E-01   7.5389E+02
 437.0   6.0287E-01   7.7305E+02
 439.0   5.8636E-01   6.9007E+02
 441.0   5.7045E-01   6.8551E+02
 443.0   5.5515E-01   7.3144E+02
 445.0   5.4025E-01   6.8394E+02
 447.0   5.2644E-01   6.2139E+02
 449.0   5.1302E-01   6.5880E+02
 451.0   5.0003E-01   6.1935E+02
 453.0   4.8746E-01   6.2660E+02
 455.0   4.7523E-01   5.7296E+02
 457.0   4.6377E-01   5.7023E+02
 459.0   4.5255E-01   5.2474E+02
 461.0   4.4183E-01   5.2526E+02
 463.0   4.3158E-01   5.2698E+02
 465.0   4.2161E-01   5.2350E+02
 467.0   4.1220E-01   5.0001E+02
 469.0   4.0309E-01   5.2680E+02
 471.0   3.9431E-01   4.8084E+02
 473.0   3.8587E-01   4.4439E+02
 475.0   3.7771E-01   4.8937E+02
 477.0   3.6976E-01   4.7155E+02
 479.0   3.6205E-01   4.3341E+02
 481.0   3.5449E-01   4.2227E+02
 483.0   3.4702E-01   4.4549E+02
 485.0   3.3972E-01   4.1405E+02
 487.0   3.3272E-01   4.3361E+02
 489.0   3.2596E-01   4.1826E+02
 491.0   3.1947E-01   3.7993E+02
 493.0   3.1328E-01   3.6278E+02
 495.0   3.0722E-01   3.6991E+02
 497.0   3.0156E-01   3.1965E+02
 499.0   2.9603E-01   3.5067E+02
 501.0   2.9107E-01   3.7589E+02
 503.0   2.8646E-01   3.2179E+02
 505.0   2.8204E-01   3.3706E+02
 507.0   2.7820E-01   3.4505E+02
 509.0   2.7450E-01   2.8972E+02
 511.0   2.7097E-01   3.0115E+02
 513.0   2.6756E-01   3.1571E+02
 515.0   2.6427E-01   3.1085E+02
 517.0   2.5939E-01   2.8342E+02
 519.0   2.5467E-01   2.1329E+02
 521.0   2.4998E-01   2.3334E+02
 523.0   2.4540E-01   2.5802E+02
 525.0   2.4090E-01   2.9617E+02
 527.0   2.3677E-01   2.7514E+02
 529.0   2.3277E-01   2.4101E+02
 531.0   2.2893E-01   2.3916E+02
 533.0   2.2516E-01   1.6550E+02
 535.0   2.2157E-01   2.1802E+02
 537.0   2.1809E-01   2.7991E+02
 539.0   2.1473E-01   2.2217E+02
 541.0   2.1163E-01   2.2799E+02
 543.0   2.0881E-01   2.1903E+02
 545.0   2.0607E-01   2.2455E+02
 547.0   2.0387E-01   2.4433E+02
 549.0   2.0164E-01   2.0063E+02
 551.0   1.9929E-01   1.8241E+02
 553.0   1.9667E-01   1.9294E+02
 555.0   1.9407E-01   1.9300E+02
 557.0   1.9134E-01   1.7976E+02
 559.0   1.8868E-01   1.6998E+02
 561.0   1.8607E-01   1.9653E+02
 563.0   1.8363E-01   1.6307E+02
 565.0   1.8125E-01   1.5167E+02
 567.0   1.7962E-01   1.4782E+02
 569.0   1.7814E-01   1.5887E+02
 571.0   1.7701E-01   1.5100E+02
 573.0   1.7635E-01   1.7923E+02
 575.0   1.7563E-01   1.6620E+02
 577.0   1.7638E-01   1.6563E+02
 579.0   1.7721E-01   1.3765E+02
 581.0   1.7902E-01   1.6099E+02
 583.0   1.8210E-01   1.3503E+02
 585.0   1.8520E-01   1.6762E+02
 587.0   1.8981E-01   1.8753E+02
 589.0   1.9456E-01   1.5919E+02
 591.0   2.0046E-01   1.4318E+02
 593.0   2.0747E-01   9.3556E+01
 595.0   2.1465E-01   1.1465E+02
 597.0   2.2896E-01   1.9088E+02
 599.0   2.4381E-01   1.5489E+02
 601.0   2.5613E-01   2.1271E+02
 603.0   2.6559E-01   2.2367E+02
 605.0   2.7526E-01   2.0286E+02
 607.0   2.7581E-01   2.2579E+02
 609.0   2.7641E-01   2.8518E+02
 611.0   2.7654E-01   2.6474E+02
