"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (08/11/2023 21:56)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     6.4517E-01
    5.715     1.2727E+02
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.9285E+03     1.8380E+03
    0.000     2.7864E+03     1.8867E+03
    5.720     9.9191E+00     5.1021E+00
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005    5.715
 401.0   1.6368E+00   6.3684E+02
 403.0   1.6181E+00   6.1422E+02
 405.0   1.5997E+00   5.8584E+02
 407.0   1.5788E+00   5.9285E+02
 409.0   1.5582E+00   5.8325E+02
 411.0   1.5384E+00   6.0180E+02
 413.0   1.5196E+00   5.2952E+02
 415.0   1.5010E+00   5.5029E+02
 417.0   1.4809E+00   5.8287E+02
 419.0   1.4610E+00   5.5558E+02
 421.0   1.4408E+00   5.9270E+02
 423.0   1.4203E+00   5.2290E+02
 425.0   1.4001E+00   5.6359E+02
 427.0   1.3804E+00   5.1736E+02
 429.0   1.3610E+00   5.3870E+02
 431.0   1.3413E+00   5.0350E+02
 433.0   1.3216E+00   4.9197E+02
 435.0   1.3021E+00   4.9281E+02
 437.0   1.2815E+00   4.7153E+02
 439.0   1.2611E+00   4.8209E+02
 441.0   1.2406E+00   4.8142E+02
 443.0   1.2198E+00   4.5866E+02
 445.0   1.1992E+00   4.7278E+02
 447.0   1.1804E+00   4.5861E+02
 449.0   1.1618E+00   4.5334E+02
 451.0   1.1442E+00   4.4593E+02
 453.0   1.1276E+00   4.2387E+02
 455.0   1.1112E+00   4.3646E+02
 457.0   1.0967E+00   4.1258E+02
 459.0   1.0825E+00   4.1396E+02
 461.0   1.0689E+00   4.1217E+02
 463.0   1.0559E+00   4.1244E+02
 465.0   1.0432E+00   4.0083E+02
 467.0   1.0300E+00   3.8180E+02
 469.0   1.0170E+00   3.7554E+02
 471.0   1.0040E+00   3.7309E+02
 473.0   9.9097E-01   3.5579E+02
 475.0   9.7809E-01   3.4371E+02
 477.0   9.6524E-01   3.4523E+02
 479.0   9.5252E-01   3.4842E+02
 481.0   9.4026E-01   3.0000E+02
 483.0   9.2852E-01   3.3643E+02
 485.0   9.1686E-01   3.1886E+02
 487.0   9.0525E-01   3.0211E+02
 489.0   8.9394E-01   3.3765E+02
 491.0   8.8212E-01   3.0944E+02
 493.0   8.7013E-01   2.7289E+02
 495.0   8.5820E-01   2.6855E+02
 497.0   8.4608E-01   3.1217E+02
 499.0   8.3403E-01   2.7092E+02
 501.0   8.2337E-01   2.8138E+02
 503.0   8.1409E-01   3.0192E+02
 505.0   8.0488E-01   2.5815E+02
 507.0   7.9594E-01   2.7199E+02
 509.0   7.8711E-01   2.7090E+02
 511.0   7.7844E-01   2.3590E+02
 513.0   7.6994E-01   2.4518E+02
 515.0   7.6151E-01   2.6062E+02
 517.0   7.4937E-01   2.1452E+02
 519.0   7.3718E-01   2.3658E+02
 521.0   7.2620E-01   2.4439E+02
 523.0   7.1625E-01   2.3049E+02
 525.0   7.0646E-01   2.0153E+02
 527.0   6.9664E-01   2.3233E+02
 529.0   6.8698E-01   2.0582E+02
 531.0   6.7749E-01   2.1641E+02
 533.0   6.6810E-01   1.9974E+02
 535.0   6.5870E-01   1.8562E+02
 537.0   6.4966E-01   1.7934E+02
 539.0   6.4070E-01   1.7471E+02
 541.0   6.3216E-01   1.9821E+02
 543.0   6.2391E-01   2.0554E+02
 545.0   6.1574E-01   1.5150E+02
 547.0   6.0831E-01   1.9222E+02
 549.0   6.0089E-01   1.6466E+02
 551.0   5.9310E-01   1.6327E+02
 553.0   5.8485E-01   1.4068E+02
 555.0   5.7661E-01   1.2962E+02
 557.0   5.6809E-01   1.4888E+02
 559.0   5.5965E-01   1.4153E+02
 561.0   5.5165E-01   1.2551E+02
 563.0   5.4405E-01   1.3078E+02
 565.0   5.3653E-01   1.0925E+02
 567.0   5.3171E-01   1.2750E+02
 569.0   5.2696E-01   1.2934E+02
 571.0   5.2259E-01   1.5208E+02
 573.0   5.1887E-01   1.3047E+02
 575.0   5.1523E-01   1.2588E+02
 577.0   5.1639E-01   1.4586E+02
 579.0   5.1744E-01   1.0672E+02
 581.0   5.1912E-01   8.7495E+01
 583.0   5.2158E-01   1.3199E+02
 585.0   5.2359E-01   1.1990E+02
 587.0   5.3000E-01   1.2432E+02
 589.0   5.3662E-01   1.1215E+02
 591.0   5.4325E-01   1.2030E+02
 593.0   5.4998E-01   1.2224E+02
 595.0   5.5712E-01   1.0869E+02
 597.0   5.7517E-01   1.1999E+02
 599.0   5.9311E-01   1.2064E+02
 601.0   6.0868E-01   1.1786E+02
 603.0   6.2146E-01   1.0039E+02
 605.0   6.3444E-01   1.3838E+02
 607.0   6.3288E-01   1.1401E+02
 609.0   6.3075E-01   1.2165E+02
 611.0   6.2912E-01   1.3300E+02
 613.0   6.2808E-01   1.4419E+02
 615.0   6.2702E-01   1.2934E+02
 617.0   6.2757E-01   1.1331E+02
 619.0   6.2837E-01   1.1565E+02
 621.0   6.2976E-01   1.0882E+02
 623.0   6.3114E-01   1.0705E+02
 625.0   6.3263E-01   1.2791E+02
 627.0   6.3441E-01   1.3977E+02
 629.0   6.3639E-01   1.1994E+02
 631.0   6.3862E-01   8.3525E+01
 633.0   6.4122E-01   1.2324E+02
 635.0   6.4355E-01   1.3088E+02
 637.0   6.4850E-01   1.1117E+02
 639.0   6.5311E-01   8.3309E+01
 641.0   6.5547E-01   1.0020E+02
 643.0   6.5556E-01   1.3524E+02
 645.0   6.5560E-01   1.1119E+02
 647.0   6.6116E-01   1.3085E+02
 649.0   6.6654E-01   7.2914E+01
 651.0   6.7527E-01   1.0092E+02
 653.0   6.8730E-01   8.6055E+01
 655.0   6.9923E-01   1.2070E+02
 657.0   7.1626E-01   1.1374E+02
 659.0   7.3330E-01   1.0182E+02
 661.0   7.4701E-01   1.2133E+02
 663.0   7.5746E-01   9.2087E+01
 665.0   7.6793E-01   1.5100E+02
 667.0   7.7307E-01   1.1206E+02
 669.0   7.7825E-01   9.6784E+01
 671.0   7.8030E-01   7.2450E+01
 673.0   7.7922E-01   8.2690E+01
 675.0   7.7815E-01   1.2646E+02
 677.0   7.8121E-01   8.0159E+01
 679.0   7.8426E-01   9.5648E+01
 681.0   7.8716E-01   9.4288E+01
 683.0   7.8992E-01   9.8039E+01
 685.0   7.9267E-01   1.0458E+02
 687.0   7.9823E-01   1.0247E+02
 689.0   8.0379E-01   4.5359E+01
 691.0   8.1335E-01   9.9999E+01
 693.0   8.2680E-01  -5.1885E-01
 695.0   8.4026E-01   7.1693E+01
 697.0   8.6377E-01   1.0353E+02
 699.0   8.8735E-01   1.2215E+02
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005    5.715
 401.0   1.1677E+00   6.4148E+02
 403.0   1.1514E+00   6.1902E+02
 405.0   1.1355E+00   5.9082E+02
 407.0   1.1176E+00   5.9795E+02
 409.0   1.1000E+00   5.8848E+02
 411.0   1.0831E+00   6.0717E+02
 413.0   1.0671E+00   5.3503E+02
 415.0   1.0514E+00   5.5596E+02
 417.0   1.0344E+00   5.8875E+02
 419.0   1.0178E+00   5.6169E+02
 421.0   1.0010E+00   5.9900E+02
 423.0   9.8421E-01   5.2935E+02
 425.0   9.6773E-01   5.7018E+02
 427.0   9.5175E-01   5.2404E+02
 429.0   9.3605E-01   5.4547E+02
 431.0   9.2024E-01   5.1026E+02
 433.0   9.0455E-01   4.9867E+02
 435.0   8.8901E-01   4.9943E+02
 437.0   8.7288E-01   4.7802E+02
 439.0   8.5702E-01   4.8847E+02
 441.0   8.4110E-01   4.8772E+02
 443.0   8.2511E-01   4.6492E+02
 445.0   8.0938E-01   4.7900E+02
 447.0   7.9508E-01   4.6479E+02
 449.0   7.8099E-01   4.5947E+02
 451.0   7.6773E-01   4.5204E+02
 453.0   7.5538E-01   4.2995E+02
 455.0   7.4292E-01   4.4253E+02
 457.0   7.3227E-01   4.1864E+02
 459.0   7.2170E-01   4.2002E+02
 461.0   7.1162E-01   4.1820E+02
 463.0   7.0201E-01   4.1844E+02
 465.0   6.9262E-01   4.0679E+02
 467.0   6.8299E-01   3.8768E+02
 469.0   6.7355E-01   3.8134E+02
 471.0   6.6419E-01   3.7877E+02
 473.0   6.5483E-01   3.6131E+02
 475.0   6.4566E-01   3.4907E+02
 477.0   6.3655E-01   3.5041E+02
 479.0   6.2747E-01   3.5343E+02
 481.0   6.1879E-01   3.0486E+02
 483.0   6.1047E-01   3.4116E+02
 485.0   6.0223E-01   3.2346E+02
 487.0   5.9416E-01   3.0659E+02
 489.0   5.8621E-01   3.4201E+02
 491.0   5.7806E-01   3.1366E+02
 493.0   5.6974E-01   2.7696E+02
 495.0   5.6154E-01   2.7248E+02
 497.0   5.5332E-01   3.1593E+02
 499.0   5.4504E-01   2.7453E+02
 501.0   5.3783E-01   2.8484E+02
 503.0   5.3145E-01   3.0522E+02
 505.0   5.2518E-01   2.6132E+02
 507.0   5.1912E-01   2.7505E+02
 509.0   5.1307E-01   2.7385E+02
 511.0   5.0719E-01   2.3877E+02
 513.0   5.0141E-01   2.4799E+02
 515.0   4.9577E-01   2.6336E+02
 517.0   4.8781E-01   2.1722E+02
 519.0   4.7994E-01   2.3924E+02
 521.0   4.7284E-01   2.4700E+02
 523.0   4.6636E-01   2.3306E+02
 525.0   4.5998E-01   2.0406E+02
 527.0   4.5372E-01   2.3481E+02
 529.0   4.4750E-01   2.0828E+02
 531.0   4.4145E-01   2.1882E+02
 533.0   4.3546E-01   2.0210E+02
 535.0   4.2959E-01   1.8793E+02
 537.0   4.2392E-01   1.8160E+02
 539.0   4.1827E-01   1.7693E+02
 541.0   4.1291E-01   2.0037E+02
 543.0   4.0774E-01   2.0764E+02
 545.0   4.0264E-01   1.5354E+02
 547.0   3.9800E-01   1.9419E+02
 549.0   3.9339E-01   1.6656E+02
 551.0   3.8856E-01   1.6509E+02
 553.0   3.8353E-01   1.4242E+02
 555.0   3.7856E-01   1.3129E+02
 557.0   3.7350E-01   1.5046E+02
 559.0   3.6850E-01   1.4304E+02
 561.0   3.6368E-01   1.2694E+02
 563.0   3.5915E-01   1.3214E+02
 565.0   3.5469E-01   1.1055E+02
 567.0   3.5164E-01   1.2873E+02
 569.0   3.4864E-01   1.3051E+02
 571.0   3.4581E-01   1.5322E+02
 573.0   3.4335E-01   1.3158E+02
 575.0   3.4092E-01   1.2695E+02
 577.0   3.4092E-01   1.4692E+02
 579.0   3.4094E-01   1.0777E+02
 581.0   3.4121E-01   8.8532E+01
 583.0   3.4197E-01   1.3302E+02
 585.0   3.4249E-01   1.2092E+02
 587.0   3.4531E-01   1.2532E+02
 589.0   3.4830E-01   1.1313E+02
 591.0   3.5134E-01   1.2126E+02
 593.0   3.5454E-01   1.2316E+02
 595.0   3.5800E-01   1.0957E+02
 597.0   3.6755E-01   1.2079E+02
 599.0   3.7752E-01   1.2136E+02
 601.0   3.8625E-01   1.1852E+02
 603.0   3.9359E-01   1.0100E+02
 605.0   4.0106E-01   1.3893E+02
 607.0   3.9968E-01   1.1456E+02
 609.0   3.9821E-01   1.2221E+02
 611.0   3.9701E-01   1.3357E+02
