"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (08/13/2023 09:22)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     6.4587E-01
   10.465     1.9373E+02
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.9352E+03     1.8427E+03
    0.000     2.8564E+03     1.9014E+03
   10.470     8.2399E-01     4.2028E-01
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005   10.465
 401.0   2.0244E+00   7.2354E+02
 403.0   2.0021E+00   6.8910E+02
 405.0   1.9801E+00   7.0511E+02
 407.0   1.9548E+00   6.7297E+02
 409.0   1.9299E+00   7.1596E+02
 411.0   1.9061E+00   6.9522E+02
 413.0   1.8833E+00   6.9689E+02
 415.0   1.8609E+00   7.2072E+02
 417.0   1.8364E+00   6.2396E+02
 419.0   1.8122E+00   6.6461E+02
 421.0   1.7875E+00   6.3897E+02
 423.0   1.7625E+00   6.6307E+02
 425.0   1.7378E+00   6.4766E+02
 427.0   1.7138E+00   6.2674E+02
 429.0   1.6901E+00   6.2720E+02
 431.0   1.6660E+00   6.3529E+02
 433.0   1.6418E+00   6.2495E+02
 435.0   1.6178E+00   5.8680E+02
 437.0   1.5925E+00   5.9628E+02
 439.0   1.5673E+00   6.2656E+02
 441.0   1.5419E+00   6.1631E+02
 443.0   1.5162E+00   5.7270E+02
 445.0   1.4907E+00   5.7360E+02
 447.0   1.4674E+00   5.6471E+02
 449.0   1.4442E+00   6.1848E+02
 451.0   1.4225E+00   5.6364E+02
 453.0   1.4021E+00   5.4926E+02
 455.0   1.3819E+00   5.5765E+02
 457.0   1.3641E+00   5.5446E+02
 459.0   1.3467E+00   5.8033E+02
 461.0   1.3300E+00   5.1151E+02
 463.0   1.3141E+00   5.2947E+02
 465.0   1.2984E+00   5.3330E+02
 467.0   1.2822E+00   4.9958E+02
 469.0   1.2663E+00   5.3277E+02
 471.0   1.2501E+00   4.9135E+02
 473.0   1.2340E+00   4.9130E+02
 475.0   1.2181E+00   4.9975E+02
 477.0   1.2021E+00   5.2654E+02
 479.0   1.1864E+00   4.9321E+02
 481.0   1.1711E+00   5.1906E+02
 483.0   1.1566E+00   4.9250E+02
 485.0   1.1420E+00   4.8992E+02
 487.0   1.1277E+00   4.6427E+02
 489.0   1.1135E+00   4.8165E+02
 491.0   1.0989E+00   4.9250E+02
 493.0   1.0836E+00   4.5844E+02
 495.0   1.0686E+00   4.8673E+02
 497.0   1.0534E+00   4.9551E+02
 499.0   1.0381E+00   5.2597E+02
 501.0   1.0246E+00   4.5550E+02
 503.0   1.0125E+00   4.5134E+02
 505.0   1.0006E+00   4.6031E+02
 507.0   9.8885E-01   4.8996E+02
 509.0   9.7717E-01   4.5336E+02
 511.0   9.6583E-01   4.6102E+02
 513.0   9.5457E-01   4.6215E+02
 515.0   9.4339E-01   4.6888E+02
 517.0   9.2806E-01   4.4885E+02
 519.0   9.1288E-01   4.1644E+02
 521.0   8.9918E-01   4.3987E+02
 523.0   8.8667E-01   4.4090E+02
 525.0   8.7439E-01   4.4270E+02
 527.0   8.6202E-01   3.9754E+02
 529.0   8.4991E-01   4.4026E+02
 531.0   8.3786E-01   4.2779E+02
 533.0   8.2605E-01   4.0566E+02
 535.0   8.1423E-01   4.2302E+02
 537.0   8.0291E-01   4.1727E+02
 539.0   7.9136E-01   3.9423E+02
 541.0   7.8053E-01   4.4359E+02
 543.0   7.6969E-01   4.0621E+02
 545.0   7.5930E-01   4.0804E+02
 547.0   7.4940E-01   4.0858E+02
 549.0   7.3981E-01   4.2455E+02
 551.0   7.2956E-01   4.0061E+02
 553.0   7.1887E-01   4.0039E+02
 555.0   7.0823E-01   3.8163E+02
 557.0   6.9748E-01   3.5890E+02
 559.0   6.8673E-01   3.6306E+02
 561.0   6.7654E-01   3.8179E+02
 563.0   6.6681E-01   3.7619E+02
 565.0   6.5717E-01   3.8499E+02
 567.0   6.5053E-01   3.8753E+02
 569.0   6.4410E-01   3.7571E+02
 571.0   6.3809E-01   3.5381E+02
 573.0   6.3276E-01   3.6835E+02
 575.0   6.2757E-01   3.4216E+02
 577.0   6.2766E-01   3.6271E+02
 579.0   6.2791E-01   3.6510E+02
 581.0   6.2856E-01   3.6808E+02
 583.0   6.2943E-01   3.6672E+02
 585.0   6.3059E-01   3.7592E+02
 587.0   6.3599E-01   3.7506E+02
 589.0   6.4126E-01   3.6947E+02
 591.0   6.4687E-01   4.1723E+02
 593.0   6.5208E-01   3.8048E+02
 595.0   6.5788E-01   3.6384E+02
 597.0   6.7508E-01   3.8614E+02
 599.0   6.9189E-01   4.0432E+02
 601.0   7.0693E-01   4.3735E+02
 603.0   7.1947E-01   4.1096E+02
 605.0   7.3211E-01   3.9558E+02
 607.0   7.2958E-01   4.2457E+02
 609.0   7.2681E-01   4.1690E+02
 611.0   7.2413E-01   4.4915E+02
 613.0   7.2224E-01   4.2379E+02
 615.0   7.2042E-01   4.3597E+02
 617.0   7.2066E-01   4.4228E+02
 619.0   7.2074E-01   4.4298E+02
 621.0   7.2112E-01   4.4389E+02
 623.0   7.2239E-01   4.3894E+02
 625.0   7.2355E-01   4.4534E+02
 627.0   7.2468E-01   4.4675E+02
 629.0   7.2663E-01   4.4054E+02
 631.0   7.2843E-01   4.5292E+02
 633.0   7.3085E-01   4.5698E+02
 635.0   7.3304E-01   4.6920E+02
 637.0   7.3718E-01   4.5053E+02
 639.0   7.4127E-01   4.6320E+02
 641.0   7.4274E-01   4.7150E+02
 643.0   7.4234E-01   4.5838E+02
 645.0   7.4168E-01   4.5226E+02
 647.0   7.4690E-01   4.8580E+02
 649.0   7.5223E-01   4.6980E+02
 651.0   7.6072E-01   4.8685E+02
 653.0   7.7251E-01   5.2351E+02
 655.0   7.8424E-01   4.6467E+02
 657.0   8.0116E-01   4.5157E+02
 659.0   8.1831E-01   5.0021E+02
 661.0   8.3235E-01   4.8736E+02
 663.0   8.4337E-01   5.4946E+02
 665.0   8.5440E-01   4.9378E+02
 667.0   8.5973E-01   5.4199E+02
 669.0   8.6509E-01   5.5365E+02
 671.0   8.6661E-01   5.5238E+02
 673.0   8.6427E-01   5.1554E+02
 675.0   8.6194E-01   5.1191E+02
 677.0   8.6386E-01   5.0959E+02
 679.0   8.6582E-01   5.4651E+02
 681.0   8.6736E-01   5.5177E+02
 683.0   8.6849E-01   5.1017E+02
 685.0   8.6963E-01   5.3845E+02
 687.0   8.7330E-01   5.2715E+02
 689.0   8.7693E-01   5.4693E+02
 691.0   8.8488E-01   5.5699E+02
 693.0   8.9696E-01   5.4589E+02
 695.0   9.0881E-01   5.4548E+02
 697.0   9.3113E-01   5.5584E+02
 699.0   9.5333E-01   5.5164E+02
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005   10.465
 401.0   1.4071E+00   7.2929E+02
 403.0   1.3876E+00   6.9505E+02
 405.0   1.3686E+00   7.1127E+02
 407.0   1.3468E+00   6.7928E+02
 409.0   1.3254E+00   7.2242E+02
 411.0   1.3050E+00   7.0185E+02
 413.0   1.2857E+00   7.0370E+02
 415.0   1.2665E+00   7.2770E+02
 417.0   1.2460E+00   6.3121E+02
 419.0   1.2256E+00   6.7214E+02
 421.0   1.2051E+00   6.4673E+02
 423.0   1.1845E+00   6.7101E+02
 425.0   1.1643E+00   6.5577E+02
 427.0   1.1448E+00   6.3495E+02
 429.0   1.1256E+00   6.3551E+02
 431.0   1.1063E+00   6.4360E+02
 433.0   1.0871E+00   6.3317E+02
 435.0   1.0681E+00   5.9493E+02
 437.0   1.0482E+00   6.0426E+02
 439.0   1.0287E+00   6.3440E+02
 441.0   1.0090E+00   6.2404E+02
 443.0   9.8938E-01   5.8039E+02
 445.0   9.7000E-01   5.8124E+02
 447.0   9.5232E-01   5.7230E+02
 449.0   9.3496E-01   6.2602E+02
 451.0   9.1865E-01   5.7115E+02
 453.0   9.0344E-01   5.5675E+02
 455.0   8.8844E-01   5.6512E+02
 457.0   8.7531E-01   5.6192E+02
 459.0   8.6245E-01   5.8778E+02
 461.0   8.5020E-01   5.1893E+02
 463.0   8.3856E-01   5.3685E+02
 465.0   8.2711E-01   5.4065E+02
 467.0   8.1535E-01   5.0683E+02
 469.0   8.0389E-01   5.3992E+02
 471.0   7.9236E-01   4.9835E+02
 473.0   7.8100E-01   4.9811E+02
 475.0   7.6967E-01   5.0637E+02
 477.0   7.5844E-01   5.3293E+02
 479.0   7.4741E-01   4.9939E+02
 481.0   7.3675E-01   5.2505E+02
 483.0   7.2661E-01   4.9834E+02
 485.0   7.1652E-01   4.9561E+02
 487.0   7.0665E-01   4.6981E+02
 489.0   6.9684E-01   4.8704E+02
 491.0   6.8681E-01   4.9773E+02
 493.0   6.7650E-01   4.6349E+02
 495.0   6.6635E-01   4.9160E+02
 497.0   6.5609E-01   5.0018E+02
 499.0   6.4594E-01   5.3044E+02
 501.0   6.3683E-01   4.5979E+02
 503.0   6.2881E-01   4.5545E+02
 505.0   6.2084E-01   4.6426E+02
 507.0   6.1303E-01   4.9377E+02
 509.0   6.0528E-01   4.5704E+02
 511.0   5.9777E-01   4.6459E+02
 513.0   5.9035E-01   4.6564E+02
 515.0   5.8301E-01   4.7230E+02
 517.0   5.7322E-01   4.5222E+02
 519.0   5.6361E-01   4.1976E+02
 521.0   5.5496E-01   4.4314E+02
 523.0   5.4706E-01   4.4411E+02
 525.0   5.3930E-01   4.4586E+02
 527.0   5.3156E-01   4.0065E+02
 529.0   5.2400E-01   4.4333E+02
 531.0   5.1656E-01   4.3080E+02
 533.0   5.0924E-01   4.0862E+02
 535.0   5.0204E-01   4.2591E+02
 537.0   4.9504E-01   4.2010E+02
 539.0   4.8815E-01   3.9700E+02
 541.0   4.8154E-01   4.4630E+02
 543.0   4.7507E-01   4.0884E+02
 545.0   4.6878E-01   4.1060E+02
 547.0   4.6287E-01   4.1105E+02
 549.0   4.5709E-01   4.2694E+02
 551.0   4.5107E-01   4.0291E+02
 553.0   4.4493E-01   4.0259E+02
 555.0   4.3874E-01   3.8374E+02
 557.0   4.3255E-01   3.6090E+02
 559.0   4.2642E-01   3.6497E+02
 561.0   4.2058E-01   3.8361E+02
 563.0   4.1510E-01   3.7792E+02
 565.0   4.0964E-01   3.8663E+02
 567.0   4.0570E-01   3.8911E+02
 569.0   4.0185E-01   3.7721E+02
 571.0   3.9815E-01   3.5526E+02
 573.0   3.9495E-01   3.6977E+02
 575.0   3.9170E-01   3.4354E+02
 577.0   3.9102E-01   3.6407E+02
 579.0   3.9045E-01   3.6645E+02
 581.0   3.9008E-01   3.6942E+02
 583.0   3.8980E-01   3.6806E+02
 585.0   3.8963E-01   3.7725E+02
 587.0   3.9149E-01   3.7637E+02
 589.0   3.9357E-01   3.7076E+02
 591.0   3.9569E-01   4.1849E+02
 593.0   3.9770E-01   3.8170E+02
 595.0   3.9999E-01   3.6501E+02
 597.0   4.0827E-01   3.8723E+02
 599.0   4.1663E-01   4.0533E+02
 601.0   4.2423E-01   4.3829E+02
 603.0   4.3066E-01   4.1184E+02
 605.0   4.3722E-01   3.9640E+02
 607.0   4.3533E-01   4.2539E+02
 609.0   4.3323E-01   4.1772E+02
 611.0   4.3143E-01   4.4998E+02
