"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (10/30/2023 06:04)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     1.8913E+00
   14.585     1.9838E+02
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.7503E+03     1.8218E+03
    0.000     1.9999E+03     1.7663E+03
   14.590     2.0938E-05     1.2757E-05
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005   14.585
 401.0   3.3196E+00   1.4755E+03
 403.0   3.4098E+00   1.5328E+03
 405.0   3.5007E+00   1.5768E+03
 407.0   3.5197E+00   1.5215E+03
 409.0   3.5394E+00   1.5372E+03
 411.0   3.5720E+00   1.6239E+03
 413.0   3.6176E+00   1.4212E+03
 415.0   3.6638E+00   1.5485E+03
 417.0   3.6743E+00   1.5375E+03
 419.0   3.6855E+00   1.6078E+03
 421.0   3.6912E+00   1.5381E+03
 423.0   3.6914E+00   1.6488E+03
 425.0   3.6923E+00   1.9572E+03
 427.0   3.7178E+00   1.5568E+03
 429.0   3.7439E+00   1.5144E+03
 431.0   3.7644E+00   1.5100E+03
 433.0   3.7795E+00   1.5231E+03
 435.0   3.7950E+00   1.5293E+03
 437.0   3.7751E+00   1.5055E+03
 439.0   3.7556E+00   1.5329E+03
 441.0   3.7186E+00   1.7289E+03
 443.0   3.6640E+00   1.5643E+03
 445.0   3.6098E+00   1.6399E+03
 447.0   3.5566E+00   1.5499E+03
 449.0   3.5038E+00   1.7839E+03
 451.0   3.4573E+00   1.4906E+03
 453.0   3.4172E+00   1.2835E+03
 455.0   3.3774E+00   9.7181E+02
 457.0   3.3503E+00   7.1948E+02
 459.0   3.3235E+00   6.3575E+02
 461.0   3.2972E+00   5.4461E+02
 463.0   3.2714E+00   5.3249E+02
 465.0   3.2459E+00   5.5466E+02
 467.0   3.1968E+00   5.6660E+02
 469.0   3.1480E+00   6.1910E+02
 471.0   3.0936E+00   5.9184E+02
 473.0   3.0336E+00   6.0965E+02
 475.0   2.9739E+00   5.9133E+02
 477.0   2.9147E+00   5.9141E+02
 479.0   2.8558E+00   6.2751E+02
 481.0   2.8092E+00   5.8342E+02
 483.0   2.7748E+00   6.7447E+02
 485.0   2.7406E+00   7.0918E+02
 487.0   2.7069E+00   6.7844E+02
 489.0   2.6735E+00   7.1313E+02
 491.0   2.6284E+00   6.8176E+02
 493.0   2.5717E+00   6.6755E+02
 495.0   2.5153E+00   7.6918E+02
 497.0   2.4474E+00   6.2165E+02
 499.0   2.3797E+00   7.2441E+02
 501.0   2.3308E+00   8.3968E+02
 503.0   2.3007E+00   7.8497E+02
 505.0   2.2707E+00   8.0495E+02
 507.0   2.2297E+00   8.3358E+02
 509.0   2.1888E+00   8.4695E+02
 511.0   2.1482E+00   8.6498E+02
 513.0   2.1078E+00   8.6503E+02
 515.0   2.0676E+00   9.3118E+02
 517.0   1.9889E+00   9.5354E+02
 519.0   1.9104E+00   9.4598E+02
 521.0   1.8560E+00   1.0563E+03
 523.0   1.8258E+00   1.0652E+03
 525.0   1.7957E+00   1.0020E+03
 527.0   1.7541E+00   1.0486E+03
 529.0   1.7128E+00   1.0740E+03
 531.0   1.6715E+00   1.1478E+03
 533.0   1.6305E+00   1.0769E+03
 535.0   1.5896E+00   1.1566E+03
 537.0   1.5490E+00   1.0650E+03
 539.0   1.5086E+00   1.0423E+03
 541.0   1.4685E+00   1.0240E+03
 543.0   1.4290E+00   9.5821E+02
 545.0   1.3896E+00   9.8417E+02
 547.0   1.3511E+00   8.3216E+02
 549.0   1.3126E+00   8.0929E+02
 551.0   1.2738E+00   7.3203E+02
 553.0   1.2346E+00   8.1592E+02
 555.0   1.1954E+00   7.0544E+02
 557.0   1.1561E+00   5.3803E+02
 559.0   1.1168E+00   5.4841E+02
 561.0   1.0836E+00   5.4110E+02
 563.0   1.0566E+00   5.0014E+02
 565.0   1.0297E+00   5.5969E+02
 567.0   1.0282E+00   4.3817E+02
 569.0   1.0269E+00   4.4620E+02
 571.0   1.0201E+00   4.4458E+02
 573.0   1.0081E+00   4.6772E+02
 575.0   9.9612E-01   4.0758E+02
 577.0   1.0344E+00   5.2086E+02
 579.0   1.0728E+00   5.1061E+02
 581.0   1.0830E+00   5.1807E+02
 583.0   1.0652E+00   5.3090E+02
 585.0   1.0474E+00   5.0684E+02
 587.0   1.0678E+00   5.6541E+02
 589.0   1.0882E+00   5.5552E+02
 591.0   1.0804E+00   5.2262E+02
 593.0   1.0441E+00   4.3198E+02
 595.0   1.0080E+00   3.5120E+02
 597.0   1.0181E+00   5.1277E+02
 599.0   1.0283E+00   4.8653E+02
 601.0   1.0641E+00   4.1934E+02
 603.0   1.1256E+00   5.4809E+02
 605.0   1.1871E+00   5.7466E+02
 607.0   1.1640E+00   6.7073E+02
 609.0   1.1410E+00   5.2791E+02
 611.0   1.1353E+00   5.5024E+02
 613.0   1.1469E+00   5.7662E+02
 615.0   1.1585E+00   5.8142E+02
 617.0   1.1721E+00   6.0057E+02
 619.0   1.1857E+00   6.1641E+02
 621.0   1.2055E+00   6.1977E+02
 623.0   1.2313E+00   6.7560E+02
 625.0   1.2571E+00   6.5256E+02
 627.0   1.2831E+00   7.1077E+02
 629.0   1.3092E+00   6.9743E+02
 631.0   1.3356E+00   7.8465E+02
 633.0   1.3623E+00   7.4223E+02
 635.0   1.3891E+00   8.3674E+02
 637.0   1.3952E+00   7.5858E+02
 639.0   1.4013E+00   9.0484E+02
 641.0   1.3992E+00   8.3252E+02
 643.0   1.3891E+00   7.9965E+02
 645.0   1.3790E+00   7.1868E+02
 647.0   1.4202E+00   8.1695E+02
 649.0   1.4615E+00   7.9980E+02
 651.0   1.5064E+00   8.4913E+02
 653.0   1.5548E+00   8.6818E+02
 655.0   1.6032E+00   8.9866E+02
 657.0   1.6910E+00   8.2519E+02
 659.0   1.7788E+00   8.7683E+02
 661.0   1.8801E+00   8.5554E+02
 663.0   1.9949E+00   8.2937E+02
 665.0   2.1098E+00   7.6117E+02
 667.0   2.1848E+00   7.3027E+02
 669.0   2.2598E+00   7.4768E+02
 671.0   2.2689E+00   6.8263E+02
 673.0   2.2121E+00   7.0608E+02
 675.0   2.1554E+00   7.2504E+02
 677.0   2.1142E+00   7.2572E+02
 679.0   2.0730E+00   7.2194E+02
 681.0   2.0088E+00   7.5324E+02
 683.0   1.9217E+00   7.6977E+02
 685.0   1.8345E+00   7.2990E+02
 687.0   1.7276E+00   8.0100E+02
 689.0   1.6206E+00   8.1534E+02
 691.0   1.5404E+00   7.7429E+02
 693.0   1.4870E+00   7.0477E+02
 695.0   1.4336E+00   6.7014E+02
 697.0   1.4019E+00   7.2932E+02
 699.0   1.3702E+00   7.7961E+02
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005   14.585
 401.0   3.1805E+00   1.4732E+03
 403.0   3.2714E+00   1.5304E+03
 405.0   3.3630E+00   1.5743E+03
 407.0   3.3819E+00   1.5191E+03
 409.0   3.4015E+00   1.5347E+03
 411.0   3.4341E+00   1.6214E+03
 413.0   3.4799E+00   1.4186E+03
 415.0   3.5262E+00   1.5460E+03
 417.0   3.5365E+00   1.5350E+03
 419.0   3.5475E+00   1.6052E+03
 421.0   3.5528E+00   1.5355E+03
 423.0   3.5528E+00   1.6463E+03
 425.0   3.5533E+00   1.9547E+03
 427.0   3.5789E+00   1.5542E+03
 429.0   3.6051E+00   1.5118E+03
 431.0   3.6256E+00   1.5074E+03
 433.0   3.6407E+00   1.5205E+03
 435.0   3.6562E+00   1.5266E+03
 437.0   3.6359E+00   1.5028E+03
 439.0   3.6160E+00   1.5302E+03
 441.0   3.5785E+00   1.7263E+03
 443.0   3.5231E+00   1.5617E+03
 445.0   3.4683E+00   1.6373E+03
 447.0   3.4144E+00   1.5474E+03
 449.0   3.3610E+00   1.7814E+03
 451.0   3.3141E+00   1.4881E+03
 453.0   3.2736E+00   1.2810E+03
 455.0   3.2335E+00   9.6941E+02
 457.0   3.2062E+00   7.1727E+02
 459.0   3.1793E+00   6.3375E+02
 461.0   3.1528E+00   5.4319E+02
 463.0   3.1268E+00   5.3094E+02
 465.0   3.1012E+00   5.5337E+02
 467.0   3.0518E+00   5.6511E+02
 469.0   3.0028E+00   6.1780E+02
 471.0   2.9482E+00   5.9054E+02
 473.0   2.8880E+00   6.0818E+02
 475.0   2.8281E+00   5.8983E+02
 477.0   2.7687E+00   5.8987E+02
 479.0   2.7097E+00   6.2617E+02
 481.0   2.6630E+00   5.8212E+02
 483.0   2.6287E+00   6.7284E+02
 485.0   2.5947E+00   7.0749E+02
 487.0   2.5611E+00   6.7680E+02
 489.0   2.5279E+00   7.1148E+02
 491.0   2.4829E+00   6.8021E+02
 493.0   2.4262E+00   6.6601E+02
 495.0   2.3698E+00   7.6747E+02
 497.0   2.3018E+00   6.2036E+02
 499.0   2.2341E+00   7.2280E+02
 501.0   2.1853E+00   8.3806E+02
 503.0   2.1554E+00   7.8336E+02
 505.0   2.1256E+00   8.0333E+02
 507.0   2.0847E+00   8.3194E+02
 509.0   2.0440E+00   8.4536E+02
 511.0   2.0036E+00   8.6338E+02
 513.0   1.9634E+00   8.6345E+02
 515.0   1.9234E+00   9.2960E+02
 517.0   1.8447E+00   9.5203E+02
 519.0   1.7663E+00   9.4453E+02
 521.0   1.7122E+00   1.0549E+03
 523.0   1.6823E+00   1.0638E+03
 525.0   1.6525E+00   1.0007E+03
 527.0   1.6112E+00   1.0472E+03
 529.0   1.5702E+00   1.0727E+03
 531.0   1.5294E+00   1.1465E+03
 533.0   1.4887E+00   1.0756E+03
 535.0   1.4483E+00   1.1553E+03
 537.0   1.4082E+00   1.0637E+03
 539.0   1.3682E+00   1.0411E+03
 541.0   1.3287E+00   1.0229E+03
 543.0   1.2898E+00   9.5707E+02
 545.0   1.2509E+00   9.8305E+02
 547.0   1.2130E+00   8.3108E+02
 549.0   1.1753E+00   8.0824E+02
 551.0   1.1372E+00   7.3100E+02
 553.0   1.0987E+00   8.1492E+02
 555.0   1.0604E+00   7.0447E+02
 557.0   1.0220E+00   5.3708E+02
 559.0   9.8360E-01   5.4749E+02
 561.0   9.5134E-01   5.4020E+02
 563.0   9.2518E-01   4.9926E+02
 565.0   8.9908E-01   5.5883E+02
 567.0   8.9802E-01   4.3731E+02
 569.0   8.9706E-01   4.4533E+02
 571.0   8.9084E-01   4.4372E+02
 573.0   8.7939E-01   4.6686E+02
 575.0   8.6802E-01   4.0673E+02
 577.0   9.0594E-01   5.1997E+02
 579.0   9.4403E-01   5.0969E+02
 581.0   9.5449E-01   5.1715E+02
 583.0   9.3729E-01   5.2999E+02
 585.0   9.2014E-01   5.0594E+02
 587.0   9.4063E-01   5.6449E+02
 589.0   9.6112E-01   5.5459E+02
 591.0   9.5381E-01   5.2169E+02
 593.0   9.1851E-01   4.3109E+02
 595.0   8.8336E-01   3.5034E+02
 597.0   8.9375E-01   5.1189E+02
 599.0   9.0419E-01   4.8564E+02
 601.0   9.3989E-01   4.1841E+02
 603.0   1.0010E+00   5.4711E+02
 605.0   1.0623E+00   5.7362E+02
 607.0   1.0399E+00   6.6971E+02
 609.0   1.0176E+00   5.2692E+02
 611.0   1.0124E+00   5.4925E+02
