b1,b2,b3,b4,b5,b6,b7
0.0010221009152702667,0.001136973879101225,0.0017777907822170503,0.0024929647740365006,0.00036501799706211314,0.0002367994144251909,0.00038864334131475
0.00018314371969086667,0.0002053593380596125,0.000301091701723575,0.00038095029569122857,0.00019768624332590001,0.00015499149236729523,0.0001430221102843
0.008262695042196967,0.008410542701259675,0.012109394192685051,0.013842632049874543,0.0050959350579609,0.00407706297699224,0.00437622433127115
0.00022008645484237568,0.00029332791453938754,0.000948497862001425,0.0027218786160596435,0.0008259782999864801,0.00033316099453002,0.0029036682236028
9.972920115170818e-05,0.00010078182447700563,0.000168633320528625,0.00021021759541531429,0.00012213707221424888,0.0001028846792392417,0.00014767460871745002
0.0007733087941346667,0.00088272083818215,0.001379496866342,0.0016932068416802284,0.0009269644915514399,0.0008141012146808599,0.0007554156353739
0.00043352329098605,0.0005144539773516125,0.000666635375077325,0.0008237222510038999,0.0002236469961464,0.0001633212603633393,9.415776459315305e-05
0.00027728064467275005,0.00028979012732380005,0.00046905406975125,0.0006132456675201858,0.0003562104448420401,0.00025274601720046,0.00037220034973265
0.0065020439434239664,0.009356006576590123,0.0140154988407139,0.018947804974549984,0.017469146984853585,0.014019782495627459,0.01412978694372605
0.0024590152632663832,0.0044591684615741,0.009745021677629974,0.01430491643116297,0.00171225554764716,0.0012055374154759,-0.0002120817214044
0.0022156063659825834,0.00230444346667715,0.0034696551760665,0.004155759677869571,0.0014159070963637,0.0009926806033554,0.0011951958570323002
0.001620793175697433,0.001924682298058275,0.0026565360748094253,0.0035552744242017997,0.00118574894165334,0.0007183717357598401,0.00095077564066225
0.00499035920966,0.005799965351985999,0.0099441277764971,0.0127818362567487,0.00768231625815244,0.006417288494277,0.00581399023661335
0.0007452110240372987,0.0023813322223031996,0.0088220709490342,0.01767055126329983,0.007830489199027579,0.00465233359751298,0.02365068647303645
0.0017965133174092,0.0021925491699518124,0.003428941849072675,0.004003757450994772,0.00032522502682462,0.00032934495447356,7.69506878125291e-05
0.00016863624075796665,0.00016912838347196251,0.00022128048264515,0.0003342786011211714,0.00016333459535662,0.00011771895143655348,0.0001838060917594
0.017294364557705215,0.019602349319124773,0.02255142841720035,0.02305219068483399,0.0056109634089682005,0.0039990138529643,0.0023548961519382003
0.0010672206797912999,0.001075046736456375,0.001624075575398125,0.002153204185233957,0.0011191856336643,0.0007201832907102401,0.00129899879897555
0.0005897237937787333,0.0005548728120521375,0.0008828934903827501,0.001229579582209943,0.0006406137584068002,0.00047211010347898003,0.0007152040625914
0.005573738323018151,0.007353911600894526,0.0136451049694956,0.018916453561409557,0.002589411743472,0.0013046354458156801,0.0028709310480394
0.001195650773904683,0.0013785762189914752,0.00200379311483615,0.002808373513296471,0.00163611817303886,0.0011956549058069602,0.0016324693602332001
0.0005856713684582334,0.0006170473821710999,0.0009443229783072751,0.0010654125633808857,0.00046954450693272,0.00035876797879282,0.00029798191737974997
0.0016937896665530664,0.0020400962860672124,0.0029000058769236502,0.0028252838527251856,0.00066277119624514,0.0005639574410566201,0.0005221004739339
0.0021521543922343837,0.0031397910644065624,0.007362277697289249,0.012884300959006615,0.0032565509194412605,0.0015452676157146998,0.00261164900147825
0.00119297291510725,0.0014838072535537001,0.001964632740084625,0.0022821330593415716,0.0003559811718566,0.0002742291928068,0.00027309860789940003
0.005314349339930516,0.006647326931624949,0.011106529562904977,0.013202543127883843,0.0071962173248583585,0.00580277519654768,0.0049939739794200005
0.00060364499661785,0.0007098818106219624,0.0010013550021058001,0.001244757289502386,0.0004943261775597799,0.00040875062512740003,0.0004942507764865
0.004427171279143017,0.005006115067146313,0.007659765842284149,0.00950640934987614,0.00403519648852522,0.00307291785282792,0.0034977724616952997
0.01084676875617365,0.010592831250061312,0.016191935714097674,0.017952038287002346,0.00610358340381598,0.00466436822747294,0.0031196691497175
0.00034827857647815,0.000432502557635575,0.00068968188921115,0.0007891032727548285,0.00044507750579014,0.00037169695792982,0.0002696079120129
0.0002391696118345,0.000243950941814575,0.00031101285974125003,0.0004204101429996286,0.00019702314678297998,0.00016294400132042,0.00017442416897035
0.004931181417369633,0.006592325387738413,0.014883921395427624,0.021931028522717343,0.00510326956504438,0.0025513871035979002,0.0064470050037290505
0.009776944383059084,0.011224966230812414,0.01713946780948765,0.02500015561951748,0.01133778815040642,0.00817689471715158,0.011405938798223849
0.00014009160920776668,0.00015102597892766248,0.00022562818240365,0.0003055763804752858,0.00016679559944029996,0.0001264505510285168,0.00020732008683535
0.019410316618063833,0.020919731751722487,0.022823568278199126,0.026196835572735774,0.00583476012777656,0.003816269030445819,0.00361140321658575
0.00032127872304366664,0.0003163393796098375,0.000757415528749925,0.0017542981190052287,0.00019371534610860183,8.624499876176856e-05,0.0001321774551688
6.975382482804668e-05,8.582859755023986e-05,0.00014237836731645,0.0001873110025958,0.0001166588937525297,9.194218195915202e-05,0.00014933334732355
0.00043665660584789995,0.00047783996525238754,0.0005863328783108,0.0008065415083958715,0.00029811463916030003,0.0002467132711824,0.00029443783456005
0.0002096172566956667,0.000214433492197075,0.000360911499456425,0.00048350391236665714,0.00026217066904438,0.00021489219213785999,0.0002624764295929
0.00026992121220653333,0.00019483026200296251,0.0014217839572095,0.004610183346592171,0.00321287335416936,0.00130882521733542,0.00830930757516985
0.02601245287061145,0.026018128647035385,0.015184354043938898,0.0122660675022966,0.00051249554165726,8.275158620700005e-05,0.00193286132173695
0.007496105902419683,0.009396988815820738,0.014675841868526449,0.020361408764456444,0.0018533113504690657,0.00012824344824070578,0.0018551768733998
0.00012518384346116686,0.00015149152485541249,0.0002226855758531,0.00027208692877935713,0.0001552847361286,0.00010883595335462891,0.0001655010200069
0.003063884033760733,0.0039169657433124625,0.006697590035801725,0.00975996964614627,0.000314314415419,7.21750845540008e-07,0.0005930551979295
0.00043640218558343335,0.0004912925450951001,0.00067649590825495,0.0008362498316218572,0.00034485516619781997,0.00020987088313216,0.00024003610733965
0.009139972696768682,0.010532921097266439,0.016333274446495426,0.019171277986822926,0.00954415657145738,0.00854167055016168,0.00654623589056765
0.009701287135813768,0.009282416900709188,0.014307291943689526,0.018440134840345297,0.011160135240839659,0.00915317810538946,0.01146346778767715
0.021181696014558053,0.021795855551292022,0.029809089972983798,0.02842409923484477,0.011760740205856499,0.010657772402650858,0.00774358693028465
0.0011846497749369667,0.0012401948717419998,0.0017327259032456248,0.0019800703141091857,0.00072529818593756,0.00062709782842008,0.00060907541125485
7.543225029803264e-05,8.540678634111102e-05,0.00012444504562655,0.00017105723944414283,0.00011029014710500567,8.194540413069941e-05,0.00012431705130305
0.002046096136151417,0.0023707946673823506,0.00405501750065945,0.0049052864093532,0.0024534958019365393,0.00187304588560732,0.00128350358138135
0.0008043902570371501,0.0010087537159271874,0.0014765225715745252,0.001805427008090457,0.00080785870858194,0.00073014799919078,0.00048728064858265
0.00016840038658655,0.000172432087133625,0.00023270859802777501,0.00032208746848535715,0.00016860420022066,0.00012310825460490655,0.0001670939539067
0.003183060490447467,0.004099964791027788,0.0079419794583343,0.012678600687979043,0.00113164540451488,0.0006647734613537401,0.0002509313694455
0.00020530793164628332,0.00021786714340275002,0.000321654342821075,0.00039861497778644284,0.00016913175016052,0.00013403790402342,9.547140453949264e-05
0.00013604432496566634,0.0001519117430025875,0.000206451988493525,0.0002915934982335143,0.0001653492039391,0.00012546440006624,0.000177218486346
0.0054081463724407,0.007242037364063925,0.012851869635191174,0.0203424130450926,0.0085626818752401,0.005444964045613921,0.01501575259388635
0.002295607237354167,0.002497765544428725,0.003108705608239125,0.0034219671011972426,0.0009464728085097199,0.00091879147314484,0.00098317635098385
0.005037345610794266,0.00634585564499615,0.01096836966678345,0.013582796435505428,0.0066271980736519,0.00609304257975094,0.00316741946541095
0.0039205898624108506,0.005908669663522825,0.0089214894702996,0.013228079640596841,0.0060022925200946,0.004055243504598941,0.0044619998692666495
0.02734707840597365,0.0291273737221774,0.02444590153318875,0.022098349873586973,0.00343461347913058,0.00410286793887184,0.00152631732538915
0.0003255652674392904,0.0011739247531991125,0.0051463277224969494,0.010442911688916399,0.0038276025612893998,0.00222110812001592,0.0038456698085081497
0.0157165933372182,0.019292870290024522,0.023611921775921373,0.031148425864725802,0.02103451771377838,0.019582857763257442,0.0158811798065144
0.0024652612828030833,0.0026832020428279877,0.0035579571295800247,0.005104004926255886,0.0021258714987549003,0.00129709259087324,0.0022530568797235
0.0001957260796124,0.0002230489693485375,0.000327818049520575,0.0005149578229274429,0.0002465572006344,0.00018419325698589998,0.0002721201364679
0.008394917563971219,0.010101537303490312,0.012080975922063001,0.013668924871606413,0.0011806778911930798,0.0006745321576594399,0.00043628603156035
0.0004243376686368667,0.0004447101560498375,0.000538685291126475,0.0006363621693147001,0.00019711557757378,0.00013674360731894,0.00014655235731235
0.008998519932339617,0.009596810824943463,0.0141820517211658,0.022660835473767443,0.0036681781179373394,0.0019957159576439202,0.00139241853460255
0.010452205646696735,0.0115422792719913,0.015323747202955075,0.01675298235883217,0.006266094340624699,0.006125693823084319,0.0035264144794195
0.0012914455077989169,0.0014568133694491503,0.0023002418124457003,0.0028431456918104857,0.00131419887295214,0.00100311330092762,0.0015701347483045
0.0002029065745431667,0.00022461720460813746,0.00032504709998067496,0.00040744775316484285,0.00019174635352644002,0.00014856232949503437,0.00016994370481295
0.0017047367606599832,0.0019938454579072127,0.0025116168689870502,0.0028226836208013572,0.00061563533733148,0.00047131693434106,0.00020101639679800216
0.007858179093180416,0.009410144162691685,0.0157973286210567,0.01912174121405264,0.01598849814124856,0.01408898507156608,0.0134385300265802
0.0005611920000001334,0.0006113950279939126,0.0009265674114655251,0.0012204128309450714,0.00046027432529136003,0.00041232743201568,0.00028936034119385
0.00020190467532714995,0.0002089473898754,0.0003154583128662,0.00040441494993232857,0.00018861378117752,0.0001378537562456,0.0002238006303649
0.0007217389682867666,0.0007833333252721874,0.001084588732098175,0.0014797605336569141,0.00028014693320356,0.00025653786066008003,0.00031841508886079996
0.0001386668851324,0.00014705178379245,0.000227916750398225,0.00031726281190462856,0.00017201803796216,0.00013669455507706044,0.00023002481676559998
