0,1,2,3,4
1.4949155,0.03728771,14.602992,5.0471888,6.9439487
0.97417533,0.1674899,6.4832006,5.498944,1.1747477
0.92474085,0.06131533,6.316536,5.810893,1.3037829
1.1035837,0.11987976,8.394735,6.3538365,1.4285052
1.0381655,0.13845588,6.6713533,3.678817,1.1663791
1.0595204,0.12271136,7.0188813,5.8689246,1.0655003
1.1617477,0.11224037,8.940104,5.5291686,1.0941039
0.9157809,0.22361428,6.594307,6.9192834,1.4329019
0.8599348,0.16802178,4.531627,2.2667685,1.4402689
1.4347183,0.08308819,10.452059,5.593862,0.9402821
0.93353504,0.1588456,6.6263533,6.3044877,1.411696
0.9362199,0.13428073,7.5987535,9.37413,1.248652
1.0007135,0.12226472,6.9881625,6.5112963,1.3135799
1.053438,0.092313126,6.66713,9.659533,1.1538297
1.3758614,0.12195687,9.894609,4.830879,0.9658456
1.1656713,0.13484992,7.7566285,4.9569845,1.118111
1.0405778,0.17922556,7.289126,5.3988886,1.35531
1.6554681,0.04533379,16.123978,4.2839203,2.9772146
0.9704314,0.1531959,6.0643764,6.2748523,1.2276503
1.3744627,0.06847497,10.51492,8.581884,1.0237929
0.94739133,0.15878817,6.0544014,8.0091915,1.2284731
1.080591,0.11290614,6.4299364,4.9014435,1.106228
0.86075574,0.10945753,5.8469152,8.846128,1.3888124
0.92373896,0.0772717,5.127686,5.0688624,1.2595066
1.2569164,0.024396928,12.603227,8.732968,14.486629
1.1434243,0.043308258,8.125189,4.178851,1.0488843
1.1246127,0.060814835,8.137773,5.361552,1.2152063
1.4024761,0.007237707,13.860446,10.786686,7.26073
1.7674814,0.0276582,16.942001,3.5310462,1.9525949
1.3021073,0.14349294,8.601562,7.667818,1.0711622
0.7886372,0.22150515,5.05369,5.3202877,1.4087797
0.95196366,0.15322545,6.3346367,4.5345902,1.2906684
0.98661816,0.113965996,6.4999285,7.2588873,1.3512017
0.85885036,0.2583438,5.7860165,4.226526,1.3428372
1.6860294,0.026178963,16.151403,7.939775,5.096168
0.85768646,0.18995208,6.3792005,7.1858916,1.3616686
0.8665329,0.20497046,6.893242,2.7364914,1.4261321
1.1861264,0.07303794,8.19563,7.594737,1.0697852
1.4112586,0.074298486,15.020506,8.17671,19.733358
0.957206,0.150587,6.5084763,5.9136143,1.3951129
1.2756963,0.1340928,9.471821,2.7057211,1.2923076
0.7860551,0.18776797,2.502839,0.11350684,1.3395387
1.5000851,0.022424331,15.581479,6.6082134,17.001354
0.9502298,0.20269652,6.0800753,4.1909056,1.3885487
0.96910954,0.10348567,6.8923955,6.748525,1.2042769
1.3293011,0.074830696,9.290349,6.0531435,1.1176759
0.9763431,0.1567705,6.415996,6.378938,1.2227378
1.6099782,0.030208882,15.712436,5.8954325,4.264298
1.1371449,0.064402066,7.926156,4.3304644,1.4475839
0.80174685,0.08631862,5.982847,6.456086,1.3515148
1.1672167,0.19461595,9.1992445,8.810916,1.1617392
0.5734667,0.18184862,2.3139591,6.839809,1.5965542
1.2782993,0.05669463,13.561294,8.764479,15.853391
0.9461962,0.047531374,6.2791476,9.16955,1.336991
1.7430993,0.052459847,16.643661,5.6336927,10.115515
0.93204373,0.21496047,6.598618,4.6356344,1.2733899
1.5001011,0.04162061,14.94807,3.7457163,4.1671534
1.1259229,0.080285594,7.6746826,6.1994863,1.1743196
1.1787021,0.030853586,7.7978535,3.9791887,1.1420679
1.5340948,0.016041609,15.387994,7.6798053,2.9818099
0.8567923,0.1273569,8.09047,11.735557,1.4390275
1.1416249,0.13662928,8.607483,6.1419425,1.1713622
1.0084227,0.07169022,6.4488096,4.273466,1.2789155
0.8045219,0.19416778,5.5549445,6.401891,1.3701284
1.0306296,0.17022917,7.1256647,7.6936765,1.3342658
1.5876713,0.0050963527,15.3931055,6.6851897,7.4394393
0.95871854,0.22534218,7.083464,6.534759,1.4028965
1.2213788,0.07740636,9.914579,8.515506,1.1196051
1.5836036,0.018674018,15.515154,2.6907768,14.821772
1.3783168,0.11619207,10.105268,12.85043,1.0947493
1.0776236,0.1692877,7.044935,6.5998044,1.3586386
1.0875118,0.14505306,7.520019,6.438222,1.1328759
1.6950767,0.08405508,16.375721,2.6447241,2.651447
1.2121639,0.012835576,9.669894,7.675227,1.1478964
0.8515368,0.10744422,4.969202,5.9165688,1.3687335
0.7856692,0.15512185,4.799245,4.4151006,1.2155235
1.1039326,0.08510619,8.640888,6.043301,1.2318285
0.7176408,0.146445,4.7684846,6.6410203,1.4705448
1.4470332,0.060871396,14.607361,6.7920537,13.072902
0.90860933,0.15920061,5.560565,3.656879,1.3245147
0.79497176,0.22185697,4.528626,4.1234517,1.2842535
0.8598365,0.1491955,6.5104384,4.4535384,1.3960459
0.83314484,0.071307816,4.6723256,4.435811,1.324314
1.4768878,0.0040985853,14.555036,9.7245865,13.818526
1.560122,0.004882415,15.750942,5.7512326,11.461348
1.2255648,0.078986496,8.89433,6.7266035,1.2690432
0.83501166,0.2734858,4.6967335,6.4772744,1.5215464
1.7971091,0.11635048,17.347376,5.1489387,7.999554
1.0114008,0.17630796,7.0391273,5.878472,1.2598108
1.0540276,0.16031252,7.3251305,4.903592,1.3477689
1.1931564,0.15459004,8.090267,7.4058657,1.0604651
0.80915964,0.10024617,5.625238,6.4408526,1.3346919
0.94029737,0.20507991,6.7048926,6.672826,1.2309303
0.79362327,0.13068354,4.5970283,3.2721815,1.1752061
1.105139,0.107090935,7.4310827,5.5059547,1.1593608
0.8007247,0.18114924,5.79198,5.9443564,1.5102217
1.065864,0.12324357,6.6015396,2.728959,1.2896428
1.1650087,0.09105661,8.382154,8.532372,1.2011751
1.1846279,0.1289471,8.828142,7.9319763,1.1818887
0.86320615,0.14382386,5.3718915,6.1024365,1.3036802
