 ,401.0,403.0,405.0,407.0,409.0,411.0,413.0,415.0,417.0,419.0,421.0,423.0,425.0,427.0,429.0,431.0,433.0,435.0,437.0,439.0,441.0,443.0,445.0,447.0,449.0,451.0,453.0,455.0,457.0,459.0,461.0,463.0,465.0,467.0,469.0,471.0,473.0,475.0,477.0,479.0,481.0,483.0,485.0,487.0,489.0,491.0,493.0,495.0,497.0,499.0,501.0,503.0,505.0,507.0,509.0,511.0,513.0,515.0,517.0,519.0,521.0,523.0,525.0,527.0,529.0,531.0,533.0,535.0,537.0,539.0,541.0,543.0,545.0,547.0,549.0,551.0,553.0,555.0,557.0,559.0,561.0,563.0,565.0,567.0,569.0,571.0,573.0,575.0,577.0,579.0,581.0,583.0,585.0,587.0,589.0,591.0,593.0,595.0,597.0,599.0,601.0,603.0,605.0,607.0,609.0,611.0,613.0,615.0,617.0,619.0,621.0,623.0,625.0,627.0,629.0,631.0,633.0,635.0,637.0,639.0,641.0,643.0,645.0,647.0,649.0,651.0,653.0,655.0,657.0,659.0,661.0,663.0,665.0,667.0,669.0,671.0,673.0,675.0,677.0,679.0,681.0,683.0,685.0,687.0,689.0,691.0,693.0,695.0,697.0,699.0
Rrs,1.1578E+00,1.1618E+00,1.1237E+00,1.0911E+00,1.1440E+00,1.1903E+00,1.2224E+00,1.2514E+00,1.2452E+00,1.1727E+00,1.2309E+00,1.2023E+00,1.2115E+00,1.1840E+00,1.0303E+00,9.9070E-01,1.2459E+00,1.2585E+00,1.3190E+00,1.2407E+00,1.3419E+00,1.3861E+00,1.3688E+00,1.4030E+00,1.4822E+00,1.5455E+00,1.4547E+00,1.4976E+00,1.5144E+00,1.4897E+00,1.5018E+00,1.4940E+00,1.4879E+00,1.4952E+00,1.5056E+00,1.4921E+00,1.5007E+00,1.5231E+00,1.5423E+00,1.5410E+00,1.5366E+00,1.5309E+00,1.3953E+00,1.3529E+00,1.4765E+00,1.4781E+00,1.4734E+00,1.5319E+00,1.4859E+00,1.4457E+00,1.4219E+00,1.4238E+00,1.4813E+00,1.4942E+00,1.4761E+00,1.5046E+00,1.4610E+00,1.4463E+00,1.3144E+00,1.3709E+00,1.4521E+00,1.4599E+00,1.4669E+00,1.3728E+00,1.4816E+00,1.4974E+00,1.4124E+00,1.4658E+00,1.4775E+00,1.4619E+00,1.4078E+00,1.4581E+00,1.4656E+00,1.4398E+00,1.4273E+00,1.4473E+00,1.4561E+00,1.4532E+00,1.4229E+00,1.3933E+00,1.4202E+00,1.4189E+00,1.4033E+00,1.3969E+00,1.4069E+00,1.4006E+00,1.4451E+00,1.4168E+00,1.4166E+00,1.4149E+00,1.4327E+00,1.4425E+00,1.4129E+00,1.3854E+00,1.2736E+00,1.2975E+00,1.3272E+00,1.3379E+00,1.3550E+00,1.3491E+00,1.3488E+00,1.3651E+00,1.3920E+00,1.3786E+00,1.3626E+00,1.3550E+00,1.3244E+00,1.3058E+00,1.3145E+00,1.3573E+00,1.3564E+00,1.3241E+00,1.3034E+00,1.3027E+00,1.2989E+00,1.2888E+00,1.2912E+00,1.2966E+00,1.3096E+00,1.3136E+00,1.2917E+00,1.2914E+00,1.2753E+00,1.2349E+00,1.2189E+00,1.2265E+00,1.2467E+00,1.1631E+00,1.1232E+00,1.2418E+00,1.2655E+00,1.2631E+00,1.2526E+00,1.2507E+00,1.2523E+00,1.2385E+00,1.2374E+00,1.2376E+00,1.2341E+00,1.2256E+00,1.2158E+00,1.2089E+00,1.1898E+00,1.0269E+00,1.0338E+00,1.0787E+00,1.0720E+00,1.0750E+00,1.1216E+00,1.1050E+00
Rrs,1.1513E+00,1.1552E+00,1.1175E+00,1.0852E+00,1.1378E+00,1.1840E+00,1.2160E+00,1.2449E+00,1.2388E+00,1.1667E+00,1.2248E+00,1.1964E+00,1.2056E+00,1.1783E+00,1.0254E+00,9.8604E-01,1.2401E+00,1.2527E+00,1.3130E+00,1.2352E+00,1.3360E+00,1.3800E+00,1.3629E+00,1.3970E+00,1.4760E+00,1.5391E+00,1.4487E+00,1.4915E+00,1.5083E+00,1.4837E+00,1.4958E+00,1.4881E+00,1.4821E+00,1.4894E+00,1.4999E+00,1.4865E+00,1.4951E+00,1.5175E+00,1.5367E+00,1.5354E+00,1.5311E+00,1.5255E+00,1.3904E+00,1.3482E+00,1.4714E+00,1.4731E+00,1.4684E+00,1.5268E+00,1.4809E+00,1.4410E+00,1.4173E+00,1.4192E+00,1.4765E+00,1.4895E+00,1.4714E+00,1.4999E+00,1.4565E+00,1.4419E+00,1.3104E+00,1.3668E+00,1.4478E+00,1.4556E+00,1.4626E+00,1.3688E+00,1.4774E+00,1.4931E+00,1.4084E+00,1.4617E+00,1.4733E+00,1.4578E+00,1.4039E+00,1.4541E+00,1.4616E+00,1.4359E+00,1.4235E+00,1.4435E+00,1.4523E+00,1.4494E+00,1.4192E+00,1.3897E+00,1.4166E+00,1.4153E+00,1.3998E+00,1.3933E+00,1.4034E+00,1.3971E+00,1.4415E+00,1.4133E+00,1.4132E+00,1.4115E+00,1.4293E+00,1.4391E+00,1.4095E+00,1.3821E+00,1.2706E+00,1.2945E+00,1.3241E+00,1.3348E+00,1.3519E+00,1.3461E+00,1.3458E+00,1.3621E+00,1.3889E+00,1.3755E+00,1.3596E+00,1.3520E+00,1.3215E+00,1.3030E+00,1.3117E+00,1.3545E+00,1.3536E+00,1.3213E+00,1.3007E+00,1.3000E+00,1.2963E+00,1.2862E+00,1.2886E+00,1.2940E+00,1.3070E+00,1.3109E+00,1.2891E+00,1.2888E+00,1.2728E+00,1.2325E+00,1.2165E+00,1.2242E+00,1.2443E+00,1.1609E+00,1.1211E+00,1.2395E+00,1.2631E+00,1.2608E+00,1.2502E+00,1.2484E+00,1.2500E+00,1.2362E+00,1.2352E+00,1.2353E+00,1.2319E+00,1.2235E+00,1.2136E+00,1.2068E+00,1.1877E+00,1.0252E+00,1.0320E+00,1.0768E+00,1.0702E+00,1.0732E+00,1.1197E+00,1.1031E+00
Rrs,1.1166E+00,1.1209E+00,1.0848E+00,1.0538E+00,1.1054E+00,1.1507E+00,1.1822E+00,1.2108E+00,1.2053E+00,1.1356E+00,1.1925E+00,1.1653E+00,1.1747E+00,1.1485E+00,9.9973E-01,9.6176E-01,1.2099E+00,1.2226E+00,1.2819E+00,1.2062E+00,1.3051E+00,1.3485E+00,1.3321E+00,1.3659E+00,1.4435E+00,1.5056E+00,1.4176E+00,1.4599E+00,1.4767E+00,1.4531E+00,1.4652E+00,1.4581E+00,1.4526E+00,1.4600E+00,1.4706E+00,1.4578E+00,1.4667E+00,1.4889E+00,1.5081E+00,1.5072E+00,1.5033E+00,1.4981E+00,1.3657E+00,1.3246E+00,1.4459E+00,1.4478E+00,1.4434E+00,1.5011E+00,1.4563E+00,1.4173E+00,1.3943E+00,1.3963E+00,1.4530E+00,1.4661E+00,1.4485E+00,1.4768E+00,1.4343E+00,1.4201E+00,1.2909E+00,1.3466E+00,1.4266E+00,1.4345E+00,1.4417E+00,1.3495E+00,1.4567E+00,1.4724E+00,1.3890E+00,1.4418E+00,1.4535E+00,1.4384E+00,1.3854E+00,1.4351E+00,1.4428E+00,1.4175E+00,1.4055E+00,1.4254E+00,1.4343E+00,1.4316E+00,1.4019E+00,1.3730E+00,1.3997E+00,1.3986E+00,1.3834E+00,1.3772E+00,1.3873E+00,1.3812E+00,1.4253E+00,1.3975E+00,1.3976E+00,1.3961E+00,1.4138E+00,1.4237E+00,1.3946E+00,1.3676E+00,1.2574E+00,1.2811E+00,1.3106E+00,1.3213E+00,1.3384E+00,1.3327E+00,1.3325E+00,1.3488E+00,1.3755E+00,1.3624E+00,1.3467E+00,1.3394E+00,1.3093E+00,1.2911E+00,1.2997E+00,1.3422E+00,1.3415E+00,1.3096E+00,1.2893E+00,1.2887E+00,1.2851E+00,1.2752E+00,1.2777E+00,1.2831E+00,1.2962E+00,1.3002E+00,1.2786E+00,1.2784E+00,1.2626E+00,1.2228E+00,1.2070E+00,1.2147E+00,1.2348E+00,1.1520E+00,1.1127E+00,1.2302E+00,1.2538E+00,1.2516E+00,1.2412E+00,1.2394E+00,1.2411E+00,1.2276E+00,1.2266E+00,1.2268E+00,1.2235E+00,1.2152E+00,1.2055E+00,1.1988E+00,1.1799E+00,1.0185E+00,1.0254E+00,1.0700E+00,1.0635E+00,1.0665E+00,1.1128E+00,1.0964E+00
Rrs,1.1525E+00,1.1564E+00,1.1186E+00,1.0862E+00,1.1390E+00,1.1851E+00,1.2171E+00,1.2461E+00,1.2400E+00,1.1678E+00,1.2259E+00,1.1975E+00,1.2067E+00,1.1794E+00,1.0263E+00,9.8690E-01,1.2412E+00,1.2538E+00,1.3141E+00,1.2362E+00,1.3370E+00,1.3811E+00,1.3640E+00,1.3981E+00,1.4771E+00,1.5403E+00,1.4498E+00,1.4926E+00,1.5094E+00,1.4848E+00,1.4969E+00,1.4892E+00,1.4832E+00,1.4905E+00,1.5009E+00,1.4875E+00,1.4962E+00,1.5185E+00,1.5377E+00,1.5364E+00,1.5321E+00,1.5265E+00,1.3913E+00,1.3491E+00,1.4723E+00,1.4740E+00,1.4693E+00,1.5277E+00,1.4818E+00,1.4419E+00,1.4181E+00,1.4200E+00,1.4774E+00,1.4904E+00,1.4723E+00,1.5008E+00,1.4573E+00,1.4427E+00,1.3112E+00,1.3676E+00,1.4486E+00,1.4564E+00,1.4634E+00,1.3696E+00,1.4781E+00,1.4938E+00,1.4091E+00,1.4624E+00,1.4741E+00,1.4586E+00,1.4046E+00,1.4548E+00,1.4624E+00,1.4366E+00,1.4242E+00,1.4442E+00,1.4530E+00,1.4501E+00,1.4199E+00,1.3904E+00,1.4172E+00,1.4160E+00,1.4004E+00,1.3940E+00,1.4041E+00,1.3977E+00,1.4422E+00,1.4139E+00,1.4138E+00,1.4121E+00,1.4299E+00,1.4397E+00,1.4101E+00,1.3827E+00,1.2712E+00,1.2950E+00,1.3247E+00,1.3354E+00,1.3525E+00,1.3466E+00,1.3463E+00,1.3626E+00,1.3895E+00,1.3761E+00,1.3601E+00,1.3526E+00,1.3221E+00,1.3035E+00,1.3122E+00,1.3550E+00,1.3541E+00,1.3218E+00,1.3011E+00,1.3004E+00,1.2968E+00,1.2866E+00,1.2891E+00,1.2944E+00,1.3075E+00,1.3114E+00,1.2896E+00,1.2893E+00,1.2732E+00,1.2329E+00,1.2170E+00,1.2246E+00,1.2447E+00,1.1613E+00,1.1215E+00,1.2399E+00,1.2635E+00,1.2612E+00,1.2507E+00,1.2488E+00,1.2504E+00,1.2366E+00,1.2355E+00,1.2357E+00,1.2323E+00,1.2239E+00,1.2140E+00,1.2072E+00,1.1881E+00,1.0255E+00,1.0323E+00,1.0771E+00,1.0705E+00,1.0735E+00,1.1200E+00,1.1035E+00
Rrs,1.1526E+00,1.1566E+00,1.1188E+00,1.0864E+00,1.1391E+00,1.1852E+00,1.2172E+00,1.2462E+00,1.2401E+00,1.1679E+00,1.2260E+00,1.1976E+00,1.2068E+00,1.1795E+00,1.0263E+00,9.8698E-01,1.2413E+00,1.2539E+00,1.3142E+00,1.2363E+00,1.3371E+00,1.3812E+00,1.3641E+00,1.3982E+00,1.4772E+00,1.5404E+00,1.4499E+00,1.4927E+00,1.5095E+00,1.4849E+00,1.4970E+00,1.4893E+00,1.4833E+00,1.4906E+00,1.5010E+00,1.4876E+00,1.4962E+00,1.5186E+00,1.5378E+00,1.5365E+00,1.5322E+00,1.5266E+00,1.3914E+00,1.3492E+00,1.4724E+00,1.4741E+00,1.4694E+00,1.5278E+00,1.4819E+00,1.4419E+00,1.4182E+00,1.4201E+00,1.4775E+00,1.4904E+00,1.4724E+00,1.5008E+00,1.4574E+00,1.4427E+00,1.3112E+00,1.3676E+00,1.4486E+00,1.4564E+00,1.4635E+00,1.3696E+00,1.4782E+00,1.4939E+00,1.4092E+00,1.4625E+00,1.4741E+00,1.4587E+00,1.4047E+00,1.4549E+00,1.4624E+00,1.4367E+00,1.4243E+00,1.4442E+00,1.4530E+00,1.4501E+00,1.4199E+00,1.3904E+00,1.4173E+00,1.4160E+00,1.4005E+00,1.3940E+00,1.4041E+00,1.3978E+00,1.4422E+00,1.4140E+00,1.4139E+00,1.4122E+00,1.4300E+00,1.4398E+00,1.4102E+00,1.3828E+00,1.2712E+00,1.2951E+00,1.3247E+00,1.3354E+00,1.3525E+00,1.3467E+00,1.3464E+00,1.3627E+00,1.3895E+00,1.3761E+00,1.3602E+00,1.3526E+00,1.3221E+00,1.3036E+00,1.3122E+00,1.3550E+00,1.3541E+00,1.3219E+00,1.3012E+00,1.3005E+00,1.2968E+00,1.2867E+00,1.2891E+00,1.2945E+00,1.3075E+00,1.3115E+00,1.2896E+00,1.2893E+00,1.2733E+00,1.2329E+00,1.2170E+00,1.2246E+00,1.2448E+00,1.1613E+00,1.1215E+00,1.2399E+00,1.2636E+00,1.2612E+00,1.2507E+00,1.2488E+00,1.2504E+00,1.2367E+00,1.2356E+00,1.2358E+00,1.2323E+00,1.2239E+00,1.2141E+00,1.2072E+00,1.1881E+00,1.0255E+00,1.0324E+00,1.0772E+00,1.0706E+00,1.0736E+00,1.1200E+00,1.1035E+00
Rrs,1.1537E+00,1.1577E+00,1.1198E+00,1.0874E+00,1.1401E+00,1.1863E+00,1.2184E+00,1.2473E+00,1.2412E+00,1.1690E+00,1.2271E+00,1.1986E+00,1.2078E+00,1.1805E+00,1.0272E+00,9.8778E-01,1.2423E+00,1.2549E+00,1.3153E+00,1.2372E+00,1.3382E+00,1.3823E+00,1.3651E+00,1.3992E+00,1.4783E+00,1.5415E+00,1.4510E+00,1.4938E+00,1.5106E+00,1.4860E+00,1.4980E+00,1.4903E+00,1.4843E+00,1.4916E+00,1.5020E+00,1.4886E+00,1.4972E+00,1.5196E+00,1.5388E+00,1.5375E+00,1.5331E+00,1.5275E+00,1.3923E+00,1.3500E+00,1.4733E+00,1.4749E+00,1.4702E+00,1.5287E+00,1.4828E+00,1.4428E+00,1.4190E+00,1.4209E+00,1.4783E+00,1.4913E+00,1.4732E+00,1.5016E+00,1.4581E+00,1.4435E+00,1.3119E+00,1.3683E+00,1.4494E+00,1.4572E+00,1.4642E+00,1.3703E+00,1.4790E+00,1.4947E+00,1.4099E+00,1.4632E+00,1.4749E+00,1.4594E+00,1.4053E+00,1.4556E+00,1.4631E+00,1.4373E+00,1.4249E+00,1.4449E+00,1.4537E+00,1.4508E+00,1.4206E+00,1.3910E+00,1.4179E+00,1.4167E+00,1.4011E+00,1.3946E+00,1.4047E+00,1.3984E+00,1.4428E+00,1.4146E+00,1.4145E+00,1.4127E+00,1.4306E+00,1.4404E+00,1.4107E+00,1.3833E+00,1.2717E+00,1.2956E+00,1.3253E+00,1.3360E+00,1.3531E+00,1.3472E+00,1.3469E+00,1.3632E+00,1.3900E+00,1.3766E+00,1.3607E+00,1.3531E+00,1.3226E+00,1.3041E+00,1.3127E+00,1.3555E+00,1.3546E+00,1.3224E+00,1.3017E+00,1.3010E+00,1.2973E+00,1.2871E+00,1.2896E+00,1.2949E+00,1.3080E+00,1.3119E+00,1.2900E+00,1.2897E+00,1.2737E+00,1.2334E+00,1.2174E+00,1.2250E+00,1.2452E+00,1.1617E+00,1.1219E+00,1.2403E+00,1.2640E+00,1.2616E+00,1.2511E+00,1.2492E+00,1.2508E+00,1.2371E+00,1.2360E+00,1.2362E+00,1.2327E+00,1.2243E+00,1.2144E+00,1.2076E+00,1.1884E+00,1.0258E+00,1.0327E+00,1.0775E+00,1.0709E+00,1.0739E+00,1.1204E+00,1.1038E+00
Rrs,1.1166E+00,1.1209E+00,1.0848E+00,1.0538E+00,1.1054E+00,1.1507E+00,1.1822E+00,1.2108E+00,1.2053E+00,1.1356E+00,1.1925E+00,1.1653E+00,1.1747E+00,1.1485E+00,9.9973E-01,9.6176E-01,1.2099E+00,1.2226E+00,1.2819E+00,1.2062E+00,1.3051E+00,1.3485E+00,1.3321E+00,1.3659E+00,1.4435E+00,1.5056E+00,1.4176E+00,1.4599E+00,1.4767E+00,1.4531E+00,1.4652E+00,1.4581E+00,1.4526E+00,1.4600E+00,1.4706E+00,1.4578E+00,1.4667E+00,1.4889E+00,1.5081E+00,1.5072E+00,1.5033E+00,1.4981E+00,1.3657E+00,1.3246E+00,1.4459E+00,1.4478E+00,1.4434E+00,1.5011E+00,1.4563E+00,1.4173E+00,1.3943E+00,1.3963E+00,1.4530E+00,1.4661E+00,1.4485E+00,1.4768E+00,1.4343E+00,1.4201E+00,1.2909E+00,1.3466E+00,1.4266E+00,1.4345E+00,1.4417E+00,1.3495E+00,1.4567E+00,1.4724E+00,1.3890E+00,1.4418E+00,1.4535E+00,1.4384E+00,1.3854E+00,1.4351E+00,1.4428E+00,1.4175E+00,1.4055E+00,1.4254E+00,1.4343E+00,1.4316E+00,1.4019E+00,1.3730E+00,1.3997E+00,1.3986E+00,1.3834E+00,1.3772E+00,1.3873E+00,1.3812E+00,1.4253E+00,1.3975E+00,1.3976E+00,1.3961E+00,1.4138E+00,1.4237E+00,1.3946E+00,1.3676E+00,1.2574E+00,1.2811E+00,1.3106E+00,1.3213E+00,1.3384E+00,1.3327E+00,1.3325E+00,1.3488E+00,1.3755E+00,1.3624E+00,1.3467E+00,1.3394E+00,1.3093E+00,1.2911E+00,1.2997E+00,1.3422E+00,1.3415E+00,1.3096E+00,1.2893E+00,1.2887E+00,1.2851E+00,1.2752E+00,1.2777E+00,1.2831E+00,1.2962E+00,1.3002E+00,1.2786E+00,1.2784E+00,1.2626E+00,1.2228E+00,1.2070E+00,1.2147E+00,1.2348E+00,1.1520E+00,1.1127E+00,1.2302E+00,1.2538E+00,1.2516E+00,1.2412E+00,1.2394E+00,1.2411E+00,1.2276E+00,1.2266E+00,1.2268E+00,1.2235E+00,1.2152E+00,1.2055E+00,1.1988E+00,1.1799E+00,1.0185E+00,1.0254E+00,1.0700E+00,1.0635E+00,1.0665E+00,1.1128E+00,1.0964E+00
Rrs,1.1166E+00,1.1209E+00,1.0848E+00,1.0538E+00,1.1054E+00,1.1507E+00,1.1822E+00,1.2108E+00,1.2053E+00,1.1356E+00,1.1925E+00,1.1653E+00,1.1747E+00,1.1485E+00,9.9973E-01,9.6176E-01,1.2099E+00,1.2226E+00,1.2819E+00,1.2062E+00,1.3051E+00,1.3485E+00,1.3321E+00,1.3659E+00,1.4435E+00,1.5056E+00,1.4176E+00,1.4599E+00,1.4767E+00,1.4531E+00,1.4652E+00,1.4581E+00,1.4526E+00,1.4600E+00,1.4706E+00,1.4578E+00,1.4667E+00,1.4889E+00,1.5081E+00,1.5072E+00,1.5033E+00,1.4981E+00,1.3657E+00,1.3246E+00,1.4459E+00,1.4478E+00,1.4434E+00,1.5011E+00,1.4563E+00,1.4173E+00,1.3943E+00,1.3963E+00,1.4530E+00,1.4661E+00,1.4485E+00,1.4768E+00,1.4343E+00,1.4201E+00,1.2909E+00,1.3466E+00,1.4266E+00,1.4345E+00,1.4417E+00,1.3495E+00,1.4567E+00,1.4724E+00,1.3890E+00,1.4418E+00,1.4535E+00,1.4384E+00,1.3854E+00,1.4351E+00,1.4428E+00,1.4175E+00,1.4055E+00,1.4254E+00,1.4343E+00,1.4316E+00,1.4019E+00,1.3730E+00,1.3997E+00,1.3986E+00,1.3834E+00,1.3772E+00,1.3873E+00,1.3812E+00,1.4253E+00,1.3975E+00,1.3976E+00,1.3961E+00,1.4138E+00,1.4237E+00,1.3946E+00,1.3676E+00,1.2574E+00,1.2811E+00,1.3106E+00,1.3213E+00,1.3384E+00,1.3327E+00,1.3325E+00,1.3488E+00,1.3755E+00,1.3624E+00,1.3467E+00,1.3394E+00,1.3093E+00,1.2911E+00,1.2997E+00,1.3422E+00,1.3415E+00,1.3096E+00,1.2893E+00,1.2887E+00,1.2851E+00,1.2752E+00,1.2777E+00,1.2831E+00,1.2962E+00,1.3002E+00,1.2786E+00,1.2784E+00,1.2626E+00,1.2228E+00,1.2070E+00,1.2147E+00,1.2348E+00,1.1520E+00,1.1127E+00,1.2302E+00,1.2538E+00,1.2516E+00,1.2412E+00,1.2394E+00,1.2411E+00,1.2276E+00,1.2266E+00,1.2268E+00,1.2235E+00,1.2152E+00,1.2055E+00,1.1988E+00,1.1799E+00,1.0185E+00,1.0254E+00,1.0700E+00,1.0635E+00,1.0665E+00,1.1128E+00,1.0964E+00
Rrs,1.1451E+00,1.1492E+00,1.1117E+00,1.0796E+00,1.1321E+00,1.1780E+00,1.2099E+00,1.2388E+00,1.2328E+00,1.1612E+00,1.2190E+00,1.1908E+00,1.2001E+00,1.1730E+00,1.0208E+00,9.8169E-01,1.2347E+00,1.2473E+00,1.3074E+00,1.2300E+00,1.3304E+00,1.3743E+00,1.3573E+00,1.3914E+00,1.4701E+00,1.5330E+00,1.4431E+00,1.4857E+00,1.5025E+00,1.4782E+00,1.4903E+00,1.4827E+00,1.4768E+00,1.4840E+00,1.4945E+00,1.4812E+00,1.4899E+00,1.5122E+00,1.5314E+00,1.5302E+00,1.5260E+00,1.5204E+00,1.3859E+00,1.3439E+00,1.4667E+00,1.4684E+00,1.4638E+00,1.5220E+00,1.4764E+00,1.4366E+00,1.4130E+00,1.4149E+00,1.4721E+00,1.4851E+00,1.4671E+00,1.4956E+00,1.4523E+00,1.4378E+00,1.3067E+00,1.3630E+00,1.4438E+00,1.4516E+00,1.4586E+00,1.3651E+00,1.4734E+00,1.4891E+00,1.4046E+00,1.4578E+00,1.4695E+00,1.4541E+00,1.4003E+00,1.4504E+00,1.4580E+00,1.4323E+00,1.4200E+00,1.4399E+00,1.4488E+00,1.4459E+00,1.4158E+00,1.3864E+00,1.4132E+00,1.4120E+00,1.3965E+00,1.3901E+00,1.4002E+00,1.3940E+00,1.4383E+00,1.4101E+00,1.4101E+00,1.4084E+00,1.4262E+00,1.4360E+00,1.4065E+00,1.3792E+00,1.2679E+00,1.2918E+00,1.3214E+00,1.3321E+00,1.3492E+00,1.3433E+00,1.3430E+00,1.3594E+00,1.3861E+00,1.3728E+00,1.3569E+00,1.3494E+00,1.3190E+00,1.3005E+00,1.3092E+00,1.3519E+00,1.3510E+00,1.3189E+00,1.2982E+00,1.2976E+00,1.2939E+00,1.2838E+00,1.2863E+00,1.2916E+00,1.3047E+00,1.3086E+00,1.2868E+00,1.2866E+00,1.2706E+00,1.2304E+00,1.2145E+00,1.2221E+00,1.2422E+00,1.1589E+00,1.1192E+00,1.2374E+00,1.2611E+00,1.2587E+00,1.2482E+00,1.2464E+00,1.2480E+00,1.2343E+00,1.2332E+00,1.2334E+00,1.2300E+00,1.2216E+00,1.2118E+00,1.2050E+00,1.1859E+00,1.0236E+00,1.0305E+00,1.0752E+00,1.0686E+00,1.0717E+00,1.1181E+00,1.1015E+00
